sigma_Ry,lambda_qsum,lambda_native_printed,lambda_spectrum_internal,lambda_spectrum_printed_trapezoid,omega_log_native_replay_K,omega_log_printed_K,omega_log_spectrum_K,omega2_spectrum_K,mu_star,Tc_native_printed_K,Tc_QE_replay_K,Tc_spectrum_simple_K,f1,f2,Tc_spectrum_full_AD_K
0.005,0.430378125,0.430378,0.4304415098931551,0.43043737810342925,355.8767482026453,355.877,355.877014020472,370.566572569237,0.1,2.212,2.2121048547475524,2.2136409281550504,1.0148285396697252,1.0007861882387594,2.2482321356132076
0.01,0.3710609375,0.371061,0.37112120998566794,0.371117965442508,344.60641242725575,344.606,344.6067780638366,363.11887683576896,0.1,0.916,0.9155315239786773,0.9164487564124523,1.011905975475044,1.0007466366069626,0.9280523737339805
0.015,0.3702953125,0.370295,0.3703559704277262,0.37035354996364694,343.4197567901001,343.42,343.41976200890326,362.6010142845157,0.1,0.9,0.9001703711505732,0.9010957366766926,1.01186963875861,1.000770069380776,0.912493560210284
0.02,0.3744859375,0.374486,0.3745472359798756,0.3745445563188833,343.7405850459475,343.741,343.7408705171925,363.3310637012733,0.1,0.969,0.9690437966359426,0.970016140785092,1.012069286812726,1.0008016805320898,0.9825105724541605
0.025,0.3746125,0.374613,0.37467397176210565,0.374671493578776,343.5372249264546,343.537,343.5373694607975,363.4435446943783,0.1,0.971,0.970567571980822,0.9715463446688768,1.0120753500320505,1.0008141896820035,0.9840786817422524
0.03,0.3737734375,0.373773,0.3738351079852376,0.3738326908794721,342.8310600342595,342.831,342.83124005856666,363.00639172274657,0.1,0.955,0.9547458658913999,0.9557191062240438,1.0120353019133292,1.0008218589166222,0.9680163938047168
0.035,0.37358125,0.373581,0.3736432603608637,0.37364097715182293,342.0058955958074,342.006,342.0060360475905,362.39377917238403,0.1,0.949,0.9493042451633085,0.9502809700928995,1.0120261545173965,1.000830499676088,0.9625078950498425
0.04,0.3740859375,0.374086,0.3741483684143978,0.3741460366399078,341.2433935079563,341.243,341.2436115952176,361.7907549036064,0.1,0.955,0.9554370920252213,0.9564227379434607,1.0120502575331927,1.0008401616645666,0.9687611109468817
0.045,0.375021875,0.375022,0.37508473583089413,0.3750825658290412,340.6309156463961,340.631,340.63107496749257,361.29675969087697,0.1,0.969,0.9690996938467834,0.9701020806067401,1.0120949916455522,1.000849990487969,0.9826700079663542
0.05,0.376040625,0.376041,0.37610387574411847,0.37610137631024937,340.1448118464218,340.145,340.145052348616,360.89644449249766,0.1,0.985,0.9845880840026243,0.9856000476255661,1.0121437149546488,1.0008587786093215,0.9984255844904217
