q_index,mode,sigma_Ry,star_weight,weight,frequency_THz,lambda_mode,gamma_GHz
1,1,0.005,1,0.015625,0.08785060499177633,0.0,0.01
1,2,0.005,1,0.015625,0.08785060499177633,0.0,0.01
1,3,0.005,1,0.015625,0.08785060499177633,0.0,0.01
1,1,0.01,1,0.015625,0.08785060499177633,0.0,0.06
1,2,0.01,1,0.015625,0.08785060499177633,0.0,0.06
1,3,0.01,1,0.015625,0.08785060499177633,0.0,0.06
1,1,0.015,1,0.015625,0.08785060499177633,0.0,0.09
1,2,0.015,1,0.015625,0.08785060499177633,0.0,0.09
1,3,0.015,1,0.015625,0.08785060499177633,0.0,0.1
1,1,0.02,1,0.015625,0.08785060499177633,0.0,0.13
1,2,0.02,1,0.015625,0.08785060499177633,0.0,0.13
1,3,0.02,1,0.015625,0.08785060499177633,0.0,0.15
1,1,0.025,1,0.015625,0.08785060499177633,0.0,0.19
1,2,0.025,1,0.015625,0.08785060499177633,0.0,0.19
1,3,0.025,1,0.015625,0.08785060499177633,0.0,0.2
1,1,0.03,1,0.015625,0.08785060499177633,0.0,0.26
1,2,0.03,1,0.015625,0.08785060499177633,0.0,0.25
1,3,0.03,1,0.015625,0.08785060499177633,0.0,0.26
1,1,0.035,1,0.015625,0.08785060499177633,0.0,0.32
1,2,0.035,1,0.015625,0.08785060499177633,0.0,0.32
1,3,0.035,1,0.015625,0.08785060499177633,0.0,0.33
1,1,0.04,1,0.015625,0.08785060499177633,0.0,0.4
1,2,0.04,1,0.015625,0.08785060499177633,0.0,0.4
1,3,0.04,1,0.015625,0.08785060499177633,0.0,0.4
1,1,0.045,1,0.015625,0.08785060499177633,0.0,0.5
1,2,0.045,1,0.015625,0.08785060499177633,0.0,0.49
1,3,0.045,1,0.015625,0.08785060499177633,0.0,0.5
1,1,0.05,1,0.015625,0.08785060499177633,0.0,0.62
1,2,0.05,1,0.015625,0.08785060499177633,0.0,0.61
1,3,0.05,1,0.015625,0.08785060499177633,0.0,0.62
2,1,0.005,8,0.125,3.594790102940727,0.0592,2.03
