route,sigma_Ry,frequency_THz,a2F,cumulative_lambda
lambda.x,0.005,0.0,0.0,0.0
lambda.x,0.005,0.007,0.0,0.0
lambda.x,0.005,0.014,0.0,0.0
lambda.x,0.005,0.021,0.0,0.0
lambda.x,0.005,0.028,0.0,0.0
lambda.x,0.005,0.035,0.0,0.0
lambda.x,0.005,0.042,0.0,0.0
lambda.x,0.005,0.049,0.0,0.0
lambda.x,0.005,0.056,0.0,0.0
lambda.x,0.005,0.063,0.0,0.0
lambda.x,0.005,0.07,0.0,0.0
lambda.x,0.005,0.077,0.0,0.0
lambda.x,0.005,0.084,0.0,0.0
lambda.x,0.005,0.091,0.0,0.0
lambda.x,0.005,0.098,0.0,0.0
lambda.x,0.005,0.1051,0.0,0.0
lambda.x,0.005,0.1121,0.0,0.0
lambda.x,0.005,0.1191,0.0,0.0
lambda.x,0.005,0.1261,0.0,0.0
lambda.x,0.005,0.1331,0.0,0.0
lambda.x,0.005,0.1401,0.0,0.0
lambda.x,0.005,0.1471,0.0,0.0
lambda.x,0.005,0.1541,0.0,0.0
lambda.x,0.005,0.1611,0.0,0.0
lambda.x,0.005,0.1681,0.0,0.0
lambda.x,0.005,0.1751,0.0,0.0
lambda.x,0.005,0.1821,0.0,0.0
lambda.x,0.005,0.1891,0.0,0.0
lambda.x,0.005,0.1961,0.0,0.0
lambda.x,0.005,0.2031,0.0,0.0
lambda.x,0.005,0.2101,0.0,0.0
lambda.x,0.005,0.2171,0.0,0.0
lambda.x,0.005,0.2241,0.0,0.0
lambda.x,0.005,0.2311,0.0,0.0
lambda.x,0.005,0.2381,0.0,0.0
lambda.x,0.005,0.2451,0.0,0.0
lambda.x,0.005,0.2521,0.0,0.0
lambda.x,0.005,0.2591,0.0,0.0
lambda.x,0.005,0.2661,0.0,0.0
lambda.x,0.005,0.2731,0.0,0.0
lambda.x,0.005,0.2801,0.0,0.0
lambda.x,0.005,0.2871,0.0,0.0
lambda.x,0.005,0.2941,0.0,0.0
lambda.x,0.005,0.3012,0.0,0.0
lambda.x,0.005,0.3082,0.0,0.0
lambda.x,0.005,0.3152,0.0,0.0
lambda.x,0.005,0.3222,0.0,0.0
lambda.x,0.005,0.3292,0.0,0.0
lambda.x,0.005,0.3362,0.0,0.0
lambda.x,0.005,0.3432,0.0,0.0
lambda.x,0.005,0.3502,0.0,0.0
lambda.x,0.005,0.3572,0.0,0.0
lambda.x,0.005,0.3642,0.0,0.0
lambda.x,0.005,0.3712,0.0,0.0
lambda.x,0.005,0.3782,0.0,0.0
lambda.x,0.005,0.3852,0.0,0.0
lambda.x,0.005,0.3922,0.0,0.0
lambda.x,0.005,0.3992,0.0,0.0
lambda.x,0.005,0.4062,0.0,0.0
lambda.x,0.005,0.4132,0.0,0.0
lambda.x,0.005,0.4202,0.0,0.0
lambda.x,0.005,0.4272,0.0,0.0
lambda.x,0.005,0.4342,0.0,0.0
lambda.x,0.005,0.4412,0.0,0.0
lambda.x,0.005,0.4482,0.0,0.0
lambda.x,0.005,0.4552,0.0,0.0
lambda.x,0.005,0.4622,0.0,0.0
lambda.x,0.005,0.4692,0.0,0.0
lambda.x,0.005,0.4762,0.0,0.0
lambda.x,0.005,0.4832,0.0,0.0
lambda.x,0.005,0.4902,0.0,0.0
lambda.x,0.005,0.4972,0.0,0.0
lambda.x,0.005,0.5043,0.0,0.0
lambda.x,0.005,0.5113,0.0,0.0
lambda.x,0.005,0.5183,0.0,0.0
lambda.x,0.005,0.5253,0.0,0.0
lambda.x,0.005,0.5323,0.0,0.0
lambda.x,0.005,0.5393,0.0,0.0
lambda.x,0.005,0.5463,0.0,0.0
lambda.x,0.005,0.5533,0.0,0.0
lambda.x,0.005,0.5603,0.0,0.0
lambda.x,0.005,0.5673,0.0,0.0
lambda.x,0.005,0.5743,0.0,0.0
