sigma_Ry,mu_star,lambda_qsum,lambda_spectrum,omega_log_K,N_EF,N_EF_unit,Tc_K,native_printed_Tc_K,native_lambda_6dp,native_lambda_spectrum_6dp,native_omega_log_K_3dp,EF_eV
0.005,0.1,0.41224374999999996,0.4123118974907036,339.81624743456604,2.777246,states/spin/Ry/cell,1.6869390581823693,1.687,0.412244,0.412312,339.816,8.391315
0.01,0.1,0.3709890625,0.37105171212902066,338.5344661994304,2.728336,states/spin/Ry/cell,0.8982661799099061,0.898,0.370989,0.371052,338.534,8.38792
0.015,0.1,0.36952031250000006,0.3695817403585174,341.4706002819467,2.702967,states/spin/Ry/cell,0.8828682594564312,0.883,0.36952,0.369582,341.471,8.38562
0.02,0.1,0.36750468750000004,0.36756535942041996,342.6221244971399,2.674883,states/spin/Ry/cell,0.8544755780075988,0.854,0.367505,0.367565,342.622,8.383534
0.025,0.1,0.367121875,0.3671825172631722,342.59816752379805,2.658974,states/spin/Ry/cell,0.8485316333365439,0.849,0.367122,0.367183,342.598,8.381407
0.03,0.1,0.36844999999999994,0.3685110850475227,342.10936645906486,2.652038,states/spin/Ry/cell,0.867806445344264,0.868,0.36845,0.368511,342.109,8.379201
0.035,0.1,0.3703328125000001,0.37039447854903373,341.5137924665273,2.649843,states/spin/Ry/cell,0.8957669453356775,0.896,0.370333,0.370394,341.514,8.376997
0.04,0.1,0.37227968749999996,0.37234194106750884,340.93123133023505,2.650081,states/spin/Ry/cell,0.925252421155772,0.925,0.37228,0.372342,340.931,8.374864
0.045,0.1,0.3739999999999999,0.3740627708590021,340.4270418090821,2.651487,states/spin/Ry/cell,0.9517472456421662,0.952,0.374,0.374063,340.427,8.372824
0.05,0.1,0.37550468750000005,0.37556789368635374,340.0312306046614,2.653286,states/spin/Ry/cell,0.9753662856042158,0.975,0.375505,0.375568,340.031,8.370869
