sigma_Ry,mu_star,lambda_qsum_A,lambda_spectrum_A,omega_log_K_A,N_Ef_native_A,Tc_printed_K_A,Tc_printed_moments_K_A,Tc_rebuilt_K_A,lambda_qsum_rebuilt_A,lambda_spectrum_rebuilt_A,omega_log_rebuilt_K_A,lambda_qsum_B,lambda_spectrum_B,omega_log_K_B,N_Ef_native_B,Tc_printed_K_B,Tc_printed_moments_K_B,Tc_rebuilt_K_B,lambda_qsum_rebuilt_B,lambda_spectrum_rebuilt_B,omega_log_rebuilt_K_B,delta_Tc_printed_K,delta_Tc_printed_moments_K,delta_Tc_rebuilt_K
0.005,0.1,0.430378,0.430442,355.877,2.518161,2.212,2.212103183427636,2.2121048547475515,0.430378125,0.4304415098931551,355.87674820264516,0.412244,0.412312,339.816,2.777246,1.687,1.6869433692325078,1.6869390581823693,0.41224374999999996,0.4123118974907036,339.81624743456604,0.5250000000000001,0.5251598141951284,0.5251657965651821
0.01,0.1,0.371061,0.371121,344.606,2.624685,0.916,0.9155314321566799,0.9155315239786773,0.3710609375,0.37112120998566794,344.60641242725575,0.370989,0.371052,338.534,2.728336,0.898,0.8982639574025515,0.8982661799099061,0.3709890625,0.37105171212902066,338.5344661994304,0.018000000000000016,0.017267474754128376,0.017265344068771227
0.015,0.1,0.370295,0.370356,343.42,2.647439,0.9,0.9001660447074028,0.900170371150573,0.3702953124999999,0.37035597042772617,343.4197567901003,0.36952,0.369582,341.471,2.702967,0.883,0.8828643956433735,0.8828682594564312,0.36952031250000006,0.3695817403585174,341.4706002819467,0.017000000000000015,0.017301649064029312,0.017302111694141753
0.02,0.1,0.374486,0.374547,343.741,2.646097,0.969,0.969046002012425,0.9690437966359435,0.37448593750000003,0.37454723597987555,343.7405850459475,0.367505,0.367565,342.622,2.674883,0.854,0.8544800808337091,0.8544755780075988,0.36750468750000004,0.36756535942041996,342.6221244971399,0.11499999999999999,0.11456592117871589,0.11456821862834476
0.025,0.1,0.374613,0.374674,343.537,2.643523,0.971,0.970575226299115,0.970567571980822,0.37461250000000007,0.3746739717621056,343.5372249264546,0.367122,0.367183,342.598,2.658974,0.849,0.8485331359744982,0.8485316333365439,0.367121875,0.3671825172631722,342.59816752379805,0.122,0.12204209032461677,0.12203593864427809
0.03,0.1,0.373773,0.373835,342.831,2.643829,0.955,0.9547385185250545,0.9547458658913996,0.37377343749999997,0.3738351079852376,342.83106003425945,0.36845,0.368511,342.109,2.652038,0.868,0.8678055157715326,0.867806445344264,0.36844999999999994,0.3685110850475227,342.10936645906486,0.08699999999999997,0.08693300275352189,0.08693942054713566
0.035,0.1,0.373581,0.373643,342.006,2.645823,0.949,0.9493004495024966,0.949304245163308,0.37358125000000003,0.3736432603608637,342.00589559580726,0.370333,0.370394,341.514,2.649843,0.896,0.8957704526427541,0.8957669453356775,0.3703328125000001,0.37039447854903373,341.5137924665273,0.052999999999999936,0.05352999685974247,0.05353729982763056
0.04,0.1,0.374086,0.374148,341.243,2.648339,0.955,0.9554370143407973,0.9554370920252211,0.37408593749999997,0.3741483684143978,341.2433935079562,0.37228,0.372342,340.931,2.650081,0.925,0.9252568196792952,0.925252421155772,0.37227968749999996,0.37234194106750884,340.93123133023505,0.029999999999999916,0.030180194661502124,0.030184670869449093
0.045,0.1,0.375022,0.375085,340.631,2.650827,0.969,0.9691019968365834,0.9690996938467834,0.37502187499999995,0.37508473583089413,340.6309156463961,0.374,0.374063,340.427,2.651487,0.952,0.9517471287546293,0.9517472456421662,0.3739999999999999,0.3740627708590021,340.4270418090821,0.017000000000000015,0.017354868081954078,0.017352448204617232
0.05,0.1,0.376041,0.376104,340.145,2.653067,0.985,0.9845948691052024,0.9845880840026243,0.376040625,0.37610387574411847,340.1448118464218,0.375505,0.375568,340.031,2.653286,0.975,0.9753707963565843,0.9753662856042158,0.37550468750000005,0.37556789368635374,340.0312306046614,0.010000000000000009,0.00922407274861814,0.009221798398408532
