# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.005    0.412244    0.412312   339.816    2.777246
  0.010    0.370989    0.371052   338.534    2.728336
  0.015    0.369520    0.369582   341.471    2.702967
  0.020    0.367505    0.367565   342.622    2.674883
  0.025    0.367122    0.367183   342.598    2.658974
  0.030    0.368450    0.368511   342.109    2.652038
  0.035    0.370333    0.370394   341.514    2.649843
  0.040    0.372280    0.372342   340.931    2.650081
  0.045    0.374000    0.374063   340.427    2.651487
  0.050    0.375505    0.375568   340.031    2.653286
