     lambda = 0.412244 (   0.412312 )  <log w>=  339.816 K  N(Ef)=  2.777246 at degauss= 0.005
     lambda = 0.370989 (   0.371052 )  <log w>=  338.534 K  N(Ef)=  2.728336 at degauss= 0.010
     lambda = 0.369520 (   0.369582 )  <log w>=  341.471 K  N(Ef)=  2.702967 at degauss= 0.015
     lambda = 0.367505 (   0.367565 )  <log w>=  342.622 K  N(Ef)=  2.674883 at degauss= 0.020
     lambda = 0.367122 (   0.367183 )  <log w>=  342.598 K  N(Ef)=  2.658974 at degauss= 0.025
     lambda = 0.368450 (   0.368511 )  <log w>=  342.109 K  N(Ef)=  2.652038 at degauss= 0.030
     lambda = 0.370333 (   0.370394 )  <log w>=  341.514 K  N(Ef)=  2.649843 at degauss= 0.035
     lambda = 0.372280 (   0.372342 )  <log w>=  340.931 K  N(Ef)=  2.650081 at degauss= 0.040
     lambda = 0.374000 (   0.374063 )  <log w>=  340.427 K  N(Ef)=  2.651487 at degauss= 0.045
     lambda = 0.375505 (   0.375568 )  <log w>=  340.031 K  N(Ef)=  2.653286 at degauss= 0.050
lambda        omega_log          T_c
   0.41224       339.816              1.687
   0.37099       338.534              0.898
   0.36952       341.471              0.883
   0.36750       342.622              0.854
   0.36712       342.598              0.849
   0.36845       342.109              0.868
   0.37033       341.514              0.896
   0.37228       340.931              0.925
   0.37400       340.427              0.952
   0.37550       340.031              0.975
