run,T_K,omega0_eV,Z_omega0,Delta_omega0_meV,converged,iterations,requested_wscut_eV,muc,whole_run_complete
nonlinear-w010,0.5,0.00013536075435,1.341404028,0.22067161673,True,11,0.1,0.1,False
nonlinear-w010,0.75,0.00020304113152,1.3414099605,0.21132808452,True,11,0.1,0.1,False
nonlinear-w010,1.0,0.0002707215087,1.3415889685,0.18705650060999998,True,11,0.1,0.1,False
nonlinear-w010,1.25,0.00033840188587,1.341622989,0.13725598514,True,12,0.1,0.1,False
nonlinear-w010-T0.25,0.25,6.7680377175e-05,1.3414852175,0.22205627833,True,11,0.1,0.1,True
nonlinear-w010-T0.50,0.5,0.00013536075435,1.341404028,0.22067161673,True,11,0.1,0.1,True
nonlinear-w010-T0.75,0.75,0.00020304113152,1.3414099604,0.21132811267,True,11,0.1,0.1,True
nonlinear-w010-T1.00,1.0,0.0002707215087,1.3415889685,0.18705651722,True,12,0.1,0.1,True
nonlinear-w010-T1.25,1.25,0.00033840188587,1.341622989,0.13725598522000002,True,12,0.1,0.1,True
nonlinear-w010-T1.35,1.35,0.00036547403674,1.3416253486,0.10224021024999999,True,11,0.1,0.1,True
nonlinear-w010-T1.40,1.4,0.00037901011218,1.3415875114,0.076483953076,True,14,0.1,0.1,True
nonlinear-w010-T1.43,1.43,0.00038713175744,1.3414878627,0.054564784097,True,15,0.1,0.1,True
nonlinear-w010-T1.45,1.45,0.00039254618761,1.3413889366,0.031887253157,True,19,0.1,0.1,True
