run,T_K,max_eigenvalue,nsiw,actual_wscut_eV,iterations,requested_wscut_eV,muc,solver,complete,nsiter
linear-w010,0.5,1.2909425,369,0.1,10,0.1,0.1,power,True,500
linear-w010,0.75,1.180836,246,0.1001,10,0.1,0.1,power,True,500
linear-w010,1.0,1.1027361,185,0.1004,11,0.1,0.1,power,True,500
linear-w010,1.25,1.0423226,148,0.1005,11,0.1,0.1,power,True,500
linear-w010,1.5,0.9931277,123,0.1003,11,0.1,0.1,power,True,500
linear-w010,1.75,0.951289,106,0.1009,12,0.1,0.1,power,True,500
linear-w010,2.0,0.9155752,92,0.1002,12,0.1,0.1,power,True,500
linear-w010-lapack,1.46,1.0002422,127,0.1008,1,0.1,0.1,lapack,True,500
linear-w010-refine,1.43,1.0060504,129,0.1003,11,0.1,0.1,power,True,500
linear-w010-refine,1.44,1.0041981,128,0.1002,11,0.1,0.1,power,True,500
linear-w010-refine,1.45,1.0023633,127,0.1001,11,0.1,0.1,power,True,500
linear-w010-refine,1.46,1.0002425,127,0.1008,11,0.1,0.1,power,True,500
linear-w010-refine,1.47,0.9984385,126,0.1007,11,0.1,0.1,power,True,500
linear-w010-refine,1.48,0.9966515,125,0.1006,11,0.1,0.1,power,True,500
linear-w010-refine,1.49,0.9948812,124,0.1004,11,0.1,0.1,power,True,500
linear-w010-refine,1.5,0.9931277,123,0.1003,11,0.1,0.1,power,True,500
linear-w020,0.5,1.288415,739,0.2002,11,0.2,0.1,power,True,500
linear-w020,0.75,1.1786861,493,0.2004,11,0.2,0.1,power,True,500
linear-w020,1.0,1.1009367,369,0.2001,12,0.2,0.1,power,True,500
linear-w020,1.25,1.0408277,296,0.2007,12,0.2,0.1,power,True,500
linear-w020,1.5,0.9916867,246,0.2002,13,0.2,0.1,power,True,500
linear-w020,1.75,0.9502647,211,0.2004,13,0.2,0.1,power,True,500
linear-w020,2.0,0.9144662,185,0.2009,13,0.2,0.1,power,True,500
linear-w020-refine,1.43,1.0045412,258,0.2001,12,0.2,0.1,power,True,500
linear-w020-refine,1.44,1.002734,257,0.2008,12,0.2,0.1,power,True,500
linear-w020-refine,1.45,1.0008521,255,0.2006,12,0.2,0.1,power,True,500
linear-w020-refine,1.46,0.9989809,253,0.2004,13,0.2,0.1,power,True,500
linear-w020-refine,1.47,0.9971198,251,0.2002,13,0.2,0.1,power,True,500
linear-w020-refine,1.48,0.9953575,250,0.2007,13,0.2,0.1,power,True,500
linear-w040,0.5,1.3086839,1478,0.4003,13,0.4,0.1,power,True,500
linear-w040,0.75,1.1992334,985,0.4002,13,0.4,0.1,power,True,500
linear-w040,1.0,1.1217843,739,0.4004,14,0.4,0.1,power,True,500
linear-w040,1.25,1.0618144,591,0.4003,14,0.4,0.1,power,True,500
linear-w040,1.5,1.0129535,493,0.4008,14,0.4,0.1,power,True,500
linear-w040,1.75,0.9716354,422,0.4003,15,0.4,0.1,power,True,500
linear-w040,2.0,0.9359209,369,0.4001,15,0.4,0.1,power,True,500
linear-w040-refine,1.55,1.0041608,477,0.4007,15,0.4,0.1,power,True,500
linear-w040-refine,1.56,1.0024426,474,0.4008,15,0.4,0.1,power,True,500
linear-w040-refine,1.57,1.0007327,471,0.4008,15,0.4,0.1,power,True,500
linear-w040-refine,1.58,0.999031,468,0.4008,15,0.4,0.1,power,True,500
linear-w040-refine,1.59,0.9973372,465,0.4007,15,0.4,0.1,power,True,500
linear-w040-refine,1.6,0.9956513,462,0.4007,15,0.4,0.1,power,True,500
