k_index,distance_inv_angstrom,band,QE_eV,Wannier_eV,error_eV
1,0.0,1,-3.1665642422585454,-3.1665642,4.225854555173214e-08
1,0.0,2,21.32626988735414,21.32627,1.1264586063930437e-07
1,0.0,3,21.326269887354158,21.934007,0.6077371126458431
1,0.0,4,21.326269887354208,22.400752,1.0744821126457929
2,0.039706001,1,-3.1605806214296237,-3.1638687,-0.003288078570376385
2,0.039706001,2,21.229735696265983,21.373629,0.14389330373401776
2,0.039706001,3,21.229735696265994,21.873375,0.6436393037340054
2,0.039706001,4,21.274438143892674,22.315393,1.0409548561073265
3,0.079412002,1,-3.1426319713730666,-3.1616001,-0.0189681286269332
3,0.079412002,2,20.996690961441015,21.303158,0.30646703855898494
3,0.079412002,3,20.996690961441054,21.824312,0.8276210385589451
3,0.079412002,4,21.1281507884293,22.240634,1.1124832115707015
4,0.119118,1,-3.1126744192559226,-3.1587992,-0.04612478074407722
4,0.119118,2,20.703720492843914,21.125479,0.42175850715608476
4,0.119118,3,20.70372049284402,21.753789,1.0500685071559808
4,0.119118,4,20.908955980064537,22.200767,1.2918110199354622
5,0.158824,1,-3.0707715102911193,-3.153896,-0.08312448970888076
5,0.158824,2,20.388734101347612,20.884568,0.49583389865238914
5,0.158824,3,20.38873410134766,21.609291,1.2205568986523403
5,0.158824,4,20.639951478971533,22.2065,1.5665485210284658
6,0.19853001,1,-3.016989909300728,-3.1447803,-0.12779039069927167
6,0.19853001,2,20.067576793887792,20.606573,0.5389962061122091
6,0.19853001,3,20.067576793887806,21.396271,1.3286942061121927
6,0.19853001,4,20.339720005181288,22.228676,1.888955994818712
7,0.23823601,1,-2.9512960261080825,-3.128899,-0.1776029738919176
7,0.23823601,2,19.747359577982564,20.304366,0.5570064220174373
7,0.23823601,3,19.74735957798261,21.13231,1.3849504220173898
7,0.23823601,4,20.02143870173865,22.239574,2.218135298261352
8,0.27794201,1,-2.87372185385064,-3.103375,-0.22965314614936005
8,0.27794201,2,19.431618539503052,19.985697,0.554078460496946
8,0.27794201,3,19.431618539503113,20.828546,1.3969274604968867
8,0.27794201,4,19.694017521328085,22.223354,2.5293364786719152
9,0.31764801,1,-2.784284808592019,-3.0651416,-0.2808567914079809
9,0.31764801,2,19.12232455506823,19.656292,0.533967444931772
9,0.31764801,3,19.12232455506829,20.492801,1.370476444931711
9,0.31764801,4,19.36337334260477,22.169873,2.8064996573952286
10,0.35735401,1,-2.6830210133844923,-3.0110859,-0.3280648866155076
10,0.35735401,2,18.820613474659773,19.320937,0.5003235253402281
10,0.35735401,3,18.820613474659798,20.131806,1.3111925253402035
10,0.35735401,4,19.033552061305297,22.07144,3.037887938694702
11,0.39706001,1,-2.5700263060339092,-2.9381921,-0.36816579396609095
11,0.39706001,2,18.52717026702517,18.983855,0.4566847329748285
11,0.39706001,3,18.527170267025216,19.751937,1.2247667329747856
11,0.39706001,4,18.70731341626228,21.921764,3.214450583737719
12,0.43676601,1,-2.4452265117370358,-2.8436797,-0.3984531882629643
12,0.43676601,2,18.24253646227607,18.648819,0.4062825377239285
12,0.43676601,3,18.242536462276128,19.35939,1.1168535377238733
12,0.43676601,4,18.386638109132036,21.715718,3.3290798908679626
13,0.47647201,1,-2.3087237646566248,-2.7251272,-0.4164034353433754
13,0.47647201,2,17.966997088223188,18.319177,0.35217991177681185
13,0.47647201,3,17.96699708822324,18.960167,0.9931699117767572
13,0.47647201,4,18.072914108678177,21.449386,3.376471891321824
14,0.51617802,1,-2.160567726103402,-2.5805794,-0.42001167389659777
14,0.51617802,2,17.700774270826273,17.997824,0.29704972917372885
14,0.51617802,3,17.7007742708263,18.559995,0.8592207291736997
14,0.51617802,4,17.767169619976674,21.120213,3.353043380023326
15,0.55588402,1,-2.0008122394885133,-2.4086317,-0.40781946051148665
15,0.55588402,2,17.444024596174867,17.687185,0.24316040382513293
15,0.55588402,3,17.444024596174877,18.164222,0.7201974038251215
15,0.55588402,4,17.470172688720588,20.727141,3.2569683112794117
16,0.59559002,1,-1.8294956908497475,-2.2084905,-0.3789948091502524
16,0.59559002,2,17.182506913413317,17.389186,0.2066790865866821
16,0.59559002,3,17.19685914650396,17.777719,0.5808598534960403
16,0.59559002,4,17.19685914650408,20.270723,3.0738638534959186
17,0.63529602,1,-1.6467038414645725,-1.9800086,-0.3333047585354274
17,0.63529602,2,16.904622686147388,17.10525,0.200627313852614
17,0.63529602,3,16.95935643573204,17.404802,0.4454455642679598
17,0.63529602,4,16.95935643573209,19.753185,2.7938285642679084
18,0.67500202,1,-1.452518155309864,-1.723696,-0.27117784469013584
18,0.67500202,2,16.636872488494117,16.836286,0.1994135115058846
18,0.67500202,3,16.731571119266846,17.049165,0.31759388073315264
18,0.67500202,4,16.731571119266913,19.178431,2.4468598807330864
19,0.71470802,1,-1.2470751397754718,-1.4407067,-0.1936315602245282
19,0.71470802,2,16.379520143081923,16.582636,0.2031158569180782
19,0.71470802,3,16.513502368976386,16.713863,0.20036063102361368
19,0.71470802,4,16.51350236897643,18.552018,2.0385156310235715
20,0.75441402,1,-1.0302899179068155,-1.1328047,-0.10251478209318465
20,0.75441402,2,16.132820907608245,16.343642,0.21082109239175395
20,0.75441402,3,16.30524886956784,16.401597,0.09634813043215829
20,0.75441402,4,16.305248869567905,17.881181,1.575932130432097
21,0.79412002,1,-0.802311950017187,-0.80231195,1.718702957731466e-11
21,0.79412002,2,15.896940645507224,16.104663,0.2077223544927751
21,0.79412002,3,16.106785797639382,16.12706,0.02027420236061772
21,0.79412002,4,16.10678579763955,17.175318,1.0685322023604513
