omega_meV,alpha2F,native_cumulative_lambda
0.0904076,0.0,0.0
0.1808152,0.0,0.0
0.2712228,0.0,0.0
0.3616304,0.0,0.0
0.452038,0.0,0.0
0.5424457,0.0,0.0
0.6328533,0.0,0.0
0.7232609,0.0,0.0
0.8136685,0.0,0.0
0.9040761,0.0,0.0
0.9944837,0.0,0.0
1.0848913,0.0,0.0
1.1752989,0.0,0.0
1.2657065,0.0,0.0
1.3561141,0.0,0.0
1.4465217,0.0,0.0
1.5369293,0.0,0.0
1.627337,0.0,0.0
1.7177446,0.0,0.0
1.8081522,0.0,0.0
1.8985598,0.0,0.0
1.9889674,0.0,0.0
2.079375,0.0,0.0
2.1697826,0.0,0.0
2.2601902,0.0,0.0
2.3505978,0.0,0.0
2.4410054,0.0,0.0
2.531413,0.0,0.0
2.6218206,0.0,0.0
2.7122283,0.0,0.0
2.8026359,0.0,0.0
2.8930435,0.0,0.0
2.9834511,0.0,0.0
3.0738587,0.0,0.0
3.1642663,0.0,0.0
3.2546739,0.0,0.0
3.3450815,0.0,0.0
3.4354891,0.0,0.0
3.5258967,0.0,0.0
3.6163043,0.0,0.0
3.7067119,0.0,0.0
3.7971196,0.0,0.0
3.8875272,0.0,0.0
3.9779348,0.0,0.0
4.0683424,0.0,0.0
4.15875,0.0,0.0
4.2491576,1e-07,0.0
4.3395652,3e-07,0.0
4.4299728,1.1e-06,1e-07
4.5203804,3.1e-06,2e-07
4.610788,8.3e-06,5e-07
4.7011956,2.1e-05,1.3e-06
4.7916032,4.96e-05,3.2e-06
4.8820109,0.00011,7.3e-06
4.9724185,0.0002284,1.56e-05
5.0628261,0.0004442,3.14e-05
5.1532337,0.0008092,5.98e-05
5.2436413,0.001381,0.0001074
5.3340489,0.0022082,0.0001823
5.4244565,0.0033084,0.0002926
5.5148641,0.0046461,0.0004449
5.6052717,0.0061199,0.0006423
5.6956793,0.0075709,0.0008827
5.7860869,0.0088188,0.0011583
5.8764945,0.0097201,0.0014573
5.9669022,0.0102304,0.0017674
6.0573098,0.010447,0.0020792
6.1477174,0.0106061,0.0023912
6.238125,0.0110283,0.0027108
6.3285326,0.0120194,0.0030542
6.4189402,0.0137548,0.0034417
6.5093478,0.0161883,0.0038914
6.5997554,0.0190197,0.0044124
6.690163,0.0217453,0.0050002
6.7805706,0.0237835,0.0056344
6.8709782,0.0246387,0.0062828
6.9613858,0.0240462,0.0069073
7.0517935,0.0220466,0.0074726
7.1422011,0.0189617,0.0079527
7.2326087,0.0152876,0.0083349
7.3230163,0.0115495,0.0086201
7.4134239,0.0081747,0.0088194
7.5038315,0.0054203,0.00895
7.5942391,0.0033666,0.0090302
7.6846467,0.0019588,0.0090763
7.7750543,0.0010676,0.0091011
7.8654619,0.0005452,0.0091136
7.9558695,0.0002614,0.0091196
