q_index,qx_cart_2pi_alat,qy_cart_2pi_alat,qz_cart_2pi_alat,mode,frequency_meV
1,0.0,0.0,0.0,1,-0.0
1,0.0,0.0,0.0,2,-0.0
1,0.0,0.0,0.0,3,0.0
2,-0.058926,0.058926,-0.058926,1,5.9373
2,-0.058926,0.058926,-0.058926,2,5.9373
2,-0.058926,0.058926,-0.058926,3,11.0593
3,-0.117851,0.117851,-0.117851,1,11.0617
3,-0.117851,0.117851,-0.117851,2,11.0617
3,-0.117851,0.117851,-0.117851,3,21.1855
4,-0.176777,0.176777,-0.176777,1,14.8669
4,-0.176777,0.176777,-0.176777,2,14.8669
4,-0.176777,0.176777,-0.176777,3,29.6349
5,-0.235702,0.235702,-0.235702,1,17.2766
5,-0.235702,0.235702,-0.235702,2,17.2766
5,-0.235702,0.235702,-0.235702,3,35.9264
6,-0.294628,0.294628,-0.294628,1,18.525
6,-0.294628,0.294628,-0.294628,2,18.525
6,-0.294628,0.294628,-0.294628,3,39.7916
7,-0.353553,0.353553,-0.353553,1,18.9003
7,-0.353553,0.353553,-0.353553,2,18.9003
7,-0.353553,0.353553,-0.353553,3,41.0944
8,-0.412479,0.412479,-0.412479,1,18.525
8,-0.412479,0.412479,-0.412479,2,18.525
8,-0.412479,0.412479,-0.412479,3,39.7916
9,-0.471405,0.471405,-0.471405,1,17.2766
9,-0.471405,0.471405,-0.471405,2,17.2766
9,-0.471405,0.471405,-0.471405,3,35.9264
10,-0.53033,0.53033,-0.53033,1,14.8669
10,-0.53033,0.53033,-0.53033,2,14.8669
10,-0.53033,0.53033,-0.53033,3,29.6349
11,-0.589256,0.589256,-0.589256,1,11.0617
11,-0.589256,0.589256,-0.589256,2,11.0617
11,-0.589256,0.589256,-0.589256,3,21.1855
12,-0.648181,0.648181,-0.648181,1,5.9373
12,-0.648181,0.648181,-0.648181,2,5.9373
12,-0.648181,0.648181,-0.648181,3,11.0593
13,0.058926,0.058926,0.058926,1,5.9373
13,0.058926,0.058926,0.058926,2,5.9373
13,0.058926,0.058926,0.058926,3,11.0593
14,0.0,0.117851,0.0,1,6.8906
14,0.0,0.117851,0.0,2,6.8906
14,0.0,0.117851,0.0,3,12.6468
15,-0.058926,0.176777,-0.058926,1,10.9529
15,-0.058926,0.176777,-0.058926,2,11.2788
15,-0.058926,0.176777,-0.058926,3,19.9977
16,-0.117851,0.235702,-0.117851,1,14.7722
16,-0.117851,0.235702,-0.117851,2,15.4938
16,-0.117851,0.235702,-0.117851,3,27.6667
17,-0.176777,0.294628,-0.176777,1,17.4576
17,-0.176777,0.294628,-0.176777,2,18.3918
17,-0.176777,0.294628,-0.176777,3,34.0733
18,-0.235702,0.353553,-0.235702,1,18.9689
18,-0.235702,0.353553,-0.235702,2,20.0426
18,-0.235702,0.353553,-0.235702,3,38.5178
19,-0.294628,0.412479,-0.294628,1,19.5243
19,-0.294628,0.412479,-0.294628,2,20.7732
19,-0.294628,0.412479,-0.294628,3,40.6112
20,-0.353553,0.471405,-0.353553,1,19.3102
20,-0.353553,0.471405,-0.353553,2,20.7679
20,-0.353553,0.471405,-0.353553,3,40.1778
21,-0.412479,0.53033,-0.412479,1,18.3356
21,-0.412479,0.53033,-0.412479,2,19.9414
21,-0.412479,0.53033,-0.412479,3,37.2436
22,-0.471405,0.589256,-0.471405,1,16.4264
22,-0.471405,0.589256,-0.471405,2,17.993
22,-0.471405,0.589256,-0.471405,3,32.0449
23,-0.53033,0.648181,-0.53033,1,13.3926
23,-0.53033,0.648181,-0.53033,2,14.6122
23,-0.53033,0.648181,-0.53033,3,25.0748
24,-0.589256,0.707107,-0.589256,1,9.4081
24,-0.589256,0.707107,-0.589256,2,9.9223
24,-0.589256,0.707107,-0.589256,3,17.287
25,0.117851,0.117851,0.117851,1,11.0617
25,0.117851,0.117851,0.117851,2,11.0617
25,0.117851,0.117851,0.117851,3,21.1855
26,0.058926,0.176777,0.058926,1,10.9529
26,0.058926,0.176777,0.058926,2,11.2788
26,0.058926,0.176777,0.058926,3,19.9977
27,0.0,0.235702,0.0,1,13.2766
27,0.0,0.235702,0.0,2,13.2766
27,0.0,0.235702,0.0,3,23.3324
28,-0.058926,0.294628,-0.058926,1,16.3266
28,-0.058926,0.294628,-0.058926,2,17.0152
28,-0.058926,0.294628,-0.058926,3,28.2474
29,-0.117851,0.353553,-0.117851,1,18.8553
29,-0.117851,0.353553,-0.117851,2,20.8498
29,-0.117851,0.353553,-0.117851,3,32.9699
30,-0.176777,0.412479,-0.176777,1,20.454
30,-0.176777,0.412479,-0.176777,2,23.5022
30,-0.176777,0.412479,-0.176777,3,36.8919
31,-0.235702,0.471405,-0.235702,1,21.1292
31,-0.235702,0.471405,-0.235702,2,24.9519
31,-0.235702,0.471405,-0.235702,3,39.2999
32,-0.294628,0.53033,-0.294628,1,20.9964
32,-0.294628,0.53033,-0.294628,2,25.4879
32,-0.294628,0.53033,-0.294628,3,39.5939
33,-0.353553,0.589256,-0.353553,1,20.1366
33,-0.353553,0.589256,-0.353553,2,25.109
33,-0.353553,0.589256,-0.353553,3,37.6407
34,-0.412479,0.648181,-0.412479,1,18.5505
34,-0.412479,0.648181,-0.412479,2,23.3956
34,-0.412479,0.648181,-0.412479,3,33.9195
35,-0.471405,0.707107,-0.471405,1,16.2217
35,-0.471405,0.707107,-0.471405,2,19.7216
35,-0.471405,0.707107,-0.471405,3,29.4701
36,-0.53033,0.766032,-0.53033,1,13.3926
36,-0.53033,0.766032,-0.53033,2,14.6122
36,-0.53033,0.766032,-0.53033,3,25.0748
37,0.176777,0.176777,0.176777,1,14.8669
37,0.176777,0.176777,0.176777,2,14.8669
37,0.176777,0.176777,0.176777,3,29.6349
38,0.117851,0.235702,0.117851,1,14.7722
38,0.117851,0.235702,0.117851,2,15.4938
38,0.117851,0.235702,0.117851,3,27.6667
39,0.058926,0.294628,0.058926,1,16.3266
39,0.058926,0.294628,0.058926,2,17.0152
39,0.058926,0.294628,0.058926,3,28.2474
40,0.0,0.353553,0.0,1,18.6716
40,0.0,0.353553,0.0,2,18.6716
40,0.0,0.353553,0.0,3,31.1471
41,-0.058926,0.412479,-0.058926,1,20.8571
41,-0.058926,0.412479,-0.058926,2,21.8481
41,-0.058926,0.412479,-0.058926,3,34.144
42,-0.117851,0.471405,-0.117851,1,22.3843
42,-0.117851,0.471405,-0.117851,2,25.6514
42,-0.117851,0.471405,-0.117851,3,36.4484
