step,energy_sample_time_fs,position_time_fs,temperature_K,potential_Ry,kinetic_Ry,total_Ry,scf_iterations,early_diagonalization_warning_count,scf_estimated_accuracy_Ry,total_change_meV_atom
1,0.0,0.48377686529999997,299.99999998,-33.52087979,0.01995091,-33.50092887,8,0,2.3e-11,0.0
2,0.48377686529999997,0.9675537305999999,299.81301001,-33.52086736,0.01993848,-33.50092888,6,0,4.8e-11,-1.7007105726634606e-05
3,0.9675537305999999,1.4513305959,299.25261348,-33.5208301,0.01990121,-33.50092889,6,0,4.6e-11,-3.401422353755223e-05
4,1.4513305959,1.9351074611999999,298.32049041,-33.52076812,0.01983922,-33.5009289,6,0,4.7e-11,-5.102134134846984e-05
5,1.9351074611999999,2.4188843264999997,297.01917199,-33.52068158,0.01975268,-33.5009289,6,0,4.7e-11,-5.102134134846984e-05
6,2.4188843264999997,2.9026611918,295.35220099,-33.52057072,0.01964182,-33.5009289,6,0,5e-11,-5.102134134846984e-05
7,2.9026611918,3.3864380571,293.32412697,-33.52043584,0.01950695,-33.5009289,6,0,5.5e-11,-5.102134134846984e-05
8,3.3864380571,3.8702149223999998,290.94049336,-33.52027731,0.01934843,-33.50092889,6,0,5.7e-11,-3.401422353755223e-05
9,3.8702149223999998,4.3539917877,288.20783509,-33.52009557,0.0191667,-33.50092887,6,0,5.9e-11,0.0
10,4.3539917877,4.8377686529999995,285.13367262,-33.51989111,0.01896226,-33.50092886,6,0,5.9e-11,1.700711781091762e-05
11,4.8377686529999995,5.3215455183,281.72648801,-33.5196645,0.01873567,-33.50092883,6,0,6e-11,6.802847124367048e-05
12,5.3215455183,5.8053223836,277.99571394,-33.51941637,0.01848756,-33.50092881,6,0,6.1e-11,0.00010204270686550571
13,5.8053223836,6.2890992488999995,273.9517196,-33.5191474,0.01821862,-33.50092878,6,0,6.1e-11,0.00015306404821397557
14,6.2890992488999995,6.7728761142,269.60578928,-33.51885835,0.01792961,-33.50092875,6,0,6.2e-11,0.00020408540164672844
15,6.7728761142,7.2566529795,264.97010117,-33.51855003,0.01762132,-33.50092871,6,0,6.2e-11,0.0002721138728903989
16,7.2566529795,7.7404298447999995,260.05769958,-33.5182233,0.01729463,-33.50092867,6,0,6.2e-11,0.0003401423320497864
17,7.7404298447999995,8.224206710099999,254.88246559,-33.51787908,0.01695046,-33.50092863,6,0,6.1e-11,0.0004081708032934569
18,8.224206710099999,8.7079835754,249.45908547,-33.51751837,0.01658979,-33.50092858,6,0,6.1e-11,0.0004932063802637619
19,8.7079835754,9.1917604407,243.80301419,-33.51714217,0.01621364,-33.50092853,6,0,6.1e-11,0.000578241957234067
20,9.1917604407,9.675537305999999,237.93044163,-33.51675157,0.0158231,-33.50092847,6,0,6.1e-11,0.0006802846640995728
21,9.675537305999999,10.1593141713,231.85825101,-33.5163477,0.01541928,-33.50092842,6,0,6e-11,0.0007653202410698778
22,10.1593141713,10.6430910366,225.60397234,-33.51593171,0.01500335,-33.50092836,6,0,5.8e-11,0.0008673629358511006
23,10.6430910366,11.126867901899999,219.18573716,-33.51550482,0.01457652,-33.5009283,6,0,5.8e-11,0.0009694056427166063
24,11.126867901899999,11.6106447672,212.62222866,-33.51506826,0.01414003,-33.50092823,6,0,5.6e-11,0.0010884554553087465
25,11.6106447672,12.0944216325,205.93262944,-33.51462331,0.01369515,-33.50092817,6,0,5.4e-11,0.0011904981500899692
26,12.0944216325,12.578198497799999,199.13656571,-33.51417129,0.01324319,-33.5009281,6,0,5.3e-11,0.0013095479626821095
27,12.578198497799999,13.0619753631,192.25405148,-33.51371351,0.01278548,-33.50092803,6,0,5.1e-11,0.001428597787358533
28,13.0619753631,13.5457522284,185.3054299,-33.51325133,0.01232337,-33.50092796,6,0,4.9e-11,0.0015476475999506734
29,13.5457522284,14.029529093699999,178.31130903,-33.51278613,0.01185824,-33.50092788,6,0,4.8e-11,0.001683704530353731
30,14.029529093699999,14.513305959,171.29249746,-33.51231928,0.01139147,-33.50092781,6,0,4.6e-11,0.0018027543429458717
31,14.513305959,14.9970828243,164.26993852,-33.51185218,0.01092445,-33.50092773,6,0,4.5e-11,0.0019388112733489293
32,14.9970828243,15.480859689599999,157.26464238,-33.51138623,0.01045858,-33.50092766,6,0,4.2e-11,0.0020578610859410696
33,15.480859689599999,15.9646365549,150.29761439,-33.51092283,0.00999525,-33.50092758,6,0,4e-11,0.002193918016344128
34,15.9646365549,16.448413420199998,143.38978218,-33.51046336,0.00953586,-33.5009275,6,0,3.8e-11,0.0023299749467471857
35,16.448413420199998,16.9321902855,136.5619226,-33.51000921,0.00908178,-33.50092743,6,0,3.6e-11,0.002449024771423609
36,16.9321902855,17.4159671508,129.83458572,-33.50956175,0.0086344,-33.50092735,6,0,3.4e-11,0.002585081701826667
37,17.4159671508,17.899744016099998,123.22802144,-33.50912232,0.00819504,-33.50092728,6,0,3.2e-11,0.0027041315144188073
38,17.899744016099998,18.3835208814,116.76210189,-33.50869224,0.00776504,-33.5009272,6,0,3e-11,0.0028401884448218655
39,18.3835208814,18.8672977467,110.45624395,-33.50827281,0.00734568,-33.50092713,6,0,2.8e-11,0.002959238257414006
40,18.8672977467,19.351074611999998,104.32933327,-33.50786528,0.00693822,-33.50092706,6,0,2.6e-11,0.003078288070006146
41,19.351074611999998,19.8348514773,98.39964726,-33.50747087,0.00654388,-33.500927,6,0,2.3e-11,0.0031803307768716515
42,19.8348514773,20.3186283426,92.68478024,-33.50709075,0.00616382,-33.50092693,6,0,2e-11,0.0032993805894637918
43,20.3186283426,20.802405207899998,87.20156873,-33.50672604,0.00579917,-33.50092687,6,0,1.7e-11,0.003401423284245015
44,20.802405207899998,21.2861820732,81.96601787,-33.5063778,0.00545099,-33.50092681,6,0,1.5e-11,0.003503465979026237
45,21.2861820732,21.7699589385,76.99323314,-33.50604704,0.00512028,-33.50092675,6,0,1.2e-11,0.0036055086858917435
46,21.7699589385,22.253735803799998,72.29735429,-33.50573469,0.00480799,-33.5009267,6,0,1.1e-11,0.003690544262862048
47,22.253735803799998,22.7375126691,67.89149081,-33.50544164,0.00451499,-33.50092665,6,0,9.3e-12,0.0037755798519166365
48,22.7375126691,23.2212895344,63.78766211,-33.50516868,0.00424207,-33.50092661,6,0,8.6e-12,0.003843608311076024
49,23.2212895344,23.705066399699998,59.99668329,-33.50491653,0.00398996,-33.50092657,5,0,9.8e-11,0.003911636782319695
50,23.705066399699998,24.188843265,56.5282455,-33.50468584,0.0037593,-33.50092654,5,0,8.7e-11,0.003962658123668164
51,24.188843265,24.6726201303,53.39085125,-33.50447717,0.00355065,-33.50092652,5,0,7.1e-11,0.003996672359289999
52,24.6726201303,25.156396995599998,50.5916465,-33.504291,0.0033645,-33.5009265,5,0,5.4e-11,0.0040306865949118345
53,25.156396995599998,25.6401738609,48.13645408,-33.50412771,0.00320122,-33.50092649,5,0,4.9e-11,0.004047693712722752
54,25.6401738609,26.1239507262,46.02975457,-33.5039876,0.00306112,-33.50092648,5,0,5e-11,0.00406470083053367
55,26.1239507262,26.607727591499998,44.27467536,-33.50387088,0.0029444,-33.50092648,5,0,4.4e-11,0.00406470083053367
56,26.607727591499998,27.0915044568,42.87297326,-33.50377767,0.00285118,-33.50092649,5,0,3.8e-11,0.004047693712722752
57,27.0915044568,27.5752813221,41.82502142,-33.50370799,0.00278149,-33.5009265,5,0,4.1e-11,0.0040306865949118345
58,27.5752813221,28.059058187399998,41.12980694,-33.50366178,0.00273526,-33.50092652,5,0,5.6e-11,0.003996672359289999
59,28.059058187399998,28.5428350527,40.78493807,-33.50363886,0.00271232,-33.50092654,5,0,7.8e-11,0.003962658123668164
60,28.5428350527,29.026611918,40.78665917,-33.50363901,0.00271244,-33.50092657,5,0,9.7e-11,0.003911636782319695
61,29.026611918,29.510388783299998,41.12990047,-33.50366186,0.00273526,-33.5009266,6,0,8.4e-12,0.003860615428886941
62,29.510388783299998,29.9941656486,41.80823693,-33.50370701,0.00278037,-33.50092663,6,0,9.1e-12,0.0038095940754541884
