step,energy_sample_time_fs,position_time_fs,temperature_K,potential_Ry,kinetic_Ry,total_Ry,scf_iterations,early_diagonalization_warning_count,scf_estimated_accuracy_Ry,total_change_meV_atom
1,0.0,0.9675537305999999,300.23122014,-33.52087979,0.01996629,-33.5009135,7,0,1.7e-11,0.0
2,0.9675537305999999,1.9351074611999999,267.33266411,-33.52083002,0.01777844,-33.50305159,7,0,1.8e-11,-3.636274551160007
3,1.9351074611999999,2.9026611918,266.10378622,-33.52069209,0.01769671,-33.50299538,7,0,1.1e-11,-3.5406775498600447
4,2.9026611918,3.8702149223999998,229.86844276,-33.52046693,0.01528695,-33.50517997,7,0,1.1e-11,-7.256035192303221
5,3.8702149223999998,4.8377686529999995,235.44217898,-33.52017992,0.01565762,-33.5045223,7,0,7.5e-12,-6.1375281677740405
6,4.8377686529999995,5.8053223836,219.04158662,-33.51981381,0.01456693,-33.50524688,7,0,8.4e-12,-7.3698298081624145
7,5.8053223836,6.7728761142,201.86488959,-33.51938951,0.01342463,-33.50596488,7,0,9.2e-12,-8.59094076594961
8,6.7728761142,7.7404298447999995,212.11684242,-33.51891754,0.01410642,-33.50481113,7,0,1e-11,-6.6287447108673305
9,7.7404298447999995,8.7079835754,189.20387229,-33.51836874,0.01258263,-33.50578611,7,0,1e-11,-8.286904546003312
10,8.7079835754,9.675537305999999,159.31124753,-33.51779183,0.01059468,-33.50719714,7,0,1e-11,-10.686659691920367
11,9.675537305999999,10.6430910366,122.11657719,-33.51721459,0.00812112,-33.50909347,7,0,1.2e-11,-13.91177019691297
12,10.6430910366,11.6106447672,138.98602495,-33.5166747,0.00924299,-33.50743171,7,0,6.9e-12,-11.0855956213968
13,11.6106447672,12.578198497799999,147.55365898,-33.51606299,0.00981277,-33.50625022,7,0,9.1e-12,-9.07622182541026
14,12.578198497799999,13.5457522284,139.02136682,-33.51539581,0.00924534,-33.50615046,7,0,1.4e-11,-8.906558832170482
15,13.5457522284,14.513305959,110.3921205,-33.51471541,0.00734141,-33.507374,7,0,8.2e-12,-10.987447552630632
16,14.513305959,15.480859689599999,105.33339643,-33.51408706,0.00700499,-33.50708207,7,0,5.9e-12,-10.490958803463077
17,15.480859689599999,16.448413420199998,123.44301278,-33.51345593,0.00820934,-33.5052466,7,0,5.5e-12,-7.369353608899961
18,16.448413420199998,17.4159671508,100.45917145,-33.51275331,0.00668084,-33.50607247,7,0,5.9e-12,-8.773920331335665
19,17.4159671508,18.3835208814,90.06076909,-33.51210983,0.00598932,-33.50612051,7,0,4.5e-12,-8.8556225185442
