label,mode,engineering_strain,energy_Ry,sigma_xx_GPa,sigma_yy_GPa,sigma_zz_GPa,sigma_xy_GPa
xx_-0.003,xx,-0.003,-4.19088294,-0.515014871076,-0.12754010089200002,-0.12754010089200002,-0.0
xx_+0.003,xx,0.003,-4.19088572,0.49589121119600005,0.12136168770000001,0.12136168770000001,-0.0
xx_-0.005,xx,-0.005,-4.19087241,-0.863653901196,-0.212861044972,-0.212861044972,-0.0
xx_+0.005,xx,0.005,-4.19087715,0.817757117484,0.203887635336,0.203887635336,-0.0
xx_-0.008,xx,-0.008,-4.19084711,-1.3952916458600002,-0.34393166768800004,-0.34393166768800004,-0.0
xx_+0.008,xx,0.008,-4.190856,1.281873632264,0.32907405501200004,0.32907405501200004,0.0
xy_-0.003,xy,-0.003,-4.19088809,-0.003824731976,-0.003824731976,-0.001323945684,-0.157108221168
xy_+0.003,xy,0.003,-4.19088809,-0.003824731976,-0.003824731976,-0.001323945684,0.157108221168
xy_-0.005,xy,-0.005,-4.19088508,-0.00661972842,-0.00661972842,0.00029421015200000003,-0.262435455584
xy_+0.005,xy,0.005,-4.19088508,-0.00661972842,-0.00661972842,0.00029421015200000003,0.262435455584
xy_-0.008,xy,-0.008,-4.19087781,-0.01323945684,-0.01323945684,0.003971837052,-0.421603147816
xy_+0.008,xy,0.008,-4.19087781,-0.01323945684,-0.01323945684,0.003971837052,0.421603147816
