q_index,qx,qy,qz,star_weight,sigma_Ry,mode,frequency_THz,frequency_cm1,lambda_mode,gamma_GHz,DOS_EF_states_spin_Ry_cell,EF_eV
1,0.0,0.0,0.0,1,0.005,1,0.087851,2.930394,0.0,0.0,2.518161,8.37364
1,0.0,0.0,0.0,1,0.005,2,0.087851,2.930394,0.0,0.0,2.518161,8.37364
1,0.0,0.0,0.0,1,0.005,3,0.087851,2.930394,0.0,0.0,2.518161,8.37364
1,0.0,0.0,0.0,1,0.01,1,0.087851,2.930394,0.0,0.01,2.624685,8.377216
1,0.0,0.0,0.0,1,0.01,2,0.087851,2.930394,0.0,0.01,2.624685,8.377216
1,0.0,0.0,0.0,1,0.01,3,0.087851,2.930394,0.0,0.01,2.624685,8.377216
1,0.0,0.0,0.0,1,0.015,1,0.087851,2.930394,0.0,0.04,2.647439,8.379158
1,0.0,0.0,0.0,1,0.015,2,0.087851,2.930394,0.0,0.04,2.647439,8.379158
1,0.0,0.0,0.0,1,0.015,3,0.087851,2.930394,0.0,0.05,2.647439,8.379158
1,0.0,0.0,0.0,1,0.02,1,0.087851,2.930394,0.0,0.09,2.646097,8.379914
1,0.0,0.0,0.0,1,0.02,2,0.087851,2.930394,0.0,0.09,2.646097,8.379914
1,0.0,0.0,0.0,1,0.02,3,0.087851,2.930394,0.0,0.11,2.646097,8.379914
1,0.0,0.0,0.0,1,0.025,1,0.087851,2.930394,0.0,0.15,2.643523,8.379582
1,0.0,0.0,0.0,1,0.025,2,0.087851,2.930394,0.0,0.15,2.643523,8.379582
1,0.0,0.0,0.0,1,0.025,3,0.087851,2.930394,0.0,0.17,2.643523,8.379582
1,0.0,0.0,0.0,1,0.03,1,0.087851,2.930394,0.0,0.22,2.643829,8.37839
1,0.0,0.0,0.0,1,0.03,2,0.087851,2.930394,0.0,0.22,2.643829,8.37839
1,0.0,0.0,0.0,1,0.03,3,0.087851,2.930394,0.0,0.23,2.643829,8.37839
1,0.0,0.0,0.0,1,0.035,1,0.087851,2.930394,0.0,0.29,2.645823,8.376691
1,0.0,0.0,0.0,1,0.035,2,0.087851,2.930394,0.0,0.29,2.645823,8.376691
1,0.0,0.0,0.0,1,0.035,3,0.087851,2.930394,0.0,0.3,2.645823,8.376691
1,0.0,0.0,0.0,1,0.04,1,0.087851,2.930394,0.0,0.38,2.648339,8.374776
1,0.0,0.0,0.0,1,0.04,2,0.087851,2.930394,0.0,0.37,2.648339,8.374776
1,0.0,0.0,0.0,1,0.04,3,0.087851,2.930394,0.0,0.38,2.648339,8.374776
1,0.0,0.0,0.0,1,0.045,1,0.087851,2.930394,0.0,0.48,2.650827,8.372817
1,0.0,0.0,0.0,1,0.045,2,0.087851,2.930394,0.0,0.47,2.650827,8.372817
1,0.0,0.0,0.0,1,0.045,3,0.087851,2.930394,0.0,0.48,2.650827,8.372817
1,0.0,0.0,0.0,1,0.05,1,0.087851,2.930394,0.0,0.59,2.653067,8.370889
1,0.0,0.0,0.0,1,0.05,2,0.087851,2.930394,0.0,0.59,2.653067,8.370889
1,0.0,0.0,0.0,1,0.05,3,0.087851,2.930394,0.0,0.6,2.653067,8.370889
2,-0.1767767,0.1767767,-0.1767767,8,0.005,1,3.594799,119.909582,0.0484,1.5,2.518161,8.37364
2,-0.1767767,0.1767767,-0.1767767,8,0.005,2,3.594799,119.909582,0.0468,1.45,2.518161,8.37364
2,-0.1767767,0.1767767,-0.1767767,8,0.005,3,7.165696,239.021883,0.2363,29.17,2.518161,8.37364
2,-0.1767767,0.1767767,-0.1767767,8,0.01,1,3.594799,119.909582,0.0659,2.13,2.624685,8.377216
2,-0.1767767,0.1767767,-0.1767767,8,0.01,2,3.594799,119.909582,0.0639,2.07,2.624685,8.377216
2,-0.1767767,0.1767767,-0.1767767,8,0.01,3,7.165696,239.021883,0.2128,27.38,2.624685,8.377216
2,-0.1767767,0.1767767,-0.1767767,8,0.015,1,3.594799,119.909582,0.0619,2.02,2.647439,8.379158
2,-0.1767767,0.1767767,-0.1767767,8,0.015,2,3.594799,119.909582,0.0596,1.95,2.647439,8.379158
2,-0.1767767,0.1767767,-0.1767767,8,0.015,3,7.165696,239.021883,0.1934,25.1,2.647439,8.379158
2,-0.1767767,0.1767767,-0.1767767,8,0.02,1,3.594799,119.909582,0.0599,1.96,2.646097,8.379914
2,-0.1767767,0.1767767,-0.1767767,8,0.02,2,3.594799,119.909582,0.0576,1.88,2.646097,8.379914
2,-0.1767767,0.1767767,-0.1767767,8,0.02,3,7.165696,239.021883,0.1845,23.94,2.646097,8.379914
2,-0.1767767,0.1767767,-0.1767767,8,0.025,1,3.594799,119.909582,0.0585,1.91,2.643523,8.379582
2,-0.1767767,0.1767767,-0.1767767,8,0.025,2,3.594799,119.909582,0.0567,1.85,2.643523,8.379582
2,-0.1767767,0.1767767,-0.1767767,8,0.025,3,7.165696,239.021883,0.1813,23.5,2.643523,8.379582
2,-0.1767767,0.1767767,-0.1767767,8,0.03,1,3.594799,119.909582,0.0579,1.89,2.643829,8.37839
2,-0.1767767,0.1767767,-0.1767767,8,0.03,2,3.594799,119.909582,0.0566,1.85,2.643829,8.37839
2,-0.1767767,0.1767767,-0.1767767,8,0.03,3,7.165696,239.021883,0.1831,23.74,2.643829,8.37839
2,-0.1767767,0.1767767,-0.1767767,8,0.035,1,3.594799,119.909582,0.0579,1.89,2.645823,8.376691
2,-0.1767767,0.1767767,-0.1767767,8,0.035,2,3.594799,119.909582,0.0571,1.86,2.645823,8.376691
2,-0.1767767,0.1767767,-0.1767767,8,0.035,3,7.165696,239.021883,0.1884,24.44,2.645823,8.376691
2,-0.1767767,0.1767767,-0.1767767,8,0.04,1,3.594799,119.909582,0.0583,1.9,2.648339,8.374776
2,-0.1767767,0.1767767,-0.1767767,8,0.04,2,3.594799,119.909582,0.0578,1.89,2.648339,8.374776
2,-0.1767767,0.1767767,-0.1767767,8,0.04,3,7.165696,239.021883,0.1952,25.35,2.648339,8.374776
2,-0.1767767,0.1767767,-0.1767767,8,0.045,1,3.594799,119.909582,0.0589,1.93,2.650827,8.372817
2,-0.1767767,0.1767767,-0.1767767,8,0.045,2,3.594799,119.909582,0.0586,1.92,2.650827,8.372817
2,-0.1767767,0.1767767,-0.1767767,8,0.045,3,7.165696,239.021883,0.2023,26.3,2.650827,8.372817
2,-0.1767767,0.1767767,-0.1767767,8,0.05,1,3.594799,119.909582,0.0596,1.95,2.653067,8.370889
