sigma_Ry,lambda_qsum,lambda_qsum_from_mode_text,lambda_native_integral,lambda_printed_spectrum_integral,omega_log_K,mu_star,Tc_formula_K,Tc_native_K,DOS_EF_states_spin_Ry_cell,lambda_matdyn,lambda_matdyn_spectrum_footer,omega_log_matdyn_K,a2F_matdyn_min,a2F_matdyn_negative_rows
0.005,0.430378,0.430378125,0.430442,0.4304373781034293,355.877,0.1,2.212103183427636,2.212,2.518161,0.4254,0.425983203157601,363.7794,-0.00554175,146
0.01,0.371061,0.3710609375,0.371121,0.37111796544250797,344.606,0.1,0.9155314321566799,0.916,2.624685,0.3733,0.373512432723639,343.2701,-1.43952e-05,9
0.015,0.370295,0.3702953125,0.370356,0.370353549963647,343.42,0.1,0.9001660447074028,0.9,2.647439,0.3716,0.371749033902136,341.3716,0.0,0
0.02,0.374486,0.3744859375,0.374547,0.3745445563188833,343.741,0.1,0.969046002012425,0.969,2.646097,0.3739,0.374096616223644,341.8921,0.0,0
0.025,0.374613,0.3746125,0.374674,0.37467149357877605,343.537,0.1,0.970575226299115,0.971,2.643523,0.3722,0.372388629687859,341.7744,0.0,0
0.03,0.373773,0.3737734375,0.373835,0.37383269087947213,342.831,0.1,0.9547385185250545,0.955,2.643829,0.3696,0.369768965550678,340.9769,0.0,0
0.035,0.373581,0.37358125,0.373643,0.373640977151823,342.006,0.1,0.9493004495024966,0.949,2.645823,0.3676,0.367801389265785,339.9898,0.0,0
0.04,0.374086,0.3740859375,0.374148,0.3741460366399078,341.243,0.1,0.9554370143407973,0.955,2.648339,0.3661,0.366248479431792,339.1662,0.0,0
0.045,0.375022,0.375021875,0.375085,0.3750825658290412,340.631,0.1,0.9691019968365834,0.969,2.650827,0.3643,0.3644912357383,338.6846,0.0,0
0.05,0.376041,0.376040625,0.376104,0.3761013763102494,340.145,0.1,0.9845948691052024,0.985,2.653067,0.362,0.362162524614336,338.5839,0.0,0
