q_fraction_along_b1_plus_b3,J_eV_minus2,J_over_J0
0.000000000000000000e+00,3.170886502640434812e-01,1.000000000000000000e+00
4.166666666666666435e-02,1.060144205513884885e-01,3.343368501619626842e-01
8.333333333333332871e-02,7.146711131460113664e-02,2.253852708228112900e-01
1.250000000000000000e-01,5.828741875268164674e-02,1.838205773185039027e-01
1.666666666666666574e-01,6.792160497982761835e-02,2.142038351838468357e-01
2.083333333333333426e-01,5.344716194705406709e-02,1.685558972310992054e-01
2.500000000000000000e-01,5.182452438698078451e-02,1.634385978300575692e-01
2.916666666666666852e-01,4.526188893215999515e-02,1.427420656477924599e-01
3.333333333333333148e-01,4.690656400705381368e-02,1.479288645872192665e-01
3.750000000000000000e-01,5.043379350901722874e-02,1.590526607212853771e-01
4.166666666666666852e-01,2.875694994222793149e-02,9.069056845232927044e-02
4.583333333333333148e-01,3.558606574795956240e-02,1.122274976361551380e-01
5.000000000000000000e-01,6.123457464182149868e-02,1.931149998299552528e-01
