segment,distance_A_minus1,q1,q2,q3,f1_cm_minus1,f2_cm_minus1,f3_cm_minus1
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.206755208495051128e-06,-5.269118652173850107e-07,2.435136153379687125e-06
0.000000000000000000e+00,6.319406354682977067e-03,1.250000000000000069e-02,0.000000000000000000e+00,1.250000000000000069e-02,8.627772453339046521e+00,8.627772453339243697e+00,1.318532795245095279e+01
0.000000000000000000e+00,1.263881270936595413e-02,2.500000000000000139e-02,0.000000000000000000e+00,2.500000000000000139e-02,1.723861112865892409e+01,1.723861112865933976e+01,2.634794970281366844e+01
0.000000000000000000e+00,1.895821906404893120e-02,3.750000000000000555e-02,0.000000000000000000e+00,3.750000000000000555e-02,2.581565615773883238e+01,2.581565615773910949e+01,3.946522628217395123e+01
0.000000000000000000e+00,2.527762541873190827e-02,5.000000000000000278e-02,0.000000000000000000e+00,5.000000000000000278e-02,3.434219480521485934e+01,3.434219480521505119e+01,5.251465266394306042e+01
0.000000000000000000e+00,3.159703177341488534e-02,6.250000000000000000e-02,0.000000000000000000e+00,6.250000000000000000e-02,4.280173332421667709e+01,4.280173332421676946e+01,6.547392343065369857e+01
0.000000000000000000e+00,3.791643812809786934e-02,7.500000000000001110e-02,0.000000000000000000e+00,7.500000000000001110e-02,5.117806677599506315e+01,5.117806677599526211e+01,7.832099689139006671e+01
0.000000000000000000e+00,4.423584448278084641e-02,8.750000000000000833e-02,0.000000000000000000e+00,8.750000000000000833e-02,5.945534616311710607e+01,5.945534616311715581e+01,9.103415715973289934e+01
0.000000000000000000e+00,5.055525083746382348e-02,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01,6.761814225001721468e+01,6.761814225001741363e+01,1.035920737243911987e+02
0.000000000000000000e+00,5.687465719214680054e-02,1.125000000000000028e-01,0.000000000000000000e+00,1.125000000000000028e-01,7.565150547496051558e+01,7.565150547496057243e+01,1.159738580722360552e+02
0.000000000000000000e+00,6.319406354682977067e-02,1.250000000000000000e-01,0.000000000000000000e+00,1.250000000000000000e-01,8.354102139376460912e+01,8.354102139376470859e+01,1.281591169559945058e+02
