segment,distance_A_minus1,q1,q2,q3,f1_cm_minus1,f2_cm_minus1,f3_cm_minus1
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.766249174932721763e-06,1.418674429044428952e-06,1.668950732571214066e-06
0.000000000000000000e+00,6.319406354682977067e-03,1.250000000000000069e-02,0.000000000000000000e+00,1.250000000000000069e-02,8.650332531104949041e+00,8.650332531105515699e+00,1.310152889880357741e+01
0.000000000000000000e+00,1.263881270936595413e-02,2.500000000000000139e-02,0.000000000000000000e+00,2.500000000000000139e-02,1.728437685025428650e+01,1.728437685025431492e+01,2.618090851780017303e+01
0.000000000000000000e+00,1.895821906404893120e-02,3.750000000000000555e-02,0.000000000000000000e+00,3.750000000000000555e-02,2.588590909173784382e+01,2.588590909173793619e+01,3.921605025131272981e+01
0.000000000000000000e+00,2.527762541873190827e-02,5.000000000000000278e-02,0.000000000000000000e+00,5.000000000000000278e-02,3.443883349935455129e+01,3.443883349935459393e+01,5.218498639862289679e+01
0.000000000000000000e+00,3.159703177341488534e-02,6.250000000000000000e-02,0.000000000000000000e+00,6.250000000000000000e-02,4.292724502927499941e+01,4.292724502927503494e+01,6.506592951307952433e+01
0.000000000000000000e+00,3.791643812809786934e-02,7.500000000000001110e-02,0.000000000000000000e+00,7.500000000000001110e-02,5.133549022621841829e+01,5.133549022621843960e+01,7.783733044077935403e+01
0.000000000000000000e+00,4.423584448278084641e-02,8.750000000000000833e-02,0.000000000000000000e+00,8.750000000000000833e-02,5.964822582330960898e+01,5.964822582330966583e+01,9.047793463457855978e+01
0.000000000000000000e+00,5.055525083746382348e-02,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01,6.785047453812356366e+01,6.785047453812369156e+01,1.029668363482743842e+02
0.000000000000000000e+00,5.687465719214680054e-02,1.125000000000000028e-01,0.000000000000000000e+00,1.125000000000000028e-01,7.592767756498041365e+01,7.592767756498055576e+01,1.152835303393305963e+02
0.000000000000000000e+00,6.319406354682977067e-02,1.250000000000000000e-01,0.000000000000000000e+00,1.250000000000000000e-01,8.386574329644332693e+01,8.386574329644344061e+01,1.274079607362710789e+02
0.000000000000000000e+00,6.951346990151274774e-02,1.375000000000000111e-01,0.000000000000000000e+00,1.375000000000000111e-01,9.165109184507184636e+01,9.165109184507198847e+01,1.393205667585949357e+02
0.000000000000000000e+00,7.583287625619572481e-02,1.500000000000000222e-01,0.000000000000000000e+00,1.500000000000000222e-01,9.927069497963931610e+01,9.927069497963942979e+01,1.510023250124414460e+02
0.000000000000000000e+00,8.215228261087868800e-02,1.625000000000000056e-01,0.000000000000000000e+00,1.625000000000000056e-01,1.067121111380415215e+02,1.067121111380416920e+02,1.624347881239272908e+02
0.000000000000000000e+00,8.847168896556166506e-02,1.750000000000000167e-01,0.000000000000000000e+00,1.750000000000000167e-01,1.139635152317540303e+02,1.139635152317542151e+02,1.736001195136715012e+02
0.000000000000000000e+00,9.479109532024462825e-02,1.875000000000000000e-01,0.000000000000000000e+00,1.875000000000000000e-01,1.210137230136298285e+02,1.210137230136300133e+02,1.844811241601001655e+02
0.000000000000000000e+00,1.011105016749276053e-01,2.000000000000000111e-01,0.000000000000000000e+00,2.000000000000000111e-01,1.278522098416977144e+02,1.278522098416979134e+02,1.950612752451846461e+02
0.000000000000000000e+00,1.074299080296105824e-01,2.125000000000000222e-01,0.000000000000000000e+00,2.125000000000000222e-01,1.344691237359695322e+02,1.344691237359697311e+02,2.053247366237986853e+02
0.000000000000000000e+00,1.137493143842935456e-01,2.250000000000000056e-01,0.000000000000000000e+00,2.250000000000000056e-01,1.408552926925569864e+02,1.408552926925571853e+02,2.152563811063340040e+02
0.000000000000000000e+00,1.200687207389765226e-01,2.375000000000000167e-01,0.000000000000000000e+00,2.375000000000000167e-01,1.470022262890190632e+02,1.470022262890193190e+02,2.248418045929837774e+02
0.000000000000000000e+00,1.263881270936594858e-01,2.500000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,1.529021116860783422e+02,1.529021116860785980e+02,2.340673361465858022e+02
0.000000000000000000e+00,1.327075334483424629e-01,2.625000000000000111e-01,0.000000000000000000e+00,2.625000000000000111e-01,1.585478042028472316e+02,1.585478042028474306e+02,2.429200441384705300e+02
0.000000000000000000e+00,1.390269398030254400e-01,2.750000000000000222e-01,0.000000000000000000e+00,2.750000000000000222e-01,1.639328127145774374e+02,1.639328127145776648e+02,2.513877386477251150e+02
0.000000000000000000e+00,1.453463461577084170e-01,2.875000000000000333e-01,0.000000000000000000e+00,2.875000000000000333e-01,1.690512801926724080e+02,1.690512801926726638e+02,2.594589703380137280e+02
0.000000000000000000e+00,1.516657525123913941e-01,3.000000000000000444e-01,0.000000000000000000e+00,3.000000000000000444e-01,1.738979597751911967e+02,1.738979597751914525e+02,2.671230260769286247e+02
0.000000000000000000e+00,1.579851588670743434e-01,3.125000000000000000e-01,0.000000000000000000e+00,3.125000000000000000e-01,1.784681868211548021e+02,1.784681868211550579e+02,2.743699216001445507e+02
0.000000000000000000e+00,1.643045652217573205e-01,3.250000000000000111e-01,0.000000000000000000e+00,3.250000000000000111e-01,1.827578474624210969e+02,1.827578474624213527e+02,2.811903915558075937e+02
0.000000000000000000e+00,1.706239715764402975e-01,3.375000000000000222e-01,0.000000000000000000e+00,3.375000000000000222e-01,1.867633442214670652e+02,1.867633442214673778e+02,2.875758772930240070e+02
