q_index,mode,sigma_Ry,star_weight,weight,frequency_THz,lambda_mode,gamma_GHz
1,1,0.005,1,0.015625,0.08785060499177633,0.0,0.0
1,2,0.005,1,0.015625,0.08785060499177633,0.0,0.0
1,3,0.005,1,0.015625,0.08785060499177633,0.0,0.0
1,1,0.01,1,0.015625,0.08785060499177633,0.0,0.01
1,2,0.01,1,0.015625,0.08785060499177633,0.0,0.01
1,3,0.01,1,0.015625,0.08785060499177633,0.0,0.01
1,1,0.015,1,0.015625,0.08785060499177633,0.0,0.04
1,2,0.015,1,0.015625,0.08785060499177633,0.0,0.04
1,3,0.015,1,0.015625,0.08785060499177633,0.0,0.05
1,1,0.02,1,0.015625,0.08785060499177633,0.0,0.09
1,2,0.02,1,0.015625,0.08785060499177633,0.0,0.09
1,3,0.02,1,0.015625,0.08785060499177633,0.0,0.11
1,1,0.025,1,0.015625,0.08785060499177633,0.0,0.15
1,2,0.025,1,0.015625,0.08785060499177633,0.0,0.15
1,3,0.025,1,0.015625,0.08785060499177633,0.0,0.17
1,1,0.03,1,0.015625,0.08785060499177633,0.0,0.22
1,2,0.03,1,0.015625,0.08785060499177633,0.0,0.22
1,3,0.03,1,0.015625,0.08785060499177633,0.0,0.23
1,1,0.035,1,0.015625,0.08785060499177633,0.0,0.29
1,2,0.035,1,0.015625,0.08785060499177633,0.0,0.29
1,3,0.035,1,0.015625,0.08785060499177633,0.0,0.3
1,1,0.04,1,0.015625,0.08785060499177633,0.0,0.38
1,2,0.04,1,0.015625,0.08785060499177633,0.0,0.37
1,3,0.04,1,0.015625,0.08785060499177633,0.0,0.38
1,1,0.045,1,0.015625,0.08785060499177633,0.0,0.48
1,2,0.045,1,0.015625,0.08785060499177633,0.0,0.47
1,3,0.045,1,0.015625,0.08785060499177633,0.0,0.48
1,1,0.05,1,0.015625,0.08785060499177633,0.0,0.59
1,2,0.05,1,0.015625,0.08785060499177633,0.0,0.59
1,3,0.05,1,0.015625,0.08785060499177633,0.0,0.6
2,1,0.005,8,0.125,3.594790102940727,0.0484,1.5
2,2,0.005,8,0.125,3.594790102940727,0.0468,1.45
2,3,0.005,8,0.125,7.165665285463115,0.2363,29.17
2,1,0.01,8,0.125,3.594790102940727,0.0659,2.13
2,2,0.01,8,0.125,3.594790102940727,0.0639,2.07
2,3,0.01,8,0.125,7.165665285463115,0.2128,27.38
2,1,0.015,8,0.125,3.594790102940727,0.0619,2.02
2,2,0.015,8,0.125,3.594790102940727,0.0596,1.95
2,3,0.015,8,0.125,7.165665285463115,0.1934,25.1
2,1,0.02,8,0.125,3.594790102940727,0.0599,1.96
2,2,0.02,8,0.125,3.594790102940727,0.0576,1.88
2,3,0.02,8,0.125,7.165665285463115,0.1845,23.94
2,1,0.025,8,0.125,3.594790102940727,0.0585,1.91
2,2,0.025,8,0.125,3.594790102940727,0.0567,1.85
2,3,0.025,8,0.125,7.165665285463115,0.1813,23.5
2,1,0.03,8,0.125,3.594790102940727,0.0579,1.89
2,2,0.03,8,0.125,3.594790102940727,0.0566,1.85
2,3,0.03,8,0.125,7.165665285463115,0.1831,23.74
2,1,0.035,8,0.125,3.594790102940727,0.0579,1.89
2,2,0.035,8,0.125,3.594790102940727,0.0571,1.86
2,3,0.035,8,0.125,7.165665285463115,0.1884,24.44
2,1,0.04,8,0.125,3.594790102940727,0.0583,1.9
2,2,0.04,8,0.125,3.594790102940727,0.0578,1.89
2,3,0.04,8,0.125,7.165665285463115,0.1952,25.35
2,1,0.045,8,0.125,3.594790102940727,0.0589,1.93
2,2,0.045,8,0.125,3.594790102940727,0.0586,1.92
2,3,0.045,8,0.125,7.165665285463115,0.2023,26.3
2,1,0.05,8,0.125,3.594790102940727,0.0596,1.95
2,2,0.05,8,0.125,3.594790102940727,0.0594,1.94
2,3,0.05,8,0.125,7.165665285463115,0.2091,27.2
3,1,0.005,4,0.0625,4.570055421859163,0.0708,3.56
3,2,0.005,4,0.0625,4.570055421859163,0.0745,3.74
3,3,0.005,4,0.0625,9.936533230102638,0.0431,10.23
3,1,0.01,4,0.0625,4.570055421859163,0.0596,3.12
3,2,0.01,4,0.0625,4.570055421859163,0.0625,3.27
3,3,0.01,4,0.0625,9.936533230102638,0.0605,14.97
3,1,0.015,4,0.0625,4.570055421859163,0.0729,3.85
3,2,0.015,4,0.0625,4.570055421859163,0.0757,3.99
3,3,0.015,4,0.0625,9.936533230102638,0.1196,29.85
3,1,0.02,4,0.0625,4.570055421859163,0.0806,4.25
3,2,0.02,4,0.0625,4.570055421859163,0.0834,4.4
3,3,0.02,4,0.0625,9.936533230102638,0.1543,38.49
3,1,0.025,4,0.0625,4.570055421859163,0.0849,4.48
3,2,0.025,4,0.0625,4.570055421859163,0.0878,4.63
3,3,0.025,4,0.0625,9.936533230102638,0.1692,42.18
3,1,0.03,4,0.0625,4.570055421859163,0.0879,4.63
3,2,0.03,4,0.0625,4.570055421859163,0.0905,4.77
3,3,0.03,4,0.0625,9.936533230102638,0.1745,43.49
3,1,0.035,4,0.0625,4.570055421859163,0.09,4.75
3,2,0.035,4,0.0625,4.570055421859163,0.0924,4.88
3,3,0.035,4,0.0625,9.936533230102638,0.176,43.9
3,1,0.04,4,0.0625,4.570055421859163,0.0914,4.83
3,2,0.04,4,0.0625,4.570055421859163,0.0935,4.94
3,3,0.04,4,0.0625,9.936533230102638,0.1762,44.0
3,1,0.045,4,0.0625,4.570055421859163,0.0921,4.87
3,2,0.045,4,0.0625,4.570055421859163,0.0939,4.97
3,3,0.045,4,0.0625,9.936533230102638,0.176,43.99
3,1,0.05,4,0.0625,4.570055421859163,0.0921,4.87
3,2,0.05,4,0.0625,4.570055421859163,0.0937,4.96
3,3,0.05,4,0.0625,9.936533230102638,0.1756,43.93
4,1,0.005,6,0.09375,4.514742090320061,0.0275,1.35
4,2,0.005,6,0.09375,4.514742090320061,0.0275,1.35
