     lambda = 0.430378 (   0.430442 )  <log w>=  355.877 K  N(Ef)=  2.518161 at degauss= 0.005
     lambda = 0.371061 (   0.371121 )  <log w>=  344.606 K  N(Ef)=  2.624685 at degauss= 0.010
     lambda = 0.370295 (   0.370356 )  <log w>=  343.420 K  N(Ef)=  2.647439 at degauss= 0.015
     lambda = 0.374486 (   0.374547 )  <log w>=  343.741 K  N(Ef)=  2.646097 at degauss= 0.020
     lambda = 0.374613 (   0.374674 )  <log w>=  343.537 K  N(Ef)=  2.643523 at degauss= 0.025
     lambda = 0.373773 (   0.373835 )  <log w>=  342.831 K  N(Ef)=  2.643829 at degauss= 0.030
     lambda = 0.373581 (   0.373643 )  <log w>=  342.006 K  N(Ef)=  2.645823 at degauss= 0.035
     lambda = 0.374086 (   0.374148 )  <log w>=  341.243 K  N(Ef)=  2.648339 at degauss= 0.040
     lambda = 0.375022 (   0.375085 )  <log w>=  340.631 K  N(Ef)=  2.650827 at degauss= 0.045
     lambda = 0.376041 (   0.376104 )  <log w>=  340.145 K  N(Ef)=  2.653067 at degauss= 0.050
lambda        omega_log          T_c
   0.43038       355.877              2.212
   0.37106       344.606              0.916
   0.37030       343.420              0.900
   0.37449       343.741              0.969
   0.37461       343.537              0.971
   0.37377       342.831              0.955
   0.37358       342.006              0.949
   0.37409       341.243              0.955
   0.37502       340.631              0.969
   0.37604       340.145              0.985
