case,protocol,nAl,nSi,natoms,xSi,k_mesh,ecutwfc_Ry,ecutrho_Ry,degauss_Ry,total_energy_Ry,energy_per_atom_eV,final_pressure_kbar,initial_eigensolver_warnings,final_iteration_eigensolver_warnings,max_force_Ry_per_bohr,volume_A3,input_sha256,output_sha256,xml_sha256,geometry_sha256,reference_energy_Ry,formation_eV_formula,formation_eV_atom,hull_eV_atom,hull_left,hull_right,left_atom_fraction,right_atom_fraction,above_hull_eV_atom
al-fcc,k12,1,0,1,0.0,12,60.0,640.0,0.01,-5.040231552092416,-68.57584376660115,-0.01,0,0,0.0,16.51924705676988,63d57efd6645ec8b2e786fc652cbec52693f7c35f1fa47ebb0ff787be427999d,30925e9c14c5377852a1bdbffd7ddae125374ef3ca1364776e6772ca0a9a5b32,be8e2a21c6f45e5f95d80634fe97b3f679f3776ba15fc4487b74108fce79cd29,c00cd03b6cc669e9aaadfed3fd438660012c3755012a022c02bff46f0d112005,-5.040231552092416,0.0,0.0,0.0,al-fcc,si-diamond,1.0,0.0,0.0
al3si-l12,k12,3,1,4,0.25,12,60.0,640.0,0.01,-26.50798898511778,-90.16489085980442,-0.0,6,0,0.0,63.57229735855309,bdd2bbdcebb93358f6014c2b7482096805f8ddd3fc86f813898aa4605e616d80,d18e41bf671b56e694dda8f6d9459b32d7f591461bf8af503c9a01372a1b66bc,c7e1d06557b9527badd42542b0d964e54b1da8e8334f50e6e60f6a083df4d9d8,8f0f4c670ae60b8a751870ecd8ad64f468dac6b6cd912f5a899d78205cab1931,-26.54080048616359,0.44642321413408587,0.11160580353352147,0.0,al-fcc,si-diamond,0.75,0.25,0.11160580353352147
alsi-b2,k12,1,1,2,0.5,12,60.0,640.0,0.01,-16.420345725369693,-111.70509245642317,-0.01,1,0,0.0,31.48297395636756,225ede7a77cd152f90c1c868092de5349e4d1328c39fa8512bed7386baee36a4,4686aa7823c67fb80524c824b946e34428e3b21b14dcd51b77f37358454fc29e,f739e9221e7195eabd47386b5447f6ae21f60c56026b40db6125e1f871b85cd4,3513abe5febb9083b887761833ce51e1e585d628258a499cd7fa1705cb90e5b2,-16.460337381978757,0.5441142073030872,0.2720571036515436,0.0,al-fcc,si-diamond,0.5,0.5,0.2720571036515436
alsi3-l12,k12,1,3,4,0.75,12,60.0,640.0,0.01,-39.19251726967596,-133.31034067221344,0.01,0,0,0.0,59.357768767178776,960fcdb2505c6ef2ad16d454d2f95b7a4f8f5c248f56616cbc26f8baf84d4cfe,70f58866730ecd3960d2dd5d9ba054290e89f478b9d63f24e1af7cafe07516e9,44432e3310337ad0bfa35cb17aeec15c79d7e51e0843900fc6fa9ab64ebcce81,57697ee5edc72aaee2957d1ae3b4a93ee5d9e0dc72673e1f8014c29c6f454c4b,-39.30054904175144,1.469847138392183,0.36746178459804574,0.0,al-fcc,si-diamond,0.25,0.75,0.36746178459804574
si-diamond,k12,0,2,2,1.0,12,60.0,640.0,0.01,-22.84021165977268,-155.37845535354828,0.01,0,0,0.0,40.90399008736631,55f1a5c84a2c57f53a8941b537b8e345633880c7ffe5698f9929017ecd8b5b70,6a74c0b63c0733c1c9e135ec3479e77cd2eea81b2eb8dcc503a516ffba7dda67,1c44562396e59d438fa4ce744e84c49bf9528a8ca22a593c52996c3dbfe8b58e,bdef617a179b8c27d3e4222efd058e7e45837983df6f016a0e3e8d9ea6179f5e,-22.84021165977268,0.0,0.0,0.0,al-fcc,si-diamond,0.0,1.0,0.0
al-fcc,k16,1,0,1,0.0,16,60.0,640.0,0.01,-5.040113514073166,-68.57423777753439,-2.36,0,0,0.0,16.51924705676988,44bdc3fd5639bbf2c967007f223e355ecf2639974a19063d01ae6c2095569356,dd35119258d650fcf014f70fff1c207c51c4001cf53aa808976c54a91fbdfd2f,bc5091192eb8ad5e7924258db4ea5e402716eb84b32e8fac6cd6d90afd095967,c00cd03b6cc669e9aaadfed3fd438660012c3755012a022c02bff46f0d112005,-5.040113514073166,0.0,0.0,0.0,al-fcc,si-diamond,1.0,0.0,0.0
al3si-l12,k16,3,1,4,0.25,16,60.0,640.0,0.01,-26.5070138528835,-90.16157402232092,1.56,7,0,0.0,63.57229735855309,32ba19eee255bc85891f31084fb9da7f37902057bf16311602bd7fe7d7b63b80,2e2466359430e2b6f61c817b4620ea4e2467463239e2135f9d1d5d3510828ca7,d3e391c96ee68ea465fb10f0fa6396a889a4e6ead5b5f480a4c8a485515444e1,8f0f4c670ae60b8a751870ecd8ad64f468dac6b6cd912f5a899d78205cab1931,-26.540454224278086,0.45497943111369454,0.11374485777842364,0.0,al-fcc,si-diamond,0.75,0.25,0.11374485777842364
alsi-b2,k16,1,1,2,0.5,16,60.0,640.0,0.01,-16.420367200588096,-111.70523854903884,0.94,5,0,0.0,31.48297395636756,2782871775fa33bc536867c7924a02f83b067da030cdd7bb55a8b789b155aff8,a8924d2c4a658c0e2bdef22975ae4546006ecdac0179a2478201f611fe022fb1,00e03497b8796f5ef25d385007687629aebee35c4811497897e37cf6376c3345,3513abe5febb9083b887761833ce51e1e585d628258a499cd7fa1705cb90e5b2,-16.460227196131754,0.5423228672509197,0.27116143362545986,0.0,al-fcc,si-diamond,0.5,0.5,0.27116143362545986
alsi3-l12,k16,1,3,4,0.75,16,60.0,640.0,0.01,-39.19225250389168,-133.30944009171085,-0.06,0,0,0.0,59.357768767178776,fae2dcc7d245377024bb749718da293e792e7e9bf2f7ed1091232425bf016a9e,6dc119fee7a497c39116f716d3dc5e4cd85d0367f5e58004f5f01b3f33257b0f,f88de636f7a90ccd945eec7c8172e20d4db17f21517027083ecd169fc4847464,57697ee5edc72aaee2957d1ae3b4a93ee5d9e0dc72673e1f8014c29c6f454c4b,-39.30045456024894,1.4721639740737407,0.36804099351843517,0.0,al-fcc,si-diamond,0.25,0.75,0.36804099351843517
si-diamond,k16,0,2,2,1.0,16,60.0,640.0,0.01,-22.84022736411718,-155.37856218779424,0.01,0,0,0.0,40.90399008736631,6be4715940bda607554f253a59e0231a5840bae0652bcaf264311b4766341c80,17c12e0f7698f6996c32f920f7de3ca6e7ad38bde52dff51814da601e65ad1bb,02dee2cabebf2e36dea76f201879ddf955ab605d977368264f133c51e047c36e,bdef617a179b8c27d3e4222efd058e7e45837983df6f016a0e3e8d9ea6179f5e,-22.84022736411718,0.0,0.0,0.0,al-fcc,si-diamond,0.0,1.0,0.0
al-fcc,k20,1,0,1,0.0,20,60.0,640.0,0.01,-5.039690672830958,-68.56848472935317,-2.53,0,0,0.0,16.51924705676988,5f0888d8e0eb3ca6f794f79c95b13d28ca24376038117990432f802139797a6a,0a2f252185f6f64a899874747d69a72404b0517089413b1791a4de2596d7e7e5,95e4a10ad639c3260056648ba3d37a040aabdf4e1af723e512dfdef282247187,c00cd03b6cc669e9aaadfed3fd438660012c3755012a022c02bff46f0d112005,-5.039690672830958,0.0,0.0,0.0,al-fcc,si-diamond,1.0,0.0,0.0
al3si-l12,k20,3,1,4,0.25,20,60.0,640.0,0.01,-26.50723867834584,-90.16233874888263,1.11,21,0,0.0,63.57229735855309,c271e07359f300974fd5cfc48d8c3fa21b7ec4b3666cdb4b7047ba3e38858f41,07faad4a2a092e6b0b87e4d362d1b60a806d6043aeb9b933f916521af74cdab3,8a802a75663b862b907464fdcefd72ea6a62d8b447f58ecabd6800a52894b6db,8f0f4c670ae60b8a751870ecd8ad64f468dac6b6cd912f5a899d78205cab1931,-26.539186676283947,0.4346746558399408,0.1086686639599852,0.0,al-fcc,si-diamond,0.75,0.25,0.1086686639599852
alsi-b2,k20,1,1,2,0.5,20,60.0,640.0,0.01,-16.42057357224909,-111.70664246378323,0.77,9,0,0.0,31.48297395636756,1c1268db10aff974560561c78cc4faac7b9a40d5d16a415fd25a8b12689f890d,7ad5482d0400ba9c506440e3e2b05af9299afffb85eea17f0481da542011b979,88eea4a71ddc27399b716d3228c427c3e4783370a1aacb3d0b21c3bd8cde7051,3513abe5febb9083b887761833ce51e1e585d628258a499cd7fa1705cb90e5b2,-16.45980533062203,0.5337752650976542,0.2668876325488271,0.0,al-fcc,si-diamond,0.5,0.5,0.2668876325488271
alsi3-l12,k20,1,3,4,0.75,20,60.0,640.0,0.01,-39.19236840785836,-133.30983433016144,-1.01,0,0,0.0,59.357768767178776,8bc9d32b16b8a01d922918af70ab5d78f8a4f42297e4819d6013710a24998da4,c6460dac290c949bff37b513ce41265ea117209767f45e1a812f41f64773da89,a84c72fa1382cc5642f9057224364def56388973e82cd143719867525fdb7a46,57697ee5edc72aaee2957d1ae3b4a93ee5d9e0dc72673e1f8014c29c6f454c4b,-39.30003464620417,1.464873798640181,0.36621844966004524,0.0,al-fcc,si-diamond,0.25,0.75,0.36621844966004524
