case,protocol,job_id,nAl,nSi,natoms,xSi,k_mesh,ecutwfc_Ry,ecutrho_Ry,degauss_Ry,total_energy_Ry,final_pressure_kbar,max_force_Ry_per_bohr,scf_error_Ry,scf_iterations,initial_eigensolver_warnings,final_iteration_eigensolver_warnings,stderr_bytes,wall_time_s,geometry_sha256,input_sha256,output_sha256,xml_sha256,reference_energy_Ry,formation_eV_atom,hull_eV_atom,hull_left,hull_right,left_atom_fraction,right_atom_fraction,above_hull_meV_atom
al-fcc,k24,839,1,0,1,0.0,24,80,640,0.005,-5.039590195089586,-2.86,0.0,7.639478502699405e-11,4,0,0,1300,32.56,eaf3162ed1d2e55e31ba9268117aa2740cd61d6cf285832d554dd246afcd6206,737903424fbd5e530d88b3708291cb84f3a7c570aaebf4cafc0533d38121d39e,35fd042233784290a283f1a16e3df91ba9722578acb88f5c4b2b50cea4bb0af8,c7737120738dc93d653799f0ef76d540db7318451cb430379e6f7e9207ee896c,-5.039590195089586,0.0,0.0,al-fcc,si-diamond,1.0,0.0,0.0
al3si-l12,k24,842,3,1,4,0.25,24,80,640,0.005,-26.50736500358702,1.28,0.0,3.052292387598892e-12,7,0,0,1300,1163.89,b35cd43a5a9b57c71db8ccf08dd1e312d79482525224dbafe6287125a83834dc,0154a33efe6a56b4b22040830c3f68647b0d8fd8b1bf2edf78eccb7945ce6da8,ab67d55c0fde21bec2c36a48cbb8ac53d730552b7f2ed4edbd5df9f34b02652d,20f24c0d128c13be65bc004a9a26f6eb575f7de36e2a5ce3730564a87c03fcfc,-26.538897908536796,0.10725675700580338,0.0,al-fcc,si-diamond,0.75,0.25,107.25675700580338
alsi-b2,k24,841,1,1,2,0.5,24,80,640,0.005,-16.420651190216674,1.16,0.0,4.658367846893776e-11,5,0,0,1300,208.02,08988bb0b682f0025a4c01fb02792e9de28fea1d9cff2d4efd678a135f2e597c,df2e3b95bcd3cf1d665e1a9b4787b68d382a5ee91ce7d6a026e821eb0f567195,56d848927beaf1e3261763fc2b89b133d472f440030a5ed2d166a3c8fbe8863e,f3dbd7a0552ca32cf617bda52d2c945688141cb980298f9bf54626f98357c934,-16.45971751835763,0.2657622360640055,0.0,al-fcc,si-diamond,0.5,0.5,265.7622360640055
alsi3-l12,k24,843,1,3,4,0.75,24,80,640,0.005,-39.192394827064,-0.57,0.0,1.7774919040026116e-11,6,0,0,1300,1017.51,13f0da68197ecdb395d7f6e6c807741635861b62c90e3cc1e86a427d6585bed6,a1fbfb036aab69320e91770b8cc5d86651a55661a0cfd33b56cfd0d75d05cb56,cd244f67a429169a56602dad0a8f735a05f75c0fc017a59f490cc13174ee2869,22b802d8cf3daf4c199a0a90aa770c3fc5182800220eebc485ea0faaea18dcaa,-39.29997216489371,0.36591606137492194,0.0,al-fcc,si-diamond,0.25,0.75,365.9160613749219
si-diamond,k24,840,0,2,2,1.0,24,80,640,0.005,-22.84025464653608,0.01,8.395130370351311e-32,1.983868223429911e-12,3,0,0,1300,200.38,fcc7625bd02a29b6f1a626917f2fddf674c87b161eacd482eebb12f2d5418379,7b9c61c5c37774d6e2e3e2a64ca069e763b4f4baf56cc2d83ae994289131c6ff,91bc1fa7d63623014395fdfa0dace8482150a04837c93c20678c278e9e12a6ef,28a3a1f12cce7cc235db964abc3af9ded1b64976f61a9016a88f9c30a358e93f,-22.84025464653608,0.0,0.0,al-fcc,si-diamond,0.0,1.0,0.0
al-fcc,k32,844,1,0,1,0.0,32,80,640,0.005,-5.039749993130074,-2.37,0.0,1.1971945367316236e-11,4,0,0,1300,79.46000000000001,eaf3162ed1d2e55e31ba9268117aa2740cd61d6cf285832d554dd246afcd6206,dc7ac355342d8c76badd4d7d60522296162e29d5f35b0bd3a3e96e081ce9042e,3ca60d3a3f0f0bd6d83c890855d48066d6d460dedd1ead57e1f1571494ba3e1d,b53b84ff950f811e535a1b09af8250a901f1e30edd8b67a5f4d25ea98050c464,-5.039749993130074,0.0,0.0,al-fcc,si-diamond,1.0,0.0,0.0
al3si-l12,k32,847,3,1,4,0.25,32,80,640,0.005,-26.50731573178368,1.42,0.0,6.114987119346838e-12,7,0,0,1300,2289.43,b35cd43a5a9b57c71db8ccf08dd1e312d79482525224dbafe6287125a83834dc,caf4a341e98d5bc91728fba489e862add74a95340f3e86a975e01148574c333d,4b5b8fc2c89dc78ca0acbc71b4338aa8e44f04d4673437223ea6af5003461ad1,c1dc2ab7dfc46cecb026b2749aeac3434f8de2448439cd2efb40c22adbb755cf,-26.53937730445407,0.10905497969847402,0.0,al-fcc,si-diamond,0.75,0.25,109.05497969847403
alsi-b2,k32,846,1,1,2,0.5,32,80,640,0.005,-16.420650669614005,0.68,0.0,5.566752229169418e-12,5,0,0,1300,420.28,08988bb0b682f0025a4c01fb02792e9de28fea1d9cff2d4efd678a135f2e597c,8a86caab2f2b58f88ce518a89fff835c12a1ae19c03e5252abeb80f13a08b1f7,f667fddeed2bc105826ac0ee3f220f7b053b7d769bbf245f4a29e882282e8548,6e837b48d5ad8e8117ba6b6e6cd2b5ab0da1038346ce4e55baa4ed11d20ca031,-16.459877318193925,0.26685287141095826,0.0,al-fcc,si-diamond,0.5,0.5,266.85287141095824
alsi3-l12,k32,848,1,3,4,0.75,32,80,640,0.005,-39.19239737026866,-0.45,0.0,2.927056208806522e-11,6,0,0,1300,1821.34,13f0da68197ecdb395d7f6e6c807741635861b62c90e3cc1e86a427d6585bed6,244a355fee8391f4a0b333e7d86092237efa8e151ebed8bcbdf1edbb2c19bc50,208f1e026d72f53a8d132ecb29da3a2db49754ccfb1c9b2353a1651222eef089,47cedc9792c05033af2126d826a0192505290e185d3354403639518cfd4dc349,-39.30013196832162,0.36645096995943466,0.0,al-fcc,si-diamond,0.25,0.75,366.45096995943464
si-diamond,k32,845,0,2,2,1.0,32,80,640,0.005,-22.8402546501277,0.01,2.2315684509128516e-32,2.00242776228882e-12,3,0,0,1300,410.05,fcc7625bd02a29b6f1a626917f2fddf674c87b161eacd482eebb12f2d5418379,aeddb8c042fd7a97b6d8d2e6be1e28f5bf9e9bf30d3cce0add80abd8706849ed,f3b139b0a9ce275c879b99e7fd006e75bac108e80fa3b38cb28a7fc2b228349b,60364f59af6af5d7ac192e1c67175c555011747e6a2792a1815fa994e455b467,-22.8402546501277,0.0,0.0,al-fcc,si-diamond,0.0,1.0,0.0
