grid,trial,seed,unitary_error,max_flux_difference_rad,max_chern_difference
6,0,2026092800,1.1102230246251565e-15,1.0547110263609515e-15,1.4198005155228088e-16
6,1,2026092801,1.1102230246251565e-15,1.1483869410966463e-15,1.0712203452363585e-16
6,2,2026092802,9.992007221626409e-16,1.0547118733938987e-15,1.822891731283659e-16
6,3,2026092803,1.1102230246251565e-15,8.326670567106306e-16,1.2054775702910456e-16
6,4,2026092804,1.1102230246251565e-15,1.2490006909450643e-15,1.4750075833983181e-16
6,5,2026092805,9.992007221626409e-16,1.054712720426846e-15,1.6399724333254374e-16
6,6,2026092806,1.1102230246251565e-15,9.159348423487014e-16,7.309377564016916e-17
6,7,2026092807,1.1102230246251565e-15,9.436891474149094e-16,8.282748406770115e-17
6,8,2026092808,1.1102230246251565e-15,9.71445146547012e-16,1.3031418150172599e-16
6,9,2026092809,1.1102230246251565e-15,1.110222998155377e-15,9.221337507507854e-17
6,10,2026092810,8.881784197001252e-16,1.3322676295501878e-15,1.8187424692511849e-16
6,11,2026092811,9.992007221626409e-16,9.43689570931383e-16,9.85645995042128e-17
