grid,k3_index,k3_fraction,plaquettes,chern_raw,chern_integer,max_abs_phase_rad,plaquette_area_invA2
4,0,0.0,16,1.5742511896878714e-17,0,9.630714595403427e-06,0.2395422695621964
4,1,0.25,16,-6.222967392051429e-17,0,9.87407539970122e-06,0.2395422695621964
4,2,0.5,16,5.227911654457736e-18,0,9.729170227999187e-06,0.2395422695621964
4,3,0.75,16,-3.775905701702878e-17,0,8.864300081739619e-06,0.2395422695621964
6,0,0.0,36,-1.6980332546987815e-17,0,3.947377860646066e-06,0.10646323091653173
6,1,0.16666666666666666,36,-1.55462966979859e-17,0,8.863247177697846e-06,0.10646323091653173
6,2,0.3333333333333333,36,-2.903216529574664e-17,0,6.946146470288364e-06,0.10646323091653173
6,3,0.5,36,-1.0260929242931728e-16,0,8.344797136447237e-06,0.10646323091653173
6,4,0.6666666666666666,36,7.990651649977938e-17,0,5.3141224392844526e-06,0.10646323091653173
6,5,0.8333333333333334,36,2.3688182678563578e-17,0,6.676991018078268e-06,0.10646323091653173
