z_A,delta_n_e_A3,delta_N_e_A,cumulative_e
0.0000000000,-5.914758788701e-08,-5.914758788701e-06,0.000000000000e+00
0.0694444444,-6.380449933041e-08,-6.380449933041e-06,-4.269169695049e-07
0.1388888889,-7.351577466566e-08,-7.351577466566e-06,-9.037234764357e-07
0.2083333333,-8.113248909544e-08,-8.113248909544e-06,-1.440696614495e-06
0.2777777778,-8.560840735259e-08,-8.560840735259e-06,-2.019658060495e-06
0.3472222222,-9.220694757329e-08,-9.220694757329e-06,-2.637072487321e-06
0.4166666667,-1.048474909859e-07,-1.048474909859e-05,-3.321289287874e-06
0.4861111111,-1.221834158812e-07,-1.221834158812e-05,-4.109591047829e-06
0.5555555556,-1.421580735781e-07,-1.421580735781e-05,-5.027443441785e-06
0.6250000000,-1.669417015468e-07,-1.669417015468e-05,-6.100706549857e-06
0.6944444444,-2.006441638787e-07,-2.006441638787e-05,-7.377046360362e-06
0.7638888889,-2.439651025299e-07,-2.439651025299e-05,-8.920828535392e-06
0.8333333333,-2.943794932385e-07,-2.943794932385e-05,-1.079008060403e-05
0.9027777778,-3.516055298550e-07,-3.516055298550e-05,-1.303308415644e-05
0.9722222222,-4.204028688882e-07,-4.204028688882e-05,-1.571366887430e-05
1.0416666667,-5.074640146106e-07,-5.074640146106e-05,-1.893542888645e-05
1.1111111111,-6.178373959958e-07,-6.178373959958e-05,-2.284272545105e-05
1.1805555556,-7.556560651605e-07,-7.556560651605e-05,-2.761179996896e-05
1.2500000000,-9.264280258896e-07,-9.264280258896e-05,-3.345236972955e-05
1.3194444444,-1.136398696006e-06,-1.136398696006e-04,-4.061496251391e-05
1.3888888889,-1.390627964773e-06,-1.390627964773e-04,-4.938936064161e-05
1.4583333333,-1.694703260048e-06,-1.694703260048e-04,-6.010231628335e-05
1.5277777778,-2.059844327962e-06,-2.059844327962e-04,-7.313893985283e-05
1.5972222222,-2.505666636071e-06,-2.505666636071e-04,-8.899140847795e-05
1.6666666667,-3.057502252462e-06,-3.057502252462e-04,-1.083079671187e-04
1.7361111111,-3.741812682200e-06,-3.741812682200e-04,-1.319166995307e-04
1.8055555556,-4.584474087137e-06,-4.584474087137e-04,-1.608274174798e-04
1.8750000000,-5.612259329829e-06,-5.612259329829e-04,-1.962327418443e-04
1.9444444444,-6.855396061437e-06,-6.855396061437e-04,-2.395232119528e-04
2.0138888889,-8.351401655850e-06,-8.351401655850e-04,-2.923245929156e-04
2.0833333333,-1.015168982092e-05,-1.015168982092e-03,-3.565714383211e-04
2.1527777778,-1.232877866335e-05,-1.232877866335e-03,-4.346286205581e-04
2.2222222222,-1.497823354590e-05,-1.497823354590e-03,-5.294446351735e-04
2.2916666667,-1.821231995063e-05,-1.821231995063e-03,-6.446896125920e-04
2.3611111111,-2.214998301177e-05,-2.214998301177e-03,-7.848364978781e-04
2.4305555556,-2.691215254272e-05,-2.691215254272e-03,-9.551911352201e-04
2.5000000000,-3.262839633812e-05,-3.262839633812e-03,-1.161929152167e-03
2.5694444444,-3.945437560424e-05,-3.945437560424e-03,-1.412216554745e-03
2.6388888889,-4.759458023457e-05,-4.759458023457e-03,-1.714469873630e-03
2.7083333333,-5.732196117046e-05,-5.732196117046e-03,-2.078763420175e-03
2.7777777778,-6.898413461966e-05,-6.898413461966e-03,-2.517326252780e-03
2.8472222222,-8.298803684647e-05,-8.298803684647e-03,-3.045007403704e-03
2.9166666667,-9.976648384651e-05,-9.976648384651e-03,-3.679571711665e-03
2.9861111111,-1.197476441795e-04,-1.197476441795e-02,-4.441773545089e-03
3.0555555556,-1.433565757818e-04,-1.433565757818e-02,-5.355329864399e-03
