x_A,z_A,delta_n_e_A3
0.0000000000,0.0000000000,2.412583164220e-08
0.0694444444,0.0000000000,2.434538849920e-08
0.1388888889,0.0000000000,2.404275426820e-08
0.2083333333,0.0000000000,2.100634371157e-08
0.2777777778,0.0000000000,1.389123886332e-08
0.3472222222,0.0000000000,4.492252651500e-09
0.4166666667,0.0000000000,-2.917960174300e-09
0.4861111111,0.0000000000,-5.586349403500e-09
0.5555555556,0.0000000000,-4.715971319200e-09
0.6250000000,0.0000000000,-2.306283749700e-09
0.6944444444,0.0000000000,3.471662912920e-09
0.7638888889,0.0000000000,1.645774468890e-08
0.8333333333,0.0000000000,3.475545408330e-08
0.9027777778,0.0000000000,4.765778129100e-08
0.9722222222,0.0000000000,4.394538870440e-08
1.0416666667,0.0000000000,2.351052241691e-08
1.1111111111,0.0000000000,-1.516543564000e-09
1.1805555556,0.0000000000,-1.797358122270e-08
1.2500000000,0.0000000000,-2.262182442600e-08
1.3194444444,0.0000000000,-2.176068258200e-08
1.3888888889,0.0000000000,-2.245009628800e-08
1.4583333333,0.0000000000,-2.628280383200e-08
1.5277777778,0.0000000000,-3.068463522600e-08
1.5972222222,0.0000000000,-3.334635749100e-08
1.6666666667,0.0000000000,-3.412197930700e-08
1.7361111111,0.0000000000,-3.384231031280e-08
1.8055555556,0.0000000000,-3.278217978560e-08
1.8750000000,0.0000000000,-3.060042620340e-08
1.9444444444,0.0000000000,-2.760146510000e-08
2.0138888889,0.0000000000,-2.594156250870e-08
2.0833333333,0.0000000000,-2.897410178330e-08
2.1527777778,0.0000000000,-3.846560525590e-08
2.2222222222,0.0000000000,-5.253612258820e-08
2.2916666667,0.0000000000,-6.740254283230e-08
2.3611111111,0.0000000000,-8.113556832500e-08
2.4305555556,0.0000000000,-9.401117060500e-08
2.5000000000,0.0000000000,-1.045638800750e-07
2.5694444444,0.0000000000,-1.079369690358e-07
2.6388888889,0.0000000000,-1.013870478031e-07
2.7083333333,0.0000000000,-9.099942680690e-08
2.7777777778,0.0000000000,-8.936044321910e-08
2.8472222222,0.0000000000,-1.046371460476e-07
2.9166666667,0.0000000000,-1.335195310900e-07
2.9861111111,0.0000000000,-1.661411087377e-07
3.0555555556,0.0000000000,-1.956387903060e-07
3.1250000000,0.0000000000,-2.202327270850e-07
3.1944444444,0.0000000000,-2.379306141510e-07
3.2638888889,0.0000000000,-2.445794122950e-07
3.3333333333,0.0000000000,-2.395495939742e-07
3.4027777778,0.0000000000,-2.304640214421e-07
3.4722222222,0.0000000000,-2.287697555454e-07
3.5416666667,0.0000000000,-2.405363090980e-07
3.6111111111,0.0000000000,-2.628980583620e-07
3.6805555556,0.0000000000,-2.886655370882e-07
3.7500000000,0.0000000000,-3.127887060165e-07
3.8194444444,0.0000000000,-3.355884264709e-07
3.8888888889,0.0000000000,-3.627947684006e-07
3.9583333333,0.0000000000,-4.025290763324e-07
4.0277777778,0.0000000000,-4.586473906270e-07
4.0972222222,0.0000000000,-5.248743823590e-07
4.1666666667,0.0000000000,-5.876025594900e-07
4.2361111111,0.0000000000,-6.368336719700e-07
4.3055555556,0.0000000000,-6.729276577800e-07
4.3750000000,0.0000000000,-7.004946642600e-07
4.4444444444,0.0000000000,-7.182898838200e-07
4.5138888889,0.0000000000,-7.203992438500e-07
4.5833333333,0.0000000000,-7.076945127500e-07
4.6527777778,0.0000000000,-6.922250818000e-07
