displacement_A,energy_eV_cell,delta_energy_meV_cell
0.0,-111.23310238,0.00000
1.0,-111.14522274,87.87964
2.0,-111.07191478,161.18760
3.0,-111.03283390,200.26848
4.0,-111.01334680,219.75558
5.0,-111.00295561,230.14677
6.0,-110.99687336,236.22902
7.0,-110.99307892,240.02346
8.0,-110.99053976,242.56262
9.0,-110.98879721,244.30517
10.0,-110.98760066,245.50172
11.0,-110.98662884,246.47354
12.0,-110.98601295,247.08943
13.0,-110.98548644,247.61594
14.0,-110.98508993,248.01245
15.0,-110.98481305,248.28933
16.0,-110.98458118,248.52120
17.0,-110.98441092,248.69146
18.0,-110.98427886,248.82352
19.0,-110.98420280,248.89958
20.0,-110.98414608,248.95630
