directory,d_A,energy_without_entropy_eV,energy_sigma0_eV,delta_E_meV,W_meV_A2,W_J_m2,outer_periodic_gap_A
scf_eq,0.0,-107.7932734,-107.79327383,0.0,0.0,0.0,43.99324306914518
scf_d2,2.0,-107.67298978,-107.67298978,120.28362000000925,11.087865422162839,0.17764718900325846,41.993243069145194
scf_d3,3.0,-107.61525753,-107.61525753,178.01587000001007,16.40968246191123,0.2629120981183377,40.993243069145194
scf_d4,4.0,-107.58649411,-107.58649411,206.77929000000006,19.061123531285528,0.3053928673961324,39.99324306914518
scf_d5,5.0,-107.570807,-107.570807,222.46640000000184,20.50717715473543,0.32856120066615707,38.993243069145194
scf_d6,6.0,-107.56258844,-107.56258845,230.68496000000493,21.26477230562961,0.3406992131541007,37.993243069145194
scf_d7,7.0,-107.55688561,-107.55688562,236.3877900000091,21.79046492749711,0.3491217375083237,36.99324306914518
scf_d8,8.0,-107.55363213,-107.55363213,239.641270000007,22.09037399569503,0.3539268105222379,35.993243069145194
scf_d9,9.0,-107.5511622,-107.5511622,242.11120000001074,22.318054634523506,0.3575746565176897,34.99324306914518
scf_d10,10.0,-107.54937619,-107.54937619,243.8972100000001,22.482690837877858,0.3602124192989379,33.993243069145194
scf_d11,11.0,-107.54835199,-107.54835199,244.92141000000345,22.577102626992748,0.36172506292387796,32.99324306914518
scf_d12,12.0,-107.54706879,-107.54706879,246.2046100000066,22.695389297361938,0.36362022431766977,31.993243069145194
scf_d13,13.0,-107.54685999,-107.54685999,246.4134100000024,22.714636691978935,0.36392860157687706,30.99324306914518
scf_d14,14.0,-107.54599033,-107.54599034,247.28307000000882,22.794802828009,0.3652130046767314,29.993243069145194
scf_d15,15.0,-107.54585927,-107.54585927,247.4141300000099,22.806884071009836,0.36540656752918754,28.993243069145194
scf_d16,16.0,-107.54552844,-107.54552845,247.74496000000568,22.837380314118974,0.36589517121053,27.993243069145194
scf_d17,17.0,-107.54522826,-107.54522826,248.0451400000021,22.865051209311396,0.36633850782772165,26.99324306914518
scf_d18,18.0,-107.54525486,-107.54525486,248.0185400000039,22.862599194480037,0.3662992222190314,25.993243069145194
scf_d19,19.0,-107.54475578,-107.54475578,248.51762000000122,22.908604892303753,0.3670363147598716,24.993243069145194
scf_d20,20.0,-107.54517866,-107.54517866,248.0947399999991,22.869623387342834,0.3664117621958062,23.99324306914518
