time_ps,temperature_K,potential_eV_atom,total_eV_atom
0.0,408.67462446295895,-5.341255057132278,-5.289255188284363
0.01,405.5143243652414,-5.340855700568548,-5.289257949152851
0.02,303.14509040745173,-5.327821165250322,-5.289248902625032
0.03,205.11232367645903,-5.315338850702783,-5.289240303614661
0.04,211.28336714595076,-5.316127343331463,-5.289243591016836
0.05,286.26518934571476,-5.325675772445173,-5.289251312959189
0.06,339.0283863162639,-5.332392392140237,-5.2892543293174406
0.06999999999999999,333.4385760601168,-5.331676248847137,-5.289249434980858
0.08,327.31138935240915,-5.330892578901568,-5.289245389915659
0.09,356.57837080989697,-5.334623588315063,-5.2892524607573295
0.1,361.42482905844025,-5.335237843568974,-5.289250051363583
0.10999999999999999,355.81280878097516,-5.3345230088175875,-5.289249291577784
0.12,351.52839568323583,-5.333980301756124,-5.289251734388215
0.13,322.2914948447117,-5.330261176665729,-5.28925272040362
0.13999999999999999,274.31506434033764,-5.324147848415971,-5.289243926041418
0.15,280.44630284615306,-5.32493329825741,-5.289249235450607
0.16,305.37685385930877,-5.3281051440233576,-5.28924891121776
0.16999999999999998,334.7839359348291,-5.331847034075892,-5.289249036258248
0.18,360.17252656483333,-5.335081758569439,-5.289253309669277
0.18999999999999997,345.11861878468846,-5.33316305664118,-5.289250071005332
0.2,326.38970277461397,-5.330775761489378,-5.28924584815088
0.21,344.4289737851086,-5.333076757370073,-5.289251522348976
0.21999999999999997,344.7725181818643,-5.3331221741630594,-5.28925322646076
0.22999999999999998,302.00411297183166,-5.32767621884041,-5.289249134490108
0.24,261.9221583554342,-5.322572839247765,-5.289245793555257
0.25,262.7737847790808,-5.32268330276527,-5.289247895898161
0.26,289.75205666707,-5.32611705982925,-5.289248930409908
0.27,326.0283794412882,-5.330734256155172,-5.289250317694536
0.27999999999999997,355.4262369416871,-5.334475418558413,-5.289250888823142
0.29,371.41057253117884,-5.336509645217671,-5.289251264334028
0.3,367.70154486520505,-5.336038523154672,-5.289252079946233
0.31,337.05455431676353,-5.332136825720667,-5.289249913810988
0.32,308.2986915688149,-5.3284738470519715,-5.289245838832403
0.32999999999999996,318.16531294256936,-5.329733010037618,-5.289249570267628
0.33999999999999997,333.87285896198614,-5.331733917322727,-5.289251845183513
0.35000000000000003,321.96846372291776,-5.3302188386529785,-5.289251484957462
0.36,289.04040159651214,-5.326026172382244,-5.289248594144989
0.37,270.30083834389495,-5.323638801677572,-5.289245650495665
0.37999999999999995,304.8661817727318,-5.328038029085999,-5.28924677433369
0.38999999999999996,369.8938899409579,-5.336321660571379,-5.289256262787381
0.4,368.97174716688164,-5.336202697135109,-5.28925463304506
0.41,316.2251141471657,-5.3294826978403,-5.289246129485516
0.42,305.2235189071114,-5.3280816943531875,-5.289244971928041
0.43,347.67954725221693,-5.33349224965489,-5.2892534107938385
0.43999999999999995,353.274959002713,-5.334206014073006,-5.289255213519793
0.45,299.00573166326774,-5.32729461764203,-5.289249048133777
0.45999999999999996,252.91503630957843,-5.321425693809244,-5.289244716742107
0.47,269.4203508534546,-5.323527534745708,-5.289246417028283
0.48,327.4734527941252,-5.330919959781596,-5.289252149799888
0.49,365.5149439879791,-5.335761185279537,-5.289252965753295
0.5,366.1575944343273,-5.335841812852796,-5.289251822311363
