Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -338.5123    -341.8403       3.3280   408.7
0.0100        -338.5125    -341.8148       3.3023   405.5
0.0200        -338.5119    -340.9806       2.4686   303.1
0.0300        -338.5114    -340.1817       1.6703   205.1
0.0400        -338.5116    -340.2321       1.7206   211.3
0.0500        -338.5121    -340.8432       2.3312   286.3
0.0600        -338.5123    -341.2731       2.7608   339.0
0.0700        -338.5120    -341.2273       2.7153   333.4
0.0800        -338.5117    -341.1771       2.6654   327.3
0.0900        -338.5122    -341.4159       2.9038   356.6
0.1000        -338.5120    -341.4552       2.9432   361.4
0.1100        -338.5120    -341.4095       2.8975   355.8
0.1200        -338.5121    -341.3747       2.8626   351.5
0.1300        -338.5122    -341.1367       2.6245   322.3
0.1400        -338.5116    -340.7455       2.2339   274.3
0.1500        -338.5120    -340.7957       2.2838   280.4
0.1600        -338.5119    -340.9987       2.4868   305.4
0.1700        -338.5119    -341.2382       2.7263   334.8
0.1800        -338.5122    -341.4452       2.9330   360.2
0.1900        -338.5120    -341.3224       2.8104   345.1
0.2000        -338.5117    -341.1696       2.6579   326.4
0.2100        -338.5121    -341.3169       2.8048   344.4
0.2200        -338.5122    -341.3198       2.8076   344.8
0.2300        -338.5119    -340.9713       2.4593   302.0
0.2400        -338.5117    -340.6447       2.1329   261.9
0.2500        -338.5119    -340.6517       2.1399   262.8
0.2600        -338.5119    -340.8715       2.3596   289.8
0.2700        -338.5120    -341.1670       2.6550   326.0
0.2800        -338.5121    -341.4064       2.8944   355.4
0.2900        -338.5121    -341.5366       3.0245   371.4
0.3000        -338.5121    -341.5065       2.9943   367.7
0.3100        -338.5120    -341.2568       2.7448   337.1
0.3200        -338.5117    -341.0223       2.5106   308.3
0.3300        -338.5120    -341.1029       2.5909   318.2
0.3400        -338.5121    -341.2310       2.7189   333.9
0.3500        -338.5121    -341.1340       2.6219   322.0
0.3600        -338.5119    -340.8657       2.3538   289.0
0.3700        -338.5117    -340.7129       2.2012   270.3
0.3800        -338.5118    -340.9944       2.4826   304.9
0.3900        -338.5124    -341.5246       3.0122   369.9
0.4000        -338.5123    -341.5170       3.0047   369.0
0.4100        -338.5118    -341.0869       2.5751   316.2
0.4200        -338.5117    -340.9972       2.4856   305.2
0.4300        -338.5122    -341.3435       2.8313   347.7
0.4400        -338.5123    -341.3892       2.8769   353.3
0.4500        -338.5119    -340.9469       2.4349   299.0
0.4600        -338.5117    -340.5712       2.0596   252.9
0.4700        -338.5118    -340.7058       2.1940   269.4
0.4800        -338.5121    -341.1789       2.6667   327.5
0.4900        -338.5122    -341.4887       2.9765   365.5
0.5000        -338.5121    -341.4939       2.9818   366.2
