Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -341.2943    -343.7373       2.4430   300.0
0.0100        -341.1978    -343.1099       1.9121   234.8
0.0200        -341.2057    -342.1005       0.8948   109.9
0.0300        -340.9719    -342.1421       1.1702   143.7
0.0400        -340.8256    -342.6087       1.7832   219.0
0.0500        -340.6876    -342.3148       1.6272   199.8
0.0600        -340.3559    -341.3819       1.0260   126.0
0.0700        -340.1596    -341.0142       0.8546   104.9
0.0800        -340.0099    -341.6521       1.6422   201.7
0.0900        -340.0173    -342.1315       2.1142   259.6
0.1000        -340.0233    -341.7275       1.7043   209.3
0.1100        -339.8479    -341.3047       1.4568   178.9
0.1200        -339.8033    -341.7608       1.9575   240.4
0.1300        -339.8046    -342.2064       2.4018   294.9
0.1400        -339.7660    -341.8552       2.0892   256.6
0.1500        -339.7112    -341.3658       1.6546   203.2
0.1600        -339.5964    -341.7256       2.1292   261.5
0.1700        -339.5609    -342.4279       2.8670   352.1
0.1800        -339.7496    -342.3989       2.6493   325.3
0.1900        -339.6976    -341.7112       2.0136   247.3
0.2000        -339.5818    -341.5180       1.9362   237.8
0.2100        -339.4906    -342.1044       2.6138   321.0
0.2200        -339.5633    -342.2357       2.6723   328.2
0.2300        -339.4585    -341.3858       1.9273   236.7
0.2400        -339.3242    -340.4566       1.1324   139.1
0.2500        -339.3138    -340.5466       1.2327   151.4
0.2600        -339.0978    -341.1445       2.0468   251.3
0.2700        -339.1893    -341.2693       2.0801   255.4
0.2800        -339.1958    -341.1541       1.9583   240.5
0.2900        -339.1947    -341.3829       2.1882   268.7
0.3000        -338.9254    -341.9123       2.9869   366.8
0.3100        -338.8938    -341.9979       3.1041   381.2
0.3200        -339.0061    -341.5781       2.5720   315.8
0.3300        -338.9212    -341.6533       2.7321   335.5
0.3400        -338.9684    -342.1465       3.1781   390.3
0.3500        -339.1831    -342.1106       2.9275   359.5
0.3600        -339.1531    -341.3772       2.2241   273.1
0.3700        -339.2482    -340.9065       1.6583   203.6
0.3800        -339.2290    -341.2101       1.9811   243.3
0.3900        -339.2340    -341.4153       2.1813   267.9
0.4000        -339.1599    -341.0098       1.8499   227.2
0.4100        -339.0735    -340.5926       1.5191   186.5
0.4200        -338.9846    -341.0101       2.0255   248.7
0.4300        -338.9489    -341.7873       2.8384   348.6
0.4400        -338.8965    -341.8366       2.9401   361.0
0.4500        -338.9876    -341.2466       2.2590   277.4
0.4600        -338.8393    -341.0989       2.2596   277.5
0.4700        -338.8737    -341.5189       2.6452   324.8
0.4800        -338.9554    -341.8564       2.9010   356.2
0.4900        -338.9395    -341.6712       2.7317   335.4
0.5000        -338.7266    -341.3341       2.6075   320.2
0.5100        -338.6471    -341.3504       2.7033   332.0
0.5200        -338.6939    -341.5832       2.8893   354.8
0.5300        -338.6400    -341.4473       2.8073   344.7
0.5400        -338.5705    -340.9288       2.3583   289.6
0.5500        -338.4469    -340.5595       2.1126   259.4
0.5600        -338.3775    -340.6931       2.3156   284.4
0.5700        -338.4001    -340.9793       2.5792   316.7
0.5800        -338.3838    -340.8917       2.5079   308.0
0.5900        -338.2691    -340.5742       2.3051   283.1
0.6000        -338.2196    -340.3747       2.1551   264.6
0.6100        -338.2436    -340.7147       2.4711   303.4
0.6200        -338.1513    -341.4540       3.3027   405.6
0.6300        -338.1551    -341.6955       3.5404   434.8
0.6400        -338.3250    -341.4686       3.1436   386.0
0.6500        -338.3563    -341.4218       3.0655   376.4
0.6600        -338.5329    -341.3931       2.8603   351.2
0.6700        -338.5626    -341.1854       2.6227   322.1
0.6800        -338.7324    -341.1658       2.4334   298.8
0.6900        -338.7291    -341.2516       2.5225   309.8
0.7000        -338.6505    -341.1269       2.4764   304.1
0.7100        -338.7650    -340.9912       2.2262   273.4
0.7200        -338.5917    -341.0394       2.4476   300.6
0.7300        -338.6674    -340.9859       2.3185   284.7
0.7400        -338.7868    -341.0149       2.2281   273.6
0.7500        -338.6840    -341.0247       2.3407   287.4
0.7600        -338.6796    -340.9803       2.3007   282.5
0.7700        -338.5892    -341.1895       2.6003   319.3
0.7800        -338.7790    -341.5755       2.7965   343.4
0.7900        -338.8357    -341.7309       2.8951   355.5
0.8000        -338.8833    -341.7539       2.8706   352.5
0.8100        -338.8746    -341.5218       2.6472   325.1
0.8200        -338.8973    -341.2396       2.3423   287.6
0.8300        -338.8954    -341.1751       2.2798   280.0
0.8400        -338.9397    -341.2469       2.3071   283.3
0.8500        -339.0871    -341.3591       2.2720   279.0
0.8600        -339.0644    -341.5313       2.4669   302.9
0.8700        -339.2276    -341.5240       2.2963   282.0
0.8800        -339.2598    -341.2773       2.0175   247.7
0.8900        -339.1069    -341.1559       2.0490   251.6
0.9000        -338.9785    -341.4714       2.4929   306.1
0.9100        -339.1303    -341.7814       2.6511   325.6
0.9200        -339.0489    -341.5648       2.5159   308.9
0.9300        -338.8923    -340.9928       2.1006   257.9
0.9400        -338.7068    -340.7435       2.0368   250.1
0.9500        -338.7048    -341.0770       2.3722   291.3
0.9600        -338.7203    -341.5177       2.7974   343.5
0.9700        -338.7194    -341.5624       2.8430   349.1
0.9800        -338.7291    -341.3145       2.5854   317.5
0.9900        -338.6504    -341.3648       2.7144   333.3
1.0000        -338.5123    -341.8403       3.3280   408.7
