Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -338.3569    -341.4208       3.0639   376.2
0.0050        -338.3569    -341.5121       3.1552   387.5
0.0100        -338.3569    -341.4978       3.1409   385.7
0.0150        -338.3570    -341.3308       2.9739   365.2
0.0200        -338.3569    -340.9813       2.6244   322.3
0.0250        -338.3568    -340.5210       2.1643   265.8
0.0300        -338.3566    -340.1817       1.8250   224.1
0.0350        -338.3567    -340.1512       1.7945   220.4
0.0400        -338.3568    -340.3639       2.0071   246.5
0.0450        -338.3569    -340.6461       2.2892   281.1
0.0500        -338.3569    -340.9080       2.5511   313.3
0.0550        -338.3569    -341.1102       2.7533   338.1
0.0600        -338.3569    -341.2399       2.8830   354.0
0.0650        -338.3569    -341.3057       2.9489   362.1
0.0700        -338.3569    -341.3178       2.9609   363.6
0.0750        -338.3568    -341.2895       2.9326   360.1
0.0800        -338.3568    -341.2445       2.8876   354.6
0.0850        -338.3568    -341.2111       2.8543   350.5
0.0900        -338.3568    -341.2195       2.8627   351.5
0.0950        -338.3568    -341.2972       2.9404   361.1
0.1000        -338.3568    -341.4362       3.0794   378.1
0.1050        -338.3569    -341.5731       3.2162   394.9
0.1100        -338.3569    -341.6326       3.2757   402.3
0.1150        -338.3569    -341.5814       3.2245   396.0
0.1200        -338.3569    -341.4505       3.0937   379.9
0.1250        -338.3569    -341.2878       2.9309   359.9
0.1300        -338.3569    -341.0830       2.7261   334.8
0.1350        -338.3568    -340.8217       2.4649   302.7
0.1400        -338.3568    -340.5608       2.2040   270.6
0.1450        -338.3568    -340.3767       2.0199   248.0
0.1500        -338.3567    -340.3192       1.9625   241.0
0.1550        -338.3568    -340.4108       2.0541   252.2
0.1600        -338.3568    -340.6175       2.2607   277.6
0.1650        -338.3569    -340.8444       2.4876   305.5
0.1700        -338.3569    -341.0037       2.6468   325.0
0.1750        -338.3569    -341.0808       2.7239   334.5
0.1800        -338.3568    -341.1232       2.7664   339.7
0.1850        -338.3568    -341.1731       2.8163   345.8
0.1900        -338.3568    -341.2302       2.8734   352.8
0.1950        -338.3569    -341.2767       2.9198   358.6
0.2000        -338.3568    -341.3087       2.9518   362.5
0.2050        -338.3568    -341.3366       2.9798   365.9
0.2100        -338.3568    -341.3661       3.0092   369.5
0.2150        -338.3569    -341.3807       3.0238   371.3
0.2200        -338.3569    -341.3549       2.9980   368.2
0.2250        -338.3569    -341.2729       2.9160   358.1
0.2300        -338.3569    -341.1278       2.7710   340.3
0.2350        -338.3568    -340.9402       2.5833   317.2
0.2400        -338.3568    -340.7786       2.4219   297.4
0.2450        -338.3567    -340.7237       2.3669   290.7
0.2500        -338.3568    -340.8006       2.4438   300.1
0.2550        -338.3568    -340.9541       2.5973   318.9
0.2600        -338.3569    -341.0899       2.7330   335.6
0.2650        -338.3569    -341.1418       2.7849   342.0
0.2700        -338.3568    -341.1090       2.7522   338.0
0.2750        -338.3568    -341.0537       2.6969   331.2
0.2800        -338.3568    -341.0617       2.7049   332.2
0.2850        -338.3568    -341.1686       2.8118   345.3
0.2900        -338.3569    -341.3118       2.9549   362.9
0.2950        -338.3569    -341.3801       3.0231   371.2
0.3000        -338.3569    -341.3021       2.9451   361.7
0.3050        -338.3569    -341.0945       2.7377   336.2
0.3100        -338.3568    -340.8869       2.5301   310.7
0.3150        -338.3568    -340.8270       2.4703   303.3
0.3200        -338.3568    -340.9052       2.5483   312.9
0.3250        -338.3569    -340.9996       2.6428   324.5
0.3300        -338.3568    -341.0566       2.6997   331.5
0.3350        -338.3568    -341.0875       2.7306   335.3
0.3400        -338.3569    -341.0876       2.7308   335.3
0.3450        -338.3569    -341.0369       2.6800   329.1
0.3500        -338.3569    -340.9264       2.5696   315.5
0.3550        -338.3568    -340.7707       2.4139   296.4
0.3600        -338.3568    -340.6200       2.2633   277.9
0.3650        -338.3567    -340.5663       2.2096   271.3
0.3700        -338.3567    -340.6887       2.3320   286.4
0.3750        -338.3568    -340.9703       2.6135   320.9
0.3800        -338.3569    -341.2973       2.9404   361.1
0.3850        -338.3569    -341.5416       3.1847   391.1
0.3900        -338.3569    -341.6283       3.2713   401.7
0.3950        -338.3569    -341.5560       3.1991   392.8
0.4000        -338.3568    -341.4012       3.0443   373.8
0.4050        -338.3568    -341.2796       2.9228   358.9
0.4100        -338.3568    -341.2451       2.8883   354.7
0.4150        -338.3568    -341.2615       2.9047   356.7
0.4200        -338.3569    -341.2815       2.9247   359.1
0.4250        -338.3569    -341.2709       2.9140   357.8
0.4300        -338.3569    -341.2034       2.8465   349.5
0.4350        -338.3569    -341.0909       2.7341   335.7
0.4400        -338.3569    -340.9531       2.5963   318.8
0.4450        -338.3568    -340.7853       2.4284   298.2
0.4500        -338.3568    -340.6106       2.2538   276.8
0.4550        -338.3567    -340.5080       2.1512   264.2
0.4600        -338.3568    -340.5471       2.1904   269.0
0.4650        -338.3568    -340.7145       2.3576   289.5
0.4700        -338.3569    -340.9179       2.5610   314.5
0.4750        -338.3569    -341.0626       2.7057   332.3
0.4800        -338.3569    -341.1185       2.7616   339.1
0.4850        -338.3568    -341.1242       2.7674   339.8
0.4900        -338.3568    -341.1323       2.7754   340.8
0.4950        -338.3568    -341.1615       2.8047   344.4
0.5000        -338.3568    -341.1980       2.8412   348.9
