Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -338.3569    -341.4208       3.0639   376.2
0.0050        -338.3569    -341.5120       3.1551   387.4
0.0100        -338.3571    -341.4973       3.1403   385.6
0.0150        -338.3572    -341.3299       2.9727   365.0
0.0200        -338.3571    -340.9798       2.6227   322.1
0.0250        -338.3565    -340.5192       2.1627   265.6
0.0300        -338.3559    -340.1801       1.8241   224.0
0.0350        -338.3562    -340.1505       1.7943   220.3
0.0400        -338.3566    -340.3637       2.0071   246.5
0.0450        -338.3568    -340.6460       2.2892   281.1
0.0500        -338.3568    -340.9077       2.5508   313.2
0.0550        -338.3569    -341.1094       2.7525   338.0
0.0600        -338.3568    -341.2387       2.8818   353.9
0.0650        -338.3568    -341.3043       2.9475   362.0
0.0700        -338.3568    -341.3165       2.9597   363.4
0.0750        -338.3567    -341.2883       2.9316   360.0
0.0800        -338.3567    -341.2436       2.8869   354.5
0.0850        -338.3566    -341.2105       2.8539   350.5
0.0900        -338.3565    -341.2191       2.8625   351.5
0.0950        -338.3566    -341.2968       2.9403   361.1
0.1000        -338.3567    -341.4358       3.0790   378.1
0.1050        -338.3569    -341.5724       3.2154   394.9
0.1100        -338.3570    -341.6316       3.2746   402.1
0.1150        -338.3570    -341.5803       3.2233   395.8
0.1200        -338.3568    -341.4496       3.0928   379.8
0.1250        -338.3569    -341.2872       2.9303   359.8
0.1300        -338.3569    -341.0822       2.7253   334.7
0.1350        -338.3567    -340.8204       2.4637   302.5
0.1400        -338.3565    -340.5592       2.2026   270.5
0.1450        -338.3564    -340.3751       2.0187   247.9
0.1500        -338.3563    -340.3180       1.9617   240.9
0.1550        -338.3564    -340.4103       2.0539   252.2
0.1600        -338.3567    -340.6176       2.2610   277.6
0.1650        -338.3569    -340.8446       2.4877   305.5
0.1700        -338.3569    -341.0034       2.6464   325.0
0.1750        -338.3568    -341.0800       2.7232   334.4
0.1800        -338.3567    -341.1221       2.7654   339.6
0.1850        -338.3567    -341.1719       2.8152   345.7
0.1900        -338.3568    -341.2290       2.8722   352.7
0.1950        -338.3568    -341.2755       2.9187   358.4
0.2000        -338.3567    -341.3077       2.9510   362.4
0.2050        -338.3567    -341.3360       2.9793   365.9
0.2100        -338.3567    -341.3659       3.0091   369.5
0.2150        -338.3568    -341.3805       3.0237   371.3
0.2200        -338.3568    -341.3544       2.9975   368.1
0.2250        -338.3569    -341.2718       2.9150   358.0
0.2300        -338.3568    -341.1261       2.7693   340.1
0.2350        -338.3566    -340.9380       2.5814   317.0
0.2400        -338.3564    -340.7769       2.4204   297.2
0.2450        -338.3564    -340.7230       2.3666   290.6
0.2500        -338.3565    -340.8010       2.4445   300.2
0.2550        -338.3567    -340.9547       2.5980   319.0
0.2600        -338.3569    -341.0899       2.7330   335.6
0.2650        -338.3569    -341.1407       2.7837   341.8
0.2700        -338.3568    -341.1070       2.7503   337.7
0.2750        -338.3565    -341.0518       2.6952   331.0
0.2800        -338.3564    -341.0607       2.7043   332.1
0.2850        -338.3566    -341.1689       2.8123   345.4
0.2900        -338.3569    -341.3126       2.9557   363.0
0.2950        -338.3571    -341.3800       3.0229   371.2
0.3000        -338.3571    -341.3005       2.9434   361.4
0.3050        -338.3568    -341.0918       2.7351   335.9
0.3100        -338.3564    -340.8847       2.5283   310.5
0.3150        -338.3564    -340.8264       2.4700   303.3
0.3200        -338.3567    -340.9053       2.5485   313.0
0.3250        -338.3568    -340.9995       2.6427   324.5
0.3300        -338.3567    -341.0562       2.6995   331.5
0.3350        -338.3567    -341.0872       2.7304   335.3
0.3400        -338.3568    -341.0872       2.7304   335.3
0.3450        -338.3568    -341.0359       2.6791   329.0
0.3500        -338.3568    -340.9246       2.5678   315.3
0.3550        -338.3567    -340.7681       2.4114   296.1
0.3600        -338.3564    -340.6173       2.2608   277.6
0.3650        -338.3562    -340.5648       2.2085   271.2
0.3700        -338.3563    -340.6893       2.3330   286.5
0.3750        -338.3566    -340.9724       2.6158   321.2
0.3800        -338.3569    -341.2993       2.9424   361.3
0.3850        -338.3571    -341.5422       3.1851   391.1
0.3900        -338.3571    -341.6268       3.2697   401.5
0.3950        -338.3569    -341.5529       3.1960   392.5
0.4000        -338.3566    -341.3980       3.0414   373.5
0.4050        -338.3565    -341.2778       2.9213   358.7
0.4100        -338.3566    -341.2446       2.8880   354.6
0.4150        -338.3567    -341.2616       2.9049   356.7
0.4200        -338.3568    -341.2817       2.9249   359.2
0.4250        -338.3569    -341.2707       2.9138   357.8
0.4300        -338.3568    -341.2026       2.8458   349.5
0.4350        -338.3568    -341.0899       2.7331   335.6
0.4400        -338.3568    -340.9516       2.5948   318.6
0.4450        -338.3568    -340.7830       2.4262   297.9
0.4500        -338.3565    -340.6080       2.2515   276.5
0.4550        -338.3563    -340.5066       2.1503   264.1
0.4600        -338.3564    -340.5476       2.1913   269.1
0.4650        -338.3566    -340.7161       2.3595   289.7
0.4700        -338.3569    -340.9191       2.5622   314.6
0.4750        -338.3569    -341.0622       2.7053   332.2
0.4800        -338.3568    -341.1168       2.7600   338.9
0.4850        -338.3567    -341.1223       2.7656   339.6
0.4900        -338.3567    -341.1309       2.7742   340.7
0.4950        -338.3567    -341.1607       2.8040   344.3
0.5000        -338.3568    -341.1973       2.8406   348.8
