Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -341.2943    -343.7373       2.4430   300.0
0.0100        -341.3533    -343.1480       1.7947   220.4
0.0200        -341.2770    -342.1515       0.8745   107.4
0.0300        -340.9980    -342.0093       1.0113   124.2
0.0400        -340.9481    -342.4656       1.5175   186.3
0.0500        -340.8245    -342.4122       1.5877   195.0
0.0600        -340.7178    -341.7035       0.9857   121.0
0.0700        -340.4424    -341.3180       0.8756   107.5
0.0800        -340.1495    -341.9242       1.7747   217.9
0.0900        -340.1208    -342.2899       2.1692   266.4
0.1000        -339.9654    -341.7471       1.7817   218.8
0.1100        -339.9055    -341.3392       1.4338   176.1
0.1200        -339.7857    -341.7949       2.0093   246.7
0.1300        -339.6759    -342.1652       2.4893   305.7
0.1400        -339.5406    -341.7939       2.2533   276.7
0.1500        -339.5059    -341.2075       1.7016   209.0
0.1600        -339.3390    -341.4564       2.1174   260.0
0.1700        -339.4296    -342.0905       2.6610   326.8
0.1800        -339.4453    -342.0126       2.5674   315.3
0.1900        -339.5527    -341.4629       1.9102   234.6
0.2000        -339.5080    -341.6123       2.1043   258.4
0.2100        -339.5717    -342.3146       2.7429   336.8
0.2200        -339.4570    -342.3244       2.8674   352.1
0.2300        -339.4436    -341.3391       1.8955   232.8
0.2400        -339.3564    -340.4696       1.1132   136.7
0.2500        -339.3640    -340.7046       1.3405   164.6
0.2600        -339.1845    -341.3320       2.1475   263.7
0.2700        -339.2209    -341.3541       2.1333   262.0
0.2800        -339.3237    -341.2002       1.8766   230.4
0.2900        -339.2543    -341.7012       2.4468   300.5
0.3000        -339.1558    -342.2539       3.0982   380.5
0.3100        -339.2255    -342.0764       2.8509   350.1
0.3200        -339.3314    -341.4806       2.1492   263.9
0.3300        -339.2812    -341.5423       2.2611   277.7
0.3400        -339.0654    -342.0999       3.0345   372.6
0.3500        -338.9666    -341.9279       2.9613   363.6
0.3600        -338.8876    -341.0100       2.1224   260.6
0.3700        -338.7970    -340.7209       1.9238   236.2
0.3800        -338.7478    -341.1637       2.4158   296.7
0.3900        -338.9382    -341.1922       2.2539   276.8
0.4000        -338.7447    -340.6568       1.9121   234.8
0.4100        -338.5420    -340.3680       1.8260   224.2
0.4200        -338.3761    -341.0274       2.6513   325.6
0.4300        -338.4553    -341.8642       3.4090   418.6
0.4400        -338.6760    -341.6819       3.0058   369.1
0.4500        -338.6337    -340.8789       2.2451   275.7
0.4600        -338.7119    -340.9407       2.2288   273.7
0.4700        -338.8332    -341.5754       2.7422   336.7
0.4800        -338.8049    -341.8004       2.9955   367.8
0.4900        -338.7651    -341.4744       2.7093   332.7
0.5000        -338.6066    -341.1849       2.5783   316.6
0.5100        -338.8362    -341.3547       2.5184   309.3
0.5200        -339.0800    -341.7215       2.6415   324.4
0.5300        -339.0946    -341.5096       2.4150   296.6
0.5400        -339.2274    -340.9202       1.6929   207.9
0.5500        -339.1740    -340.9754       1.8014   221.2
0.5600        -339.1317    -341.4364       2.3047   283.0
0.5700        -339.0457    -341.5191       2.4733   303.7
0.5800        -339.1109    -341.2314       2.1205   260.4
0.5900        -338.9429    -341.2394       2.2965   282.0
0.6000        -338.8974    -341.3901       2.4927   306.1
0.6100        -338.8980    -341.4470       2.5490   313.0
0.6200        -338.5855    -341.3426       2.7571   338.6
0.6300        -338.4996    -341.4146       2.9151   358.0
0.6400        -338.4979    -341.6977       3.1998   392.9
0.6500        -338.4955    -341.5040       3.0085   369.4
0.6600        -338.4707    -340.9381       2.4675   303.0
0.6700        -338.4045    -340.6898       2.2853   280.6
0.6800        -338.4447    -340.9735       2.5288   310.5
0.6900        -338.2817    -341.2259       2.9442   361.5
0.7000        -338.4578    -340.9540       2.4962   306.5
0.7100        -338.4344    -340.6811       2.2466   275.9
0.7200        -338.4061    -340.8727       2.4666   302.9
0.7300        -338.4057    -341.0909       2.6853   329.7
0.7400        -338.4054    -340.8313       2.4259   297.9
0.7500        -338.3966    -340.6721       2.2756   279.4
0.7600        -338.6026    -341.1347       2.5321   310.9
0.7700        -338.4090    -341.6700       3.2610   400.4
0.7800        -338.4018    -341.7111       3.3093   406.4
0.7900        -338.6562    -341.5062       2.8500   350.0
0.8000        -338.6437    -341.5398       2.8961   355.6
0.8100        -338.6703    -341.4885       2.8182   346.1
0.8200        -338.7676    -341.2194       2.4518   301.1
0.8300        -338.6526    -340.8886       2.2360   274.6
0.8400        -338.5489    -340.6834       2.1345   262.1
0.8500        -338.5768    -340.8341       2.2573   277.2
0.8600        -338.5822    -341.2012       2.6190   321.6
0.8700        -338.6660    -341.0673       2.4014   294.9
0.8800        -338.7080    -340.8088       2.1008   258.0
0.8900        -338.6566    -341.1539       2.4973   306.7
0.9000        -338.7235    -341.6512       2.9277   359.5
0.9100        -338.6140    -341.8161       3.2020   393.2
0.9200        -338.5355    -341.4779       2.9424   361.3
0.9300        -338.5757    -340.8653       2.2896   281.2
0.9400        -338.7748    -340.8045       2.0297   249.2
0.9500        -338.6730    -341.4584       2.7854   342.0
0.9600        -338.6129    -341.5274       2.9145   357.9
0.9700        -338.1598    -340.9155       2.7557   338.4
0.9800        -338.0414    -340.6811       2.6398   324.2
0.9900        -338.2284    -341.0193       2.7909   342.7
1.0000        -338.3569    -341.4208       3.0639   376.2
