step,energy_eV,fmax_eV_A,volume_A3
0,-42.89182328857759,0.9996593319818196,160.10300699999996
1,-42.91086440360037,0.828193521308637,160.10300699999996
2,-42.94959711164282,0.10450787238831795,160.10300699999996
3,-42.95025238808522,0.088539904439978,160.10300699999996
4,-42.952002778279535,0.07711552324200492,160.10300699999996
5,-42.95235618823978,0.054305252824626664,160.10300699999996
6,-42.95262890753677,0.04211183473194701,160.10300699999996
7,-42.95296386121371,0.04587986451296233,160.10300699999996
8,-42.95342278596392,0.04529076505006419,160.10300699999996
9,-42.95370739189809,0.03329962735090524,160.10300699999996
10,-42.95380776027034,0.023585448896236514,160.10300699999996
11,-42.95384066927254,0.015486523587470673,160.10300699999996
12,-42.953861050364125,0.006807952976829792,160.10300699999996
13,-42.95387018302605,0.003906158054612552,160.10300699999996
14,-42.953871797529295,0.001449387669448767,160.10300699999996
15,-42.953871918991695,0.0006266642896855485,160.10300699999996
