      Step     Time          Energy          fmax
BFGS:    0 21:28:05      -42.891823        0.999659
BFGS:    1 21:28:05      -42.910864        0.828194
BFGS:    2 21:28:05      -42.949597        0.104508
BFGS:    3 21:28:05      -42.950252        0.088540
BFGS:    4 21:28:05      -42.952003        0.077116
BFGS:    5 21:28:05      -42.952356        0.054305
BFGS:    6 21:28:05      -42.952629        0.042112
BFGS:    7 21:28:05      -42.952964        0.045880
BFGS:    8 21:28:05      -42.953423        0.045291
BFGS:    9 21:28:05      -42.953707        0.033300
BFGS:   10 21:28:05      -42.953808        0.023585
BFGS:   11 21:28:05      -42.953841        0.015487
BFGS:   12 21:28:05      -42.953861        0.006808
BFGS:   13 21:28:05      -42.953870        0.003906
BFGS:   14 21:28:05      -42.953872        0.001449
BFGS:   15 21:28:05      -42.953872        0.000627
