step,energy_eV,fmax_eV_A,volume_A3
0,-42.76677684200746,0.4406923187828488,175.61599999999996
1,-42.78700781186981,0.3788119373813413,175.02431783220058
2,-42.93202788997504,0.5420668278238032,166.3885954157191
3,-42.94054856780248,0.45694492870584724,166.0982906549699
4,-42.96598103821243,0.08113778488892116,163.2454553591839
5,-42.96635364014068,0.07130420765356404,163.31271027513225
6,-42.96698241210853,0.030872602786837105,163.3254683836355
7,-42.96711453003134,0.014540966087766819,163.24605236780607
8,-42.967141261572806,0.012913865671745585,163.18890977457056
9,-42.96714695946987,0.010862295763381798,163.1754331252811
10,-42.9671541855069,0.0056940787821921,163.16750167405937
11,-42.967157696360225,0.004681540757205938,163.17347736301005
12,-42.96715908887798,0.00360854976721008,163.18242215418388
13,-42.96715995158516,0.003452492718349765,163.1883622589788
14,-42.96716151027088,0.004443244976662714,163.1955834970994
15,-42.96716343152428,0.004079592700598352,163.1994277378895
16,-42.96716477196544,0.0020517577709280705,163.19622891518094
17,-42.96716512787597,0.0005360404712628023,163.19090908782678
18,-42.967165172147226,0.0002580385197946813,163.18884458209394
