      Step     Time          Energy          fmax
BFGS:    0 21:28:45      -42.766777        0.631790
BFGS:    1 21:28:45      -42.787008        0.602829
BFGS:    2 21:28:45      -42.932028        0.532014
BFGS:    3 21:28:45      -42.940549        0.448262
BFGS:    4 21:28:46      -42.965981        0.079182
BFGS:    5 21:28:46      -42.966354        0.069595
BFGS:    6 21:28:46      -42.966982        0.030133
BFGS:    7 21:28:46      -42.967115        0.014189
BFGS:    8 21:28:46      -42.967141        0.012601
BFGS:    9 21:28:46      -42.967147        0.010599
BFGS:   10 21:28:46      -42.967154        0.005556
BFGS:   11 21:28:46      -42.967158        0.004568
BFGS:   12 21:28:46      -42.967159        0.003521
BFGS:   13 21:28:46      -42.967160        0.003369
BFGS:   14 21:28:46      -42.967162        0.004335
BFGS:   15 21:28:46      -42.967163        0.003981
BFGS:   16 21:28:46      -42.967165        0.002002
BFGS:   17 21:28:46      -42.967165        0.000523
BFGS:   18 21:28:46      -42.967165        0.000419
