case,epsilon,mesh,vacuum_add_A,etot_eV,area_A2,height_A,vacuum_eV,plateau_left_eV,plateau_right_eV,plateau_spread_eV,CB14_CB15_local_min_separation_eV,bands_source,kpoint_mapping_max_invA,K_CBM_eV,K_CBM_vac_eV,K_shift_x_invA,K_shift_y_invA,Kprime_minus_K_eV,Gamma_minus_K_eV,M_minus_K_eV,Q1_minus_K_eV,Q2_minus_K_eV,Q3_minus_K_eV,coarse_scf_CBM_minus_K_eV,sampled_gap_eV,force_max_eVA,mx_me,my_me,md_me,fit_residual_eV,SCF_intermediate_eigenwarning_count,SCF_final_eigenwarning_count
k16-minus005,-0.005,16,0,-2470.5151809873287,8.728763940730097,23.189999999999998,4.299168831506389,4.299169225433722,4.2991684375790555,3.4218318204715104e-05,1.318076620477607,k16-minus005/bands-retry,1.4432899320127035e-14,0.0820510799378069,-4.2171177515685825,-0.003457118163083159,-2.8045777428493664e-09,9.333596549999934e-05,1.060446579892928,0.5654556670528178,0.21777036076605716,0.21290199889281342,0.2177703558531181,0.05291527252957283,1.7149740535291624,0.00017306111874956936,0.45870329470142523,0.4690226673595618,0.46383428377760527,5.885738264496676e-05,2,0
k16-plus005,0.005,16,0,-2470.5162227165524,8.816490211491207,23.189999999999998,4.261992182802645,4.261992537613612,4.26199182799168,2.9537959769676547e-05,1.409730702587025,k16-plus005/bands-retry,1.687538997430238e-14,-0.03730000411187272,-4.299292186914518,0.0036507313197477018,2.0668706744091777e-09,0.00010409307673820561,1.0882406794636115,0.5710405245850287,0.29508791796657907,0.30022314478399825,0.2950879143265559,0.05163096802529832,1.6247849138042212,0.00017559513828554885,0.4534666072443129,0.4432746754385339,0.4483416812526335,6.407516124228713e-05,6,0
k16-zero,0.0,16,0,-2470.516611520202,8.772627076110652,23.190000000000005,4.280492452384159,4.280492826965898,4.28049207780242,3.190535037411735e-05,1.3657727484169673,k16-zero,1.4432899320127035e-14,0.022165684225200065,-4.258326768158959,6.659923863448453e-05,-2.8937487702125083e-10,-3.489898781978279e-06,1.0877318583560318,0.5688556229767551,0.2568427456171104,0.2568427449874542,0.2568427447799747,0.056284570393141935,1.6844722524792846,1.332558284265263e-05,0.4560133452864137,0.45594802508675475,0.45598068401692693,6.149697165635029e-05,1,0
minus005,-0.005,12,0,-2470.5151735441777,8.728763940730097,23.189999999999998,4.299168436941288,4.299168830868622,4.299168043013955,3.4218318204715104e-05,1.3180781708721303,minus005,1.4432899320127035e-14,0.08205106862041513,-4.217117368320873,-0.0034571634310758964,-2.8042964887326966e-09,9.333907836749089e-05,1.0604478212515065,0.5654660191863866,0.2177752495801808,0.21290682080930534,0.21777524466649073,9.30150736060259e-05,1.7149661298654406,0.0001742656236574985,0.4587008026517247,0.4690201268913782,0.4638317676322866,5.885745300418521e-05,0,0
minus010,-0.01,12,0,-2470.5118654539865,8.684900805349544,23.189999999999998,4.318035914401099,4.318035501978526,4.318036326823672,3.6476863262357995e-05,1.26853344109912,minus010,1.4432899320127035e-14,0.1423306668493691,-4.17570524755173,-0.006936211040606385,2.8660218405647236e-09,0.00039120341008150317,1.0329940477622395,0.5607175769929861,0.1778876249599788,0.16839791226499914,0.17788762264288713,0.0003999762353360248,1.7431011839026838,9.512973790984266e-05,0.46244569382992856,0.4832162755905681,0.4727169193453953,5.6498041991787096e-05,0,0
plus005,0.005,12,0,-2470.516210355512,8.816490211491207,23.189999999999998,4.2619919757410045,4.26199233055197,4.261991620930038,2.9537959769676547e-05,1.409733928068932,plus005,1.687538997430238e-14,-0.0373026254367619,-4.299294601177767,0.0036505450722603304,2.066969072383345e-09,0.00010408233801259548,1.0882441540264562,0.5710526806570805,0.2950951597089198,0.30022994291433663,0.29509515606846765,0.00010428752090279464,1.624784694602499,0.0001742162747686152,0.4534635006377261,0.44327171504337237,0.44833864838675064,6.407536702147248e-05,0,0
plus010,0.01,12,0,-2470.5140806102095,8.860353346871756,23.189999999999998,4.243674537975554,4.243674872803159,4.24367420314795,2.7156963473551343e-05,1.452908194905216,plus010,1.4432899320127035e-14,-0.096381312511944,-4.340055850487499,0.0073057483266896,6.44968021660827e-10,0.0004436088057226534,1.0895004887281026,0.5721763948131448,0.33251291584766596,0.34303800346337354,0.3325129151766454,0.0004414829868751302,1.5657289395711134,3.729867172724599e-05,0.452887777047149,0.4317797188779727,0.4422078211165971,6.191340648073473e-05,0,0
vacuum28-minus005,-0.005,12,5,-2470.5151886539384,8.728763940730097,28.189999999999998,3.536638338306358,3.5366385012892074,3.5366381753235085,1.7143173335121276e-05,1.3180638780808849,vacuum28-minus005,1.4432899320127035e-14,-0.6804553237560859,-4.217093662062444,-0.0034520633595067525,9.35625922290006e-10,9.384188151495554e-05,1.0604035005660213,0.5654171283479424,0.21774325825327995,0.21286948390628257,0.2177432575539775,9.026037124382214e-05,1.7149923674363956,0.00017973230592660468,0.45875701568017696,0.4689660518482442,0.463833446833254,5.992355699735441e-05,4,0
vacuum28-plus005,0.005,12,5,-2470.516226974412,8.816490211491207,28.189999999999998,3.506053885318157,3.5060540283763104,3.5060537422600033,1.4952656742561743e-05,1.409713707082136,vacuum28-plus005,1.687538997430238e-14,-0.7932294757591148,-4.299283361077272,0.0036542570345376945,1.0823819653036926e-09,0.00010534114180527077,1.0882294793109564,0.5710295935123272,0.2950851000905966,0.30021793511719735,0.29508509317481135,0.0001005468834186507,1.6247653398525046,0.00015899439751001926,0.45349524431476124,0.442996836773903,0.4482153039817445,6.375716580830915e-05,6,0
vacuum28-zero,0.0,12,5,-2470.5166119562755,8.772627076110652,28.189999999999998,3.52127328307715,3.521273436131521,3.5212731300227795,1.5959478032900876e-05,1.3657586621280635,vacuum28-zero/bands-retry,1.4432899320127035e-14,-0.7370423009405513,-4.258315584017701,7.040619867612922e-05,3.444809331709636e-10,-2.651551452848011e-06,1.0876891131438264,0.5688295632250289,0.2568339520189613,0.2568339549848883,0.25683395571418993,-8.79347304016953e-06,1.6844675648026597,6.073342577136116e-05,0.45546691609037965,0.45531922306781913,0.4553930635916272,6.749701869535052e-05,0,0
zero,0.0,12,0,-2470.5165835648722,8.772627076110652,23.190000000000005,4.280490134314194,4.280490508895932,4.280489759732455,3.1891744680656586e-05,1.3657695275788326,zero,1.4432899320127035e-14,0.022177867166625027,-4.258312267147569,6.659653068904663e-05,-1.226809186630084e-09,-3.492238622237326e-06,1.0877284601060855,0.5688649404210763,0.2568431550006864,0.2568431445764109,0.2568431527018456,-1.5507416952227626e-05,1.6844771298190513,2.638121680723699e-05,0.4560118247455952,0.4559465055835881,0.4559791639949692,6.14986367195626e-05,2,0
