case,window_invA,mx_me,my_me,md_me,shift_x_invA,shift_y_invA,CBM_eV,fit_RMS_eV,fit_max_residual_eV,Hxy_eVA2
k16-minus005,0.01,0.45740249023925106,0.4676135731135156,0.46247985124973096,-0.003495038283559592,-3.3320541662484944e-09,0.0820433686443659,4.9342794000336265e-06,8.876191999157568e-06,-1.4994994170549987e-05
k16-minus005,0.02,0.45870329470142523,0.4690226673595618,0.46383428377760527,-0.003457118163083159,-2.8045777428493664e-09,0.0820510799378069,3.0492692051167006e-05,5.885738264496676e-05,-1.779969313034093e-06
k16-minus005,0.03,0.4617731651173283,0.4721653057494349,0.46694032562470744,-0.0034038653253740917,-4.295170210743423e-10,0.08207920171369233,8.977044340884462e-05,0.00020251519100623894,-5.6190157829599e-07
k16-plus005,0.01,0.4519057701088592,0.44160137434707786,0.4467238623080998,0.0036094541034891415,1.0038076582321388e-08,-0.03730429897088786,5.314105713377033e-06,9.842847980758018e-06,-5.324006429672199e-06
k16-plus005,0.02,0.4534666072443129,0.4432746754385339,0.4483416812526335,0.0036507313197477018,2.0668706744091777e-09,-0.03730000411187272,3.234355521671413e-05,6.407516124228713e-05,-1.769298614572502e-06
k16-plus005,0.03,0.4565828744706662,0.4463537095849797,0.4514393201228215,0.003717445485894555,5.95347801588776e-10,-0.03727726962583006,9.392916836002223e-05,0.00020009627437005129,-7.313622467822858e-07
k16-zero,0.01,0.4544474856176709,0.4547143203956075,0.4545808834279753,2.561095605106699e-05,-2.9430443589494767e-09,0.022160406819093256,4.543649598620353e-06,8.607644188737829e-06,-6.026722724918583e-06
k16-zero,0.02,0.4560133452864137,0.45594802508675475,0.45598068401692693,6.659923863448453e-05,-2.8937487702125083e-10,0.022165684225200065,3.165048588775396e-05,6.149697165635029e-05,1.6575753402623515e-07
k16-zero,0.03,0.45894103486752663,0.45893811233822857,0.4589395736005511,0.00012499725308933728,4.6050420594526693e-10,0.022189543755529693,9.177908372865743e-05,0.0001974160885434284,7.934478129583021e-08
minus005,0.01,0.45740000159948047,0.46761105077281123,0.4624773457928462,-0.0034950835040937446,-3.332306605030229e-09,0.08204335724595052,4.93427875284305e-06,8.876187822207116e-06,-1.499446163612911e-05
minus005,0.02,0.4587008026517247,0.4690201268913782,0.4638317676322866,-0.0034571634310758964,-2.8042964887326966e-09,0.08205106862041513,3.049270989396917e-05,5.885745300418521e-05,-1.7798566301913173e-06
minus005,0.03,0.46177067537781835,0.47216276326819917,0.46693780965200654,-0.0034039109937678315,-4.294796049541752e-10,0.08207919071964885,8.977051071165408e-05,0.00020251579478861026,-5.618809739818717e-07
minus010,0.01,0.4603292389139243,0.4822565006537342,0.4711653296956882,-0.006968720686576912,6.542743238782111e-09,0.14231965522464413,4.836519677279024e-06,8.509921228722073e-06,4.932666478459429e-06
minus010,0.02,0.46244569382992856,0.4832162755905681,0.4727169193453953,-0.006936211040606385,2.8660218405647236e-09,0.1423306668493691,2.9781530631473977e-05,5.6498041991787096e-05,2.7668486008888997e-06
minus010,0.03,0.46574977941018625,0.4862377509605553,0.4758835206757887,-0.006891153906060312,1.3398913382381117e-09,0.1423621005518926,8.663685052357038e-05,0.0001997248266667473,4.578909208473764e-07
plus005,0.01,0.4519026618764255,0.4415984157299241,0.4467208295443413,0.003609267875564032,1.003818032570566e-08,-0.03730692044956511,5.314136759290928e-06,9.842904714438272e-06,-5.324561683772524e-06
plus005,0.02,0.4534635006377261,0.44327171504337237,0.44833864838675064,0.0036505450722603304,2.066969072383345e-09,-0.0373026254367619,3.2343677561874566e-05,6.407536702147248e-05,-1.7695494412958788e-06
plus005,0.03,0.4565797663507459,0.44635074192060253,0.45143628283135506,0.0037172588101264136,5.954132586230553e-10,-0.03727989050864253,9.392952980981177e-05,0.00020009697263925763,-7.315158258920144e-07
