kind,offsetx_invA,offsety_invA,k1,k2,k3
K-local,-0.03,-0.03,0.3182888908232592,0.32769508044746165,0.0
K-local,-0.03,-0.02,0.3182888908232592,0.3320819051610979,0.0
K-local,-0.03,-0.01,0.3182888908232592,0.3364687298747342,0.0
K-local,-0.03,0,0.3182888908232592,0.3408555545883704,0.0
K-local,-0.03,0.01,0.3182888908232592,0.3452423793020067,0.0
K-local,-0.03,0.02,0.3182888908232592,0.34962920401564296,0.0
K-local,-0.03,0.03,0.3182888908232592,0.35401602872927923,0.0
K-local,-0.02,-0.03,0.32330370499328387,0.32518767336244925,0.0
K-local,-0.02,-0.02,0.32330370499328387,0.3295744980760855,0.0
K-local,-0.02,-0.01,0.32330370499328387,0.3339613227897218,0.0
K-local,-0.02,0,0.32330370499328387,0.33834814750335807,0.0
K-local,-0.02,0.01,0.32330370499328387,0.34273497221699434,0.0
K-local,-0.02,0.02,0.32330370499328387,0.3471217969306306,0.0
K-local,-0.02,0.03,0.32330370499328387,0.3515086216442669,0.0
K-local,-0.01,-0.03,0.3283185191633086,0.3226802662774369,0.0
K-local,-0.01,-0.02,0.3283185191633086,0.3270670909910732,0.0
K-local,-0.01,-0.01,0.3283185191633086,0.33145391570470945,0.0
K-local,-0.01,0,0.3283185191633086,0.33584074041834566,0.0
K-local,-0.01,0.01,0.3283185191633086,0.34022756513198193,0.0
K-local,-0.01,0.02,0.3283185191633086,0.3446143898456182,0.0
K-local,-0.01,0.03,0.3283185191633086,0.3490012145592545,0.0
K-local,0,-0.03,0.33333333333333337,0.32017285919242455,0.0
K-local,0,-0.02,0.33333333333333337,0.3245596839060608,0.0
K-local,0,-0.01,0.33333333333333337,0.3289465086196971,0.0
K-local,0,0,0.33333333333333337,0.33333333333333326,0.0
K-local,0,0.01,0.33333333333333337,0.33772015804696953,0.0
K-local,0,0.02,0.33333333333333337,0.3421069827606058,0.0
K-local,0,0.03,0.33333333333333337,0.3464938074742421,0.0
K-local,0.01,-0.03,0.33834814750335807,0.31766545210741215,0.0
K-local,0.01,-0.02,0.33834814750335807,0.3220522768210484,0.0
K-local,0.01,-0.01,0.33834814750335807,0.3264391015346847,0.0
K-local,0.01,0,0.33834814750335807,0.3308259262483209,0.0
K-local,0.01,0.01,0.33834814750335807,0.3352127509619572,0.0
K-local,0.01,0.02,0.33834814750335807,0.33959957567559346,0.0
K-local,0.01,0.03,0.33834814750335807,0.34398640038922973,0.0
K-local,0.02,-0.03,0.3433629616733828,0.3151580450223998,0.0
K-local,0.02,-0.02,0.3433629616733828,0.3195448697360361,0.0
K-local,0.02,-0.01,0.3433629616733828,0.32393169444967235,0.0
K-local,0.02,0,0.3433629616733828,0.32831851916330856,0.0
K-local,0.02,0.01,0.3433629616733828,0.33270534387694484,0.0
K-local,0.02,0.02,0.3433629616733828,0.3370921685905811,0.0
K-local,0.02,0.03,0.3433629616733828,0.3414789933042174,0.0
K-local,0.03,-0.03,0.3483777758434075,0.31265063793738745,0.0
K-local,0.03,-0.02,0.3483777758434075,0.3170374626510237,0.0
K-local,0.03,-0.01,0.3483777758434075,0.32142428736466,0.0
K-local,0.03,0,0.3483777758434075,0.32581111207829616,0.0
K-local,0.03,0.01,0.3483777758434075,0.33019793679193243,0.0
K-local,0.03,0.02,0.3483777758434075,0.3345847615055687,0.0
K-local,0.03,0.03,0.3483777758434075,0.338971586219205,0.0
Gamma,0,0,0.0,0.0,0.0
M,0,0,0.5,0.0,0.0
K-prime,0,0,-0.3333333333333333,-0.3333333333333333,-0.0
Gamma-K1,0.25,0,0.08333333333333333,0.08333333333333333,0.0
Gamma-K1,0.3,0,0.09999999999999999,0.09999999999999999,0.0
Gamma-K1,0.35,0,0.11666666666666665,0.11666666666666665,0.0
Gamma-K1,0.4,0,0.13333333333333333,0.13333333333333333,0.0
Gamma-K1,0.44999999999999996,0,0.14999999999999997,0.14999999999999997,0.0
Gamma-K1,0.5,0,0.16666666666666666,0.16666666666666666,0.0
Gamma-K1,0.55,0,0.18333333333333335,0.18333333333333335,0.0
Gamma-K1,0.6,0,0.19999999999999998,0.19999999999999998,0.0
Gamma-K1,0.6499999999999999,0,0.21666666666666662,0.21666666666666662,0.0
Gamma-K1,0.7,0,0.2333333333333333,0.2333333333333333,0.0
Gamma-K1,0.75,0,0.25,0.25,0.0
Gamma-K1,0.7999999999999999,0,0.2666666666666666,0.2666666666666666,0.0
Gamma-K1,0.85,0,0.2833333333333333,0.2833333333333333,0.0
Gamma-K1,0.8999999999999999,0,0.29999999999999993,0.29999999999999993,0.0
Gamma-K1,0.95,0,0.31666666666666665,0.31666666666666665,0.0
Gamma-K2,0.25,0,-0.16666666666666666,0.08333333333333333,0.0
Gamma-K2,0.3,0,-0.19999999999999998,0.09999999999999999,0.0
Gamma-K2,0.35,0,-0.2333333333333333,0.11666666666666665,0.0
Gamma-K2,0.4,0,-0.26666666666666666,0.13333333333333333,0.0
Gamma-K2,0.44999999999999996,0,-0.29999999999999993,0.14999999999999997,0.0
Gamma-K2,0.5,0,-0.3333333333333333,0.16666666666666666,0.0
Gamma-K2,0.55,0,-0.3666666666666667,0.18333333333333335,0.0
Gamma-K2,0.6,0,-0.39999999999999997,0.19999999999999998,0.0
Gamma-K2,0.6499999999999999,0,-0.43333333333333324,0.21666666666666662,0.0
Gamma-K2,0.7,0,-0.4666666666666666,0.2333333333333333,0.0
Gamma-K2,0.75,0,-0.5,0.25,0.0
Gamma-K2,0.7999999999999999,0,-0.5333333333333332,0.2666666666666666,0.0
Gamma-K2,0.85,0,-0.5666666666666667,0.2833333333333333,0.0
Gamma-K2,0.8999999999999999,0,-0.5999999999999999,0.29999999999999993,0.0
Gamma-K2,0.95,0,-0.6333333333333333,0.31666666666666665,0.0
Gamma-K3,0.25,0,0.08333333333333333,-0.16666666666666666,0.0
Gamma-K3,0.3,0,0.09999999999999999,-0.19999999999999998,0.0
Gamma-K3,0.35,0,0.11666666666666665,-0.2333333333333333,0.0
Gamma-K3,0.4,0,0.13333333333333333,-0.26666666666666666,0.0
Gamma-K3,0.44999999999999996,0,0.14999999999999997,-0.29999999999999993,0.0
Gamma-K3,0.5,0,0.16666666666666666,-0.3333333333333333,0.0
Gamma-K3,0.55,0,0.18333333333333335,-0.3666666666666667,0.0
Gamma-K3,0.6,0,0.19999999999999998,-0.39999999999999997,0.0
Gamma-K3,0.6499999999999999,0,0.21666666666666662,-0.43333333333333324,0.0
