case,z_A,potential_eV
k16-minus005,0.0,4.2991844378741675
k16-minus005,0.07246874995027121,4.299164845676071
k16-minus005,0.14493749990054242,4.299184002491988
k16-minus005,0.21740625037999084,4.299165662017658
k16-minus005,0.2898750003302621,4.2991827371625275
k16-minus005,0.3623437502805333,4.299167253883754
k16-minus005,0.4348125002308045,4.2991807371256385
k16-minus005,0.5072812501810757,4.299169458006039
k16-minus005,0.5797500006605242,4.299178179255331
k16-minus005,0.6522187506107954,4.299172097510505
k16-minus005,0.7246875005610666,4.299175281242697
k16-minus005,0.7971562505113378,4.299174927494675
k16-minus005,0.869625000461609,4.299172274384516
k16-minus005,0.9420937509410574,4.299177703056072
k16-minus005,1.0145625008913286,4.29916941718896
k16-minus005,1.0870312508416,4.299180192897913
k16-minus005,1.1595000007918712,4.299166940952811
k16-minus005,1.2319687507421422,4.299182152117724
k16-minus005,1.3044375012215907,4.299165049761467
k16-minus005,1.376906251171862,4.299183403841491
k16-minus005,1.4493750011221331,4.299163906883246
k16-minus005,1.5218437510724045,4.299183812012284
k16-minus005,1.594312501551853,4.299163607557996
k16-minus005,1.666781251502124,4.299183349418718
k16-minus005,1.7392500014523953,4.2991641653914145
k16-minus005,1.8117187514026665,4.299182002455098
k16-minus005,1.8841875013529374,4.299165525960727
k16-minus005,1.956656251832386,4.299179879966972
k16-minus005,2.029125001782657,4.299167566814695
k16-minus005,2.1015937517329286,4.299177131616961
k16-minus005,2.1740625016832,4.299170083867923
k16-minus005,2.246531251633471,4.299173961490463
k16-minus005,2.3190000021129196,4.299172873035014
k16-minus005,2.3914687520631905,4.299170628095648
k16-minus005,2.463937502013462,4.299175662202104
k16-minus005,2.536406251963733,4.299167389940685
k16-minus005,2.6088750019140043,4.299178179255331
k16-minus005,2.681343752393453,4.299164505533743
k16-minus005,2.753812502343724,4.299180192897913
k16-minus005,2.8262812522939953,4.299162192565912
k16-minus005,2.8987500022442663,4.299181471833067
k16-minus005,2.9712187521945377,4.299160655122589
k16-minus005,3.043687502673986,4.299181880003861
k16-minus005,3.116156252624257,4.2991599748379326
k16-minus005,3.1886250025745286,4.299181322170443
