kind,offsetx_invA,offsety_invA,k1,k2,k3
K-local,-0.03,-0.03,0.31821290879038,0.3277330714639012,0.0
K-local,-0.03,-0.02,0.31821290879038,0.33211989617753745,0.0
K-local,-0.03,-0.01,0.31821290879038,0.3365067208911737,0.0
K-local,-0.03,0,0.31821290879038,0.34089354560480994,0.0
K-local,-0.03,0.01,0.31821290879038,0.3452803703184462,0.0
K-local,-0.03,0.02,0.31821290879038,0.3496671950320825,0.0
K-local,-0.03,0.03,0.31821290879038,0.35405401974571876,0.0
K-local,-0.02,-0.03,0.3232530503046978,0.3252130007067423,0.0
K-local,-0.02,-0.02,0.3232530503046978,0.3295998254203786,0.0
K-local,-0.02,-0.01,0.3232530503046978,0.33398665013401485,0.0
K-local,-0.02,0,0.3232530503046978,0.338373474847651,0.0
K-local,-0.02,0.01,0.3232530503046978,0.3427602995612873,0.0
K-local,-0.02,0.02,0.3232530503046978,0.34714712427492356,0.0
K-local,-0.02,0.03,0.3232530503046978,0.35153394898855983,0.0
K-local,-0.01,-0.03,0.32829319181901556,0.32269292994958343,0.0
K-local,-0.01,-0.02,0.32829319181901556,0.3270797546632197,0.0
K-local,-0.01,-0.01,0.32829319181901556,0.331466579376856,0.0
K-local,-0.01,0,0.32829319181901556,0.33585340409049214,0.0
K-local,-0.01,0.01,0.32829319181901556,0.3402402288041284,0.0
K-local,-0.01,0.02,0.32829319181901556,0.3446270535177647,0.0
K-local,-0.01,0.03,0.32829319181901556,0.34901387823140095,0.0
K-local,0,-0.03,0.33333333333333337,0.3201728591924245,0.0
K-local,0,-0.02,0.33333333333333337,0.32455968390606077,0.0
K-local,0,-0.01,0.33333333333333337,0.32894650861969704,0.0
K-local,0,0,0.33333333333333337,0.33333333333333326,0.0
K-local,0,0.01,0.33333333333333337,0.33772015804696953,0.0
K-local,0,0.02,0.33333333333333337,0.3421069827606058,0.0
K-local,0,0.03,0.33333333333333337,0.3464938074742421,0.0
K-local,0.01,-0.03,0.3383734748476511,0.31765278843526557,0.0
K-local,0.01,-0.02,0.3383734748476511,0.32203961314890184,0.0
K-local,0.01,-0.01,0.3383734748476511,0.3264264378625381,0.0
K-local,0.01,0,0.3383734748476511,0.3308132625761744,0.0
K-local,0.01,0.01,0.3383734748476511,0.33520008728981066,0.0
K-local,0.01,0.02,0.3383734748476511,0.33958691200344693,0.0
K-local,0.01,0.03,0.3383734748476511,0.3439737367170832,0.0
K-local,0.02,-0.03,0.3434136163619689,0.3151327176781067,0.0
K-local,0.02,-0.02,0.3434136163619689,0.31951954239174296,0.0
K-local,0.02,-0.01,0.3434136163619689,0.32390636710537923,0.0
K-local,0.02,0,0.3434136163619689,0.3282931918190155,0.0
K-local,0.02,0.01,0.3434136163619689,0.3326800165326518,0.0
K-local,0.02,0.02,0.3434136163619689,0.33706684124628805,0.0
K-local,0.02,0.03,0.3434136163619689,0.3414536659599243,0.0
K-local,0.03,-0.03,0.3484537578762867,0.3126126469209478,0.0
K-local,0.03,-0.02,0.3484537578762867,0.3169994716345841,0.0
K-local,0.03,-0.01,0.3484537578762867,0.32138629634822036,0.0
K-local,0.03,0,0.3484537578762867,0.3257731210618566,0.0
K-local,0.03,0.01,0.3484537578762867,0.33015994577549285,0.0
K-local,0.03,0.02,0.3484537578762867,0.3345467704891291,0.0
K-local,0.03,0.03,0.3484537578762867,0.3389335952027654,0.0
Gamma,0,0,0.0,0.0,0.0
M,0,0,0.5,0.0,0.0
K-prime,0,0,-0.3333333333333333,-0.3333333333333333,-0.0
Gamma-K1,0.25,0,0.08333333333333333,0.08333333333333333,0.0
Gamma-K1,0.3,0,0.09999999999999999,0.09999999999999999,0.0
Gamma-K1,0.35,0,0.11666666666666665,0.11666666666666665,0.0
Gamma-K1,0.4,0,0.13333333333333333,0.13333333333333333,0.0
Gamma-K1,0.44999999999999996,0,0.14999999999999997,0.14999999999999997,0.0
Gamma-K1,0.5,0,0.16666666666666666,0.16666666666666666,0.0
Gamma-K1,0.55,0,0.18333333333333335,0.18333333333333335,0.0
Gamma-K1,0.6,0,0.19999999999999998,0.19999999999999998,0.0
Gamma-K1,0.6499999999999999,0,0.21666666666666662,0.21666666666666662,0.0
Gamma-K1,0.7,0,0.2333333333333333,0.2333333333333333,0.0
Gamma-K1,0.75,0,0.25,0.25,0.0
Gamma-K1,0.7999999999999999,0,0.2666666666666666,0.2666666666666666,0.0
Gamma-K1,0.85,0,0.2833333333333333,0.2833333333333333,0.0
Gamma-K1,0.8999999999999999,0,0.29999999999999993,0.29999999999999993,0.0
Gamma-K1,0.95,0,0.31666666666666665,0.31666666666666665,0.0
Gamma-K2,0.25,0,-0.16666666666666666,0.08333333333333333,0.0
Gamma-K2,0.3,0,-0.19999999999999998,0.09999999999999999,0.0
Gamma-K2,0.35,0,-0.2333333333333333,0.11666666666666665,0.0
Gamma-K2,0.4,0,-0.26666666666666666,0.13333333333333333,0.0
Gamma-K2,0.44999999999999996,0,-0.29999999999999993,0.14999999999999997,0.0
Gamma-K2,0.5,0,-0.3333333333333333,0.16666666666666666,0.0
Gamma-K2,0.55,0,-0.3666666666666667,0.18333333333333335,0.0
Gamma-K2,0.6,0,-0.39999999999999997,0.19999999999999998,0.0
Gamma-K2,0.6499999999999999,0,-0.43333333333333324,0.21666666666666662,0.0
Gamma-K2,0.7,0,-0.4666666666666666,0.2333333333333333,0.0
Gamma-K2,0.75,0,-0.5,0.25,0.0
Gamma-K2,0.7999999999999999,0,-0.5333333333333332,0.2666666666666666,0.0
Gamma-K2,0.85,0,-0.5666666666666667,0.2833333333333333,0.0
Gamma-K2,0.8999999999999999,0,-0.5999999999999999,0.29999999999999993,0.0
Gamma-K2,0.95,0,-0.6333333333333333,0.31666666666666665,0.0
Gamma-K3,0.25,0,0.08333333333333333,-0.16666666666666666,0.0
Gamma-K3,0.3,0,0.09999999999999999,-0.19999999999999998,0.0
Gamma-K3,0.35,0,0.11666666666666665,-0.2333333333333333,0.0
Gamma-K3,0.4,0,0.13333333333333333,-0.26666666666666666,0.0
Gamma-K3,0.44999999999999996,0,0.14999999999999997,-0.29999999999999993,0.0
Gamma-K3,0.5,0,0.16666666666666666,-0.3333333333333333,0.0
Gamma-K3,0.55,0,0.18333333333333335,-0.3666666666666667,0.0
Gamma-K3,0.6,0,0.19999999999999998,-0.39999999999999997,0.0
Gamma-K3,0.6499999999999999,0,0.21666666666666662,-0.43333333333333324,0.0
Gamma-K3,0.7,0,0.2333333333333333,-0.4666666666666666,0.0
Gamma-K3,0.75,0,0.25,-0.5,0.0
Gamma-K3,0.7999999999999999,0,0.2666666666666666,-0.5333333333333332,0.0
Gamma-K3,0.85,0,0.2833333333333333,-0.5666666666666667,0.0
Gamma-K3,0.8999999999999999,0,0.29999999999999993,-0.5999999999999999,0.0
Gamma-K3,0.95,0,0.31666666666666665,-0.6333333333333333,0.0
