kind,offsetx_invA,offsety_invA,k1,k2,k3
K-local,-0.03,-0.03,0.3181369267575008,0.3277710624803408,0.0
K-local,-0.03,-0.02,0.3181369267575008,0.3321578871939771,0.0
K-local,-0.03,-0.01,0.3181369267575008,0.33654471190761337,0.0
K-local,-0.03,0,0.3181369267575008,0.34093153662124964,0.0
K-local,-0.03,0.01,0.3181369267575008,0.3453183613348859,0.0
K-local,-0.03,0.02,0.3181369267575008,0.3497051860485222,0.0
K-local,-0.03,0.03,0.3181369267575008,0.35409201076215846,0.0
K-local,-0.02,-0.03,0.3232023956161117,0.3252383280510354,0.0
K-local,-0.02,-0.02,0.3232023956161117,0.3296251527646717,0.0
K-local,-0.02,-0.01,0.3232023956161117,0.33401197747830796,0.0
K-local,-0.02,0,0.3232023956161117,0.3383988021919442,0.0
K-local,-0.02,0.01,0.3232023956161117,0.34278562690558045,0.0
K-local,-0.02,0.02,0.3232023956161117,0.3471724516192167,0.0
K-local,-0.02,0.03,0.3232023956161117,0.351559276332853,0.0
K-local,-0.01,-0.03,0.3282678644747225,0.32270559362173,0.0
K-local,-0.01,-0.02,0.3282678644747225,0.3270924183353663,0.0
K-local,-0.01,-0.01,0.3282678644747225,0.33147924304900256,0.0
K-local,-0.01,0,0.3282678644747225,0.3358660677626388,0.0
K-local,-0.01,0.01,0.3282678644747225,0.34025289247627505,0.0
K-local,-0.01,0.02,0.3282678644747225,0.3446397171899113,0.0
K-local,-0.01,0.03,0.3282678644747225,0.3490265419035476,0.0
K-local,0,-0.03,0.3333333333333333,0.32017285919242455,0.0
K-local,0,-0.02,0.3333333333333333,0.3245596839060608,0.0
K-local,0,-0.01,0.3333333333333333,0.3289465086196971,0.0
K-local,0,0,0.3333333333333333,0.33333333333333337,0.0
K-local,0,0.01,0.3333333333333333,0.33772015804696964,0.0
K-local,0,0.02,0.3333333333333333,0.3421069827606059,0.0
K-local,0,0.03,0.3333333333333333,0.3464938074742422,0.0
K-local,0.01,-0.03,0.3383988021919442,0.31764012476311915,0.0
K-local,0.01,-0.02,0.3383988021919442,0.3220269494767554,0.0
K-local,0.01,-0.01,0.3383988021919442,0.3264137741903917,0.0
K-local,0.01,0,0.3383988021919442,0.3308005989040279,0.0
K-local,0.01,0.01,0.3383988021919442,0.3351874236176642,0.0
K-local,0.01,0.02,0.3383988021919442,0.33957424833130045,0.0
K-local,0.01,0.03,0.3383988021919442,0.3439610730449367,0.0
K-local,0.02,-0.03,0.343464271050555,0.31510739033381374,0.0
K-local,0.02,-0.02,0.343464271050555,0.31949421504745,0.0
K-local,0.02,-0.01,0.343464271050555,0.3238810397610863,0.0
K-local,0.02,0,0.343464271050555,0.3282678644747225,0.0
K-local,0.02,0.01,0.343464271050555,0.3326546891883588,0.0
K-local,0.02,0.02,0.343464271050555,0.33704151390199505,0.0
K-local,0.02,0.03,0.343464271050555,0.3414283386156313,0.0
K-local,0.03,-0.03,0.3485297399091658,0.3125746559045083,0.0
K-local,0.03,-0.02,0.3485297399091658,0.31696148061814455,0.0
K-local,0.03,-0.01,0.3485297399091658,0.3213483053317808,0.0
K-local,0.03,0,0.3485297399091658,0.3257351300454171,0.0
K-local,0.03,0.01,0.3485297399091658,0.33012195475905337,0.0
K-local,0.03,0.02,0.3485297399091658,0.33450877947268964,0.0
K-local,0.03,0.03,0.3485297399091658,0.3388956041863259,0.0
Gamma,0,0,0.0,0.0,0.0
M,0,0,0.5,0.0,0.0
K-prime,0,0,-0.3333333333333333,-0.3333333333333333,-0.0
Gamma-K1,0.25,0,0.08333333333333333,0.08333333333333333,0.0
Gamma-K1,0.3,0,0.09999999999999999,0.09999999999999999,0.0
Gamma-K1,0.35,0,0.11666666666666665,0.11666666666666665,0.0
Gamma-K1,0.4,0,0.13333333333333333,0.13333333333333333,0.0
Gamma-K1,0.44999999999999996,0,0.14999999999999997,0.14999999999999997,0.0
Gamma-K1,0.5,0,0.16666666666666666,0.16666666666666666,0.0
Gamma-K1,0.55,0,0.18333333333333335,0.18333333333333335,0.0
Gamma-K1,0.6,0,0.19999999999999998,0.19999999999999998,0.0
Gamma-K1,0.6499999999999999,0,0.21666666666666662,0.21666666666666662,0.0
Gamma-K1,0.7,0,0.2333333333333333,0.2333333333333333,0.0
Gamma-K1,0.75,0,0.25,0.25,0.0
Gamma-K1,0.7999999999999999,0,0.2666666666666666,0.2666666666666666,0.0
Gamma-K1,0.85,0,0.2833333333333333,0.2833333333333333,0.0
Gamma-K1,0.8999999999999999,0,0.29999999999999993,0.29999999999999993,0.0
Gamma-K1,0.95,0,0.31666666666666665,0.31666666666666665,0.0
Gamma-K2,0.25,0,-0.16666666666666666,0.08333333333333333,0.0
Gamma-K2,0.3,0,-0.19999999999999998,0.09999999999999999,0.0
Gamma-K2,0.35,0,-0.2333333333333333,0.11666666666666665,0.0
Gamma-K2,0.4,0,-0.26666666666666666,0.13333333333333333,0.0
Gamma-K2,0.44999999999999996,0,-0.29999999999999993,0.14999999999999997,0.0
Gamma-K2,0.5,0,-0.3333333333333333,0.16666666666666666,0.0
Gamma-K2,0.55,0,-0.3666666666666667,0.18333333333333335,0.0
Gamma-K2,0.6,0,-0.39999999999999997,0.19999999999999998,0.0
Gamma-K2,0.6499999999999999,0,-0.43333333333333324,0.21666666666666662,0.0
Gamma-K2,0.7,0,-0.4666666666666666,0.2333333333333333,0.0
Gamma-K2,0.75,0,-0.5,0.25,0.0
Gamma-K2,0.7999999999999999,0,-0.5333333333333332,0.2666666666666666,0.0
Gamma-K2,0.85,0,-0.5666666666666667,0.2833333333333333,0.0
Gamma-K2,0.8999999999999999,0,-0.5999999999999999,0.29999999999999993,0.0
Gamma-K2,0.95,0,-0.6333333333333333,0.31666666666666665,0.0
Gamma-K3,0.25,0,0.08333333333333333,-0.16666666666666666,0.0
Gamma-K3,0.3,0,0.09999999999999999,-0.19999999999999998,0.0
Gamma-K3,0.35,0,0.11666666666666665,-0.2333333333333333,0.0
Gamma-K3,0.4,0,0.13333333333333333,-0.26666666666666666,0.0
Gamma-K3,0.44999999999999996,0,0.14999999999999997,-0.29999999999999993,0.0
Gamma-K3,0.5,0,0.16666666666666666,-0.3333333333333333,0.0
Gamma-K3,0.55,0,0.18333333333333335,-0.3666666666666667,0.0
Gamma-K3,0.6,0,0.19999999999999998,-0.39999999999999997,0.0
Gamma-K3,0.6499999999999999,0,0.21666666666666662,-0.43333333333333324,0.0
Gamma-K3,0.7,0,0.2333333333333333,-0.4666666666666666,0.0
Gamma-K3,0.75,0,0.25,-0.5,0.0
Gamma-K3,0.7999999999999999,0,0.2666666666666666,-0.5333333333333332,0.0
Gamma-K3,0.85,0,0.2833333333333333,-0.5666666666666667,0.0
Gamma-K3,0.8999999999999999,0,0.29999999999999993,-0.5999999999999999,0.0
Gamma-K3,0.95,0,0.31666666666666665,-0.6333333333333333,0.0
