parameter,directory,setting,energy_Ry_per_cell,delta_meV_per_atom_vs_last
ecutwfc,cutoff40,40,-22.83848017,0.9005608278120207
ecutwfc,cutoff50,50,-22.83857229,0.27388260258107094
ecutwfc,cutoff60,60,-22.8385923,0.13775764288503814
ecutwfc,cutoff70,70,-22.83860349,0.06163378984719802
ecutwfc,cutoff80,80,-22.83861255,0.0
ecutrho,rho320,320,-22.83858862,0.02503447533917406
ecutrho,rho480,480,-22.83859183,0.0031973378825982863
ecutrho,scf,640,-22.8385923,0.0
kmesh,k4,4,-22.82483572,95.53666005643443
kmesh,k6,6,-22.83709393,12.145938307810102
kmesh,k8,8,-22.8385923,1.9527571054826973
kmesh,k10,10,-22.83882782,0.35055068331635475
kmesh,k12,12,-22.83887072,0.05870856582540585
kmesh,k14,14,-22.83887935,0.0
