asr,mode,frequency_cm-1,displacement_norm,same_displacement_residual,opposite_displacement_residual,translation_fraction
no,1,-5.586079,1.0000003094489522,0.0,1.414213562373095,1.0
no,2,-5.586079,1.0000003094489522,0.0,1.414213562373095,1.0
no,3,-5.586079,1.0000003094489522,0.0,1.414213562373095,1.0
no,4,523.722542,1.0000003094489522,1.414213562373095,0.0,0.0
no,5,523.722542,1.0000003094489522,1.414213562373095,0.0,0.0
no,6,523.722542,1.0000003094489522,1.414213562373095,0.0,0.0
crystal,1,-9e-06,0.9999997696219735,0.0,1.414213562373095,1.0
crystal,2,-1e-06,1.0000004353459053,0.0,1.4142135623730951,0.9999999999999998
crystal,3,8e-06,0.9999998779369925,0.0,1.4142135623730951,1.0
crystal,4,523.722542,1.0000003094489522,1.414213562373095,0.0,0.0
crystal,5,523.722542,1.0000003094489522,1.414213562373095,0.0,0.0
crystal,6,523.722542,1.0000003094489522,1.414213562373095,0.0,0.0
