asr,mode,atom,x_angstrom,y_angstrom,z_angstrom,ux_real,uy_real,uz_real,ux_imag,uy_imag,uz_imag
no,1,1,0.0,0.0,0.0,0.0,-0.707107,0.0,0.0,0.0,0.0
no,1,2,1.34940188780265,1.34940188780265,1.34940188780265,0.0,-0.707107,0.0,0.0,0.0,0.0
no,2,1,0.0,0.0,0.0,-0.707107,0.0,0.0,0.0,0.0,0.0
no,2,2,1.34940188780265,1.34940188780265,1.34940188780265,-0.707107,0.0,0.0,0.0,0.0,0.0
no,3,1,0.0,0.0,0.0,0.0,0.0,-0.707107,0.0,0.0,0.0
no,3,2,1.34940188780265,1.34940188780265,1.34940188780265,0.0,0.0,-0.707107,0.0,0.0,0.0
no,4,1,0.0,0.0,0.0,0.0,0.707107,0.0,0.0,0.0,0.0
no,4,2,1.34940188780265,1.34940188780265,1.34940188780265,0.0,-0.707107,0.0,0.0,0.0,0.0
no,5,1,0.0,0.0,0.0,0.0,0.0,-0.707107,0.0,0.0,0.0
no,5,2,1.34940188780265,1.34940188780265,1.34940188780265,0.0,0.0,0.707107,0.0,0.0,0.0
no,6,1,0.0,0.0,0.0,-0.707107,0.0,0.0,0.0,0.0,0.0
no,6,2,1.34940188780265,1.34940188780265,1.34940188780265,0.707107,0.0,0.0,0.0,0.0,0.0
crystal,1,1,0.0,0.0,0.0,0.306717,-9.3e-05,0.637122,0.0,0.0,0.0
crystal,1,2,1.34940188780265,1.34940188780265,1.34940188780265,0.306717,-9.3e-05,0.637122,0.0,0.0,0.0
crystal,2,1,0.0,0.0,0.0,-0.000349,-0.707107,6.4e-05,0.0,0.0,0.0
crystal,2,2,1.34940188780265,1.34940188780265,1.34940188780265,-0.000349,-0.707107,6.4e-05,0.0,0.0,0.0
crystal,3,1,0.0,0.0,0.0,-0.637122,0.000342,0.306717,0.0,0.0,0.0
crystal,3,2,1.34940188780265,1.34940188780265,1.34940188780265,-0.637122,0.000342,0.306717,0.0,0.0,0.0
crystal,4,1,0.0,0.0,0.0,0.707107,0.0,0.0,0.0,0.0,0.0
crystal,4,2,1.34940188780265,1.34940188780265,1.34940188780265,-0.707107,0.0,0.0,0.0,0.0,0.0
crystal,5,1,0.0,0.0,0.0,0.0,0.707107,0.0,0.0,0.0,0.0
crystal,5,2,1.34940188780265,1.34940188780265,1.34940188780265,0.0,-0.707107,0.0,0.0,0.0,0.0
crystal,6,1,0.0,0.0,0.0,0.0,0.0,-0.707107,0.0,0.0,0.0
crystal,6,2,1.34940188780265,1.34940188780265,1.34940188780265,0.0,0.0,0.707107,0.0,0.0,0.0
