directory,direction,window_inv_A,points,mass_over_me,curvature_eVA2,minimum_k_inv_A,rms_residual_meV
mass,longitudinal,0.01,7,0.9564550854747157,7.966881401992564,0.9828411703552794,0.00021245759702422803
mass,longitudinal,0.02,13,0.9559041357142399,7.971473234202691,0.9828241203200428,0.0008655800553457263
mass,longitudinal,0.03,21,0.955576556263134,7.974205920358971,0.9827881580884817,0.0036125283432944474
mass-k14,longitudinal-k14,0.01,7,0.9564540184400646,7.966890289966636,0.9828403803878617,0.0002124560549308204
mass-k14,longitudinal-k14,0.02,13,0.9559030786628734,7.971482049172392,0.9828233308715539,0.0008655772100773513
mass-k14,longitudinal-k14,0.03,21,0.9555755006143203,7.974214729669187,0.9827873691015268,0.0036125140092056088
mass-transverse,transverse-y,0.01,7,0.19176939442647994,39.7350383000299,-4.644927836171992e-14,7.000582469058713e-05
mass-transverse,transverse-y,0.02,13,0.19193549503039956,39.70065167520389,-3.1910700791274674e-14,0.000712037732814097
mass-transverse,transverse-y,0.03,21,0.1923202359558888,39.621229635229135,-4.441486177969885e-15,0.005180953246498099
mass-transverse,transverse-z,0.01,7,0.19176939441751406,39.73503830188765,-1.2192935569381419e-13,7.000580358315358e-05
mass-transverse,transverse-z,0.02,13,0.19193549503157215,39.70065167496135,-4.558671541638518e-15,0.0007120377563038549
mass-transverse,transverse-z,0.03,21,0.19232023595565356,39.621229635277594,-9.993343900420019e-15,0.005180953239584169
