ik,primitive_bands,supercell_bands,expected_weight,measured_weight,primitive_mean_eV,supercell_weighted_mean_eV,delta_eV,weight_error
1,1,1,1,0.9999999999872544,-5.82123222368853,-5.821232352449497,-1.287609672218082e-07,-1.2745582367301722e-11
1,2;3;4,6;7;8,3,2.999999999896197,6.230001316991763,6.230001132135171,-1.8485659225575546e-07,-1.0380318826719304e-10
1,5;6;7,10;11;12,3,2.9999999999468074,8.800090632058241,8.800090533341598,-9.87166437482756e-08,-5.319256146663065e-11
1,8,15,1,0.9999999998933548,9.703462965209322,9.7034627760247,-1.8918462174610795e-07,-1.0664524818793097e-10
2,1,1,1,0.9999999999874454,-5.790330875859524,-5.790331004863443,-1.2900391865855454e-07,-1.2554624007066195e-11
2,2,6,1,0.9999999997189746,6.036925400886349,6.036925215442809,-1.854435405235222e-07,-2.810254251528477e-10
2,3;4,7;8,2,1.9999999997105289,6.102004066968467,6.102003887898608,-1.790698593850948e-07,-2.8947111374577617e-10
2,5,10,1,0.9999999998653772,8.72159649143882,8.721596393007413,-9.843140702514575e-08,-1.3462275738618246e-10
2,6;7,11;12,2,1.999999999443745,8.965205660350595,8.965205557137264,-1.0321333121510179e-07,-5.562550420279422e-10
2,8,15,1,0.9999999982877749,9.889637820592558,9.889637630776502,-1.898160562063822e-07,-1.7122251394496857e-09
3,1,1,1,0.9999999999869505,-5.6977977434801135,-5.697797872975509,-1.2949539573980928e-07,-1.3049450409141627e-11
3,2,6,1,0.9999999999011274,5.552785771982105,5.552785587437779,-1.8454432559877887e-07,-9.887257679253025e-11
3,3;4,7;8,2,1.9999999998713078,5.791137056260271,5.791136887262718,-1.689975528407217e-07,-1.286921680332398e-10
3,5,10,1,0.9999999954287208,8.510724967248867,8.510724877467474,-8.978139298676524e-08,-4.571279244025561e-09
3,6;7,11;12,2,1.999999977487536,9.38683130255179,9.38683119020819,-1.1234360108858255e-07,-2.251246389306516e-08
3,8,15,1,0.9999999998129595,10.32014022698413,10.320140039909687,-1.870744430476634e-07,-1.870404942039272e-10
4,1,1,1,0.9999999999825859,-5.543978996938192,-5.543979127192994,-1.302548024995076e-07,-1.7414070185850505e-11
4,2,5,1,0.9999971997101672,4.920507985645324,4.920507877021082,-1.0862424204560739e-07,-2.8002898327939008e-06
4,3;4,7;8,2,1.9999999986984096,5.407545244048739,5.407545083322032,-1.607267074987817e-07,-1.3015903910229554e-09
4,5,9,1,0.9999999999706422,8.220544365122809,8.22054428055607,-8.45667393889471e-08,-2.935784948476794e-11
4,6;7,12;13,2,1.999999999210341,9.953382579997502,9.953382455981417,-1.2401608451284574e-07,-7.896590048517282e-10
4,8,15,1,0.9999999998256935,10.685938214401373,10.685938051209854,-1.6319151896482254e-07,-1.743064581560816e-10
5,1,1,1,0.9999999999939968,-5.32939071455714,-5.32939084602654,-1.3146939981112382e-07,-6.0031979387531464e-12
5,2,5,1,0.999999996113069,4.220426675877731,4.220426496709763,-1.7916796846151328e-07,-3.8869309992861645e-09
5,3;4,7;8,2,1.999999999988764,5.01462637053564,5.014626216414892,-1.541207481636775e-07,-1.1235901098416434e-11
5,5,9,1,0.9999999999296851,7.901437091342597,7.9014370126440685,-7.869852858277682e-08,-7.031486504160966e-11
5,6,13,1,0.9999999529933006,10.541310574515865,10.541310462327784,-1.1218808104729305e-07,-4.7006699421814346e-08
5,7;8,14;15,2,1.9999999841604472,10.599387695099205,10.599387562193975,-1.3290522993258946e-07,-1.5839552780505528e-08
6,1,1,1,0.9999999999880674,-5.054991824144086,-5.0549919570310715,-1.328869858596704e-07,-1.193256604636872e-11
6,2,5,1,0.999999999560529,3.4881414490709006,3.4881412685822824,-1.8048861827324458e-07,-4.3947101513452935e-10
6,3;4,6;7,2,1.999999999901918,4.642393421770677,4.6423932730087065,-1.4876197074187303e-07,-9.808198697669468e-11
6,5,9,1,0.999999999966787,7.589180755547528,7.589180682802299,-7.274522939582084e-08,-3.321298791547633e-11
6,6,11,1,0.9999999996980672,9.972204127667245,9.972204057196043,-7.047120220704528e-08,-3.0193281208568123e-10
6,7;8,14;15,2,1.9999999989639696,11.292582939388385,11.292582804090797,-1.3529758824404325e-07,-1.0360303726031361e-09
7,1,1,1,0.9999999999426035,-4.721880414499071,-4.721880548939719,-1.344406479475424e-07,-5.739653197167627e-11
7,2,5,1,0.999999999902513,2.7405751802037104,2.740575001501778,-1.7870193236291243e-07,-9.748701845779806e-11
7,3;4,6;7,2,1.9999999998209415,4.305834380240775,4.305834235290499,-1.4495027578220743e-07,-1.7905854576838465e-10
7,5,9,1,0.9999999998985051,7.307248348513386,7.3072482803008,-6.821258580202993e-08,-1.0149492357669487e-10
7,6,11,1,0.999999999906518,9.317000004200937,9.31699994923022,-5.4970715979152374e-08,-9.348199991876527e-11
7,7;8,14;15,2,1.9999999998004445,12.016327150872097,12.016327012091434,-1.3878066340566875e-07,-1.995554832490143e-10
8,1,1,1,0.9999999999997938,-4.331627463821371,-4.331627600925521,-1.3710415025514067e-07,-2.0616841567289157e-13
8,2,4,1,0.999999999855572,1.9870470094581014,1.9870468339645997,-1.7549350173062805e-07,-1.4442802509506691e-10
8,3;4,6;7,2,1.999999999924158,4.013103349087868,4.013103207132467,-1.419554012116464e-07,-7.584199934740354e-11
8,5,9,1,0.9999999999148195,7.070835040677657,7.070834977133897,-6.354375958750325e-08,-8.518052929673559e-11
8,6,11,1,0.9999999999320895,8.697550570216382,8.697550522760059,-4.745632331548677e-08,-6.791045503717896e-11
8,7;8,14;15,2,1.9999999999071765,12.76139451411745,12.761394372752353,-1.4136509740581005e-07,-9.282352664286009e-11
9,1,1,1,0.9999999999997907,-3.8860949443730317,-3.8860950839584905,-1.39585458747149e-07,-2.09277040141842e-13
9,2,4,1,0.9999999999999593,1.2353947453996552,1.2353945735330003,-1.7186665490775965e-07,-4.0745185003743245e-14
9,3;4,6;7,2,1.999999999999917,3.7690993410729097,3.7690992012261297,-1.398467799340608e-07,-8.304468224196171e-14
9,5,9,1,0.9999999999999086,6.890399309347363,6.890399248220116,-6.112724726392571e-08,-9.137135492665038e-14
9,6,10,1,0.9999999999994547,8.152073845550232,8.152073802770419,-4.2779813469451256e-08,-5.453415496958769e-13
9,7;8,15;16,2,1.9999999999320903,13.523263337448046,13.523263195018716,-1.4242933055186313e-07,-6.790967788106173e-11
10,1,2,1,0.9999999999995681,-3.387748157797478,-3.3877483003966797,-1.4259920178005814e-07,-4.318767565791859e-13
10,2,4,1,0.9999999999996136,0.49259200048709056,0.49259183289478553,-1.675923050337147e-07,-3.863576125695545e-13
10,3;4,5;6,2,1.999999999954741,3.576857266610342,3.5768571287255257,-1.3788481645349293e-07,-4.525890773265928e-11
10,5,9,1,0.9999999999292162,6.773378342801951,6.773378285969899,-5.683205195339269e-08,-7.078382324721133e-11
10,6,10,1,0.9999999999573427,7.69375968106254,7.693759638429493,-4.263304642648791e-08,-4.265732211905515e-11
10,7;8,15;16,2,1.9999989298450456,14.2989868218603,14.298986702378741,-1.1948155886898348e-07,-1.0701549544300804e-06
11,1,2,1,0.9999999999998576,-2.839651215644604,-2.8396513616738006,-1.460291967347871e-07,-1.4244161405940758e-13
11,2,4,1,0.9999999999901839,-0.233842806625508,-0.2338429692457589,-1.6262025090418852e-07,-9.816147894525784e-12
11,3;4,5;6,2,1.9999999997921956,3.4383511092268866,3.438350972257273,-1.369696134290166e-07,-2.078044403219792e-10
11,5,9,1,0.9999999997068316,6.725853132188529,6.725853078899911,-5.328861796272122e-08,-2.9316837846238286e-10
11,6,10,1,0.9999999999089804,7.326277614108961,7.326277570900783,-4.320817836855895e-08,-9.101963627244913e-11
11,7;8,15;16,2,1.9999999993218895,15.08454294306192,15.084542800330587,-1.4273133253084325e-07,-6.781104566755403e-10
12,1,2,1,0.9999999998441255,-2.2453154025822557,-2.2453155511414784,-1.485592227012944e-07,-1.5587453550125474e-10
12,2,3,1,0.9999999999878746,-0.9367128918824685,-0.9367130510755656,-1.5919309703793516e-07,-1.212541178574611e-11
12,3;4,5;6,2,1.9999999996247393,3.354801999094863,3.3548018629357044,-1.36159158614646e-07,-3.752607113938211e-10
12,5,9,1,0.9999999996721287,6.752930334341847,6.752930284522982,-4.981886458921281e-08,-3.2787128567690615e-10
12,6,10,1,0.999999999827861,7.049104325003096,7.049104280512719,-4.44903776042338e-08,-1.721389697451059e-10
12,7;8,15;16,2,1.9999999815653908,15.859689538666036,15.859689399877151,-1.387888843851215e-07,-1.8434609172501837e-08
13,1;2,2;3,2,1.9999999996389541,-1.6092434057757976,-1.6092435600816146,-1.5430581701281199e-07,-3.6104585987573046e-10
13,3;4,5;6,2,1.9999999999808433,3.326878585466945,3.326878449388771,-1.3607817406224854e-07,-1.915667624530215e-11
13,5;6,9;10,2,1.9999999984641632,6.859227394842183,6.859227348468151,-4.637403172580434e-08,-1.535836791077827e-09
13,7;8,15;16,2,1.9999999966555713,16.384354685710086,16.38435454667337,-1.3903671458592726e-07,-3.344428733953464e-09
14,1;2,2;3,2,1.999999999996581,-1.598384950048375,-1.5983851045185231,-1.544701480060695e-07,-3.419042826635632e-12
14,3;4,5;6,2,1.9999999999669373,3.2335634901850647,3.2335633584817853,-1.3170327939349136e-07,-3.306266371794209e-11
14,5;6,9;10,2,1.9999999981968202,7.029055518903146,7.0290554682453585,-5.065778729829162e-08,-1.8031798276751942e-09
14,7;8,15;16,2,1.99999917607375,16.06762282012746,16.06762270442555,-1.1570191205123592e-07,-8.239262498932476e-07
15,1;2,2;3,2,1.9999999999997686,-1.5680216726166878,-1.568021828362282,-1.5574559419917477e-07,-2.313704783318826e-13
15,3;4,5;6,2,1.9999999998017337,3.004968469859981,3.0049683476072837,-1.2225269729881916e-07,-1.9826629227281956e-10
15,5;6,9;10,2,1.999999998020171,7.488560921431093,7.4885608614049035,-6.002618935241344e-08,-1.9798289674355374e-09
15,7;8,15;16,2,1.9999990977647482,15.16648729775168,15.166487188143163,-1.0960851604124855e-07,-9.022352518428534e-07
16,1;2,2;3,2,1.999999998875654,-1.5247449220025882,-1.5247450788290322,-1.5682644405323742e-07,-1.1243459496768082e-09
16,3;4,5;6,2,1.999999999736238,2.735201941473141,2.7352018285334365,-1.1293970469949954e-07,-2.6376190120913634e-10
16,5;6,9;10,2,1.9999999998109685,8.14715217221364,8.147152101507748,-7.070589269631e-08,-1.890314571539875e-10
16,7;8,14;15,2,1.9999933460396173,14.092369452492493,14.092369383537774,-6.895471926782193e-08,-6.653960382685398e-06
17,1;2,2;3,2,1.999999999732883,-1.4791393231679923,-1.479139483067024,-1.5989903157098695e-07,-2.6711699518955356e-10
17,3;4,5;6,2,1.9999999997463167,2.4970046794923055,2.4970045739266307,-1.0556567486830204e-07,-2.5368329659158917e-10
17,5;6,10;11,2,1.999999999812324,8.935662137821268,8.935662058915334,-7.890593423098835e-08,-1.876760968855251e-10
17,7;8,14;15,2,1.9999999949065725,13.005110964742528,13.005110852781382,-1.1196114613198915e-07,-5.093427457580901e-09
18,1;2,2;3,2,1.9999999999635014,-1.4440738011258112,-1.444073962397254,-1.6127144286670614e-07,-3.649858193455202e-11
18,3;4,5;6,2,1.999999999870695,2.336346384130937,2.3363462832036657,-1.0092727142918534e-07,-1.2930501114283288e-10
18,5;6,10;11,2,1.9999999989345487,9.797530709424894,9.797530625384763,-8.404013129847954e-08,-1.0654512827557028e-09
18,7;8,14;15,2,1.9999999980356225,11.965889301588762,11.96588919383114,-1.0775762149251022e-07,-1.9643775495126192e-09
19,1;2,2;3,2,1.9999999999143672,-1.4309030911272274,-1.4309032529819108,-1.6185468343365983e-07,-8.563283415696787e-11
19,3;4,5;6,2,1.999999999952227,2.279783018843607,2.2797829195469124,-9.929669442243494e-08,-4.7772896749620486e-11
19,5;6,10;11,2,1.9999999979222252,10.4450379894012,10.44503790723377,-8.216743019318073e-08,-2.077774841069413e-09
19,7;8,13;14,2,1.9999998910551917,11.259532248082765,11.259532139869817,-1.0821294793572633e-07,-1.0894480828582687e-07
20,1,2,1,0.9999999999257116,-1.7976241500828374,-1.7976243119285016,-1.6184566420385238e-07,-7.42883532467431e-11
20,2,3,1,0.9999999998598291,-1.0833079652033866,-1.0833081265880047,-1.61384618113658e-07,-1.4017087490714175e-10
20,3,5;6,1,0.9999999999691975,2.058862538566989,2.058863129913343,5.913463536622032e-07,-3.080247168441019e-11
20,4,7,1,0.999999999874051,2.6027426531141598,2.6027425470270016,-1.0608715816928793e-07,-1.2594902898399596e-10
20,5,10,1,0.999999999903968,10.11147868341833,10.111478599357529,-8.40608009866628e-08,-9.603196016172433e-11
20,6,11,1,0.9999999997157082,10.468122939627522,10.468122845619433,-9.40080884248573e-08,-2.8429181231359735e-10
20,7,12,1,0.9999999989729057,11.260607495010623,11.26060739485241,-1.0015821239051093e-07,-1.0270942985002307e-09
20,8,14,1,0.999999996501412,11.680410052722754,11.68040994440535,-1.0831740482331043e-07,-3.498587974881673e-09
21,1,2,1,0.9999999998810386,-2.1521658338971767,-2.152165992893133,-1.58995956400787e-07,-1.1896139628930769e-10
21,2,3,1,0.9999999999387501,-0.8035914993840327,-0.8035916570048449,-1.576208121800704e-07,-6.124989404554526e-11
21,3,6,1,0.9999999999239925,1.993377769143748,1.9933776719559875,-9.71877605060456e-08,-7.600753360037515e-11
21,4,7,1,0.9999999999535474,2.9879597978508867,2.9879596839492595,-1.1390162724111974e-07,-4.645261952873625e-11
21,5,10,1,0.999999999760322,9.788762069875101,9.788761992113905,-7.776119659297365e-08,-2.3967805518054774e-10
21,6,11,1,0.9999999999313152,10.141747680201037,10.141747577498418,-1.0270261974199002e-07,-6.868483559685501e-11
21,7,12,1,0.9999999985191721,11.71972048111278,11.719720384096748,-9.701603254086422e-08,-1.4808279047429096e-09
21,8,14,1,0.9999995770950789,12.203081218240342,12.203081082096274,-1.361440684632953e-07,-4.2290492108243427e-07
22,1,2,1,0.9999999999168204,-2.4765728608235595,-2.4765730189970934,-1.5817353382630017e-07,-8.317957433945367e-11
22,2,3,1,0.999999999979956,-0.6404640808599701,-0.6404642287099871,-1.4785001700712286e-07,-2.0043966486582576e-11
22,3,6,1,0.9999999998859126,2.1336173809532446,2.133617275605234,-1.0534801075934297e-07,-1.1408740618890079e-10
22,4,7,1,0.9999999999261101,3.404702079529584,3.4047019567085215,-1.228210626535997e-07,-7.388989420320513e-11
22,5,10,1,0.9999999999010818,9.533530685069577,9.533530609314036,-7.575554050731625e-08,-9.891820695884235e-11
22,6,11,1,0.9999999999499637,9.788430068567259,9.788429963263564,-1.0530369465300282e-07,-5.003630842992379e-11
22,7,13,1,0.999999999629739,12.309861418743496,12.309861320948439,-9.779505738549688e-08,-3.7026104404702664e-10
22,8,15,1,0.9999999969116077,12.769830050096084,12.76982994308136,-1.0701472419327729e-07,-3.0883923196611818e-09
23,1,1,1,0.9999999999501826,-2.7605636086399588,-2.760563765276657,-1.566366982785894e-07,-4.981737244946771e-11
23,2,4,1,0.999999999763753,-0.5992985499718174,-0.5992986869916099,-1.3701979251212748e-07,-2.3624702194524616e-10
23,3,6,1,0.999999999994325,2.48322718936276,2.483227072003652,-1.1735910820931394e-07,-5.67501601267395e-12
23,4,7,1,0.9999999816297415,3.824567121498037,3.8245669898104246,-1.3168761237025706e-07,-1.8370258536570816e-08
23,5,10,1,0.9999999994416824,9.3632103588685,9.363210275897302,-8.29711979122294e-08,-5.583176143630908e-10
23,6,11,1,0.9999999995222731,9.458204157086875,9.45820406093508,-9.615179585864553e-08,-4.777268580724581e-10
23,7,13,1,0.9999999994995297,12.691645479975998,12.691645357306918,-1.2266908022695588e-07,-5.004703318434167e-10
23,8,14,1,0.9999999942723903,12.977324176809297,12.977324077377933,-9.943136447532197e-08,-5.727609719841098e-09
24,1,1,1,0.9999999999627168,-2.9982278573391534,-2.9982280129290215,-1.555898681004919e-07,-3.728317654605462e-11
24,2,4,1,0.9999999999297505,-0.6369372981997666,-0.6369374254076092,-1.272078425929024e-07,-7.024947290545924e-11
