path_index,k1,k2,k3,distance_Ainv,E1_eV,E2_eV,E3_eV,E4_eV,E1_minus_VBM_eV,E2_minus_VBM_eV,E3_minus_VBM_eV,E4_minus_VBM_eV
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.699221902655864369e+00,6.386039243275392074e+00,6.386039243047184399e+00,6.386039243384316499e+00,-1.208526114604018176e+01,-1.089244250351839582e-10,-3.371321000145144353e-10,0.000000000000000000e+00
1.300000000000000000e+01,8.125000000000000278e-02,0.000000000000000000e+00,8.125000000000000278e-02,1.891611435674999953e-01,-5.581914630260382815e+00,5.734847763839748147e+00,5.964550885568238314e+00,5.964550885430478289e+00,-1.196795387364469931e+01,-6.511914795445683524e-01,-4.214883578160781852e-01,-4.214883579538382108e-01
3.100000000000000000e+01,1.937500000000000056e-01,0.000000000000000000e+00,1.937500000000000056e-01,4.510765731224999908e-01,-5.035976096019914472e+00,3.886066322531905204e+00,4.925010517640100005e+00,4.925010517678266808e+00,-1.142201533940423097e+01,-2.499972920852411296e+00,-1.461028725744216494e+00,-1.461028725706049691e+00
5.700000000000000000e+01,3.562500000000000111e-01,0.000000000000000000e+00,3.562500000000000111e-01,8.293988602574999813e-01,-3.497383466632664195e+00,9.485715807382726350e-01,3.815165184087663253e+00,3.815165184134488019e+00,-9.883422710016979806e+00,-5.437467662646043642e+00,-2.570874059296653247e+00,-2.570874059249828480e+00
8.000000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,1.164068575800000005e+00,-1.488951635064533097e+00,-1.488951488451730532e+00,3.486350821256141153e+00,3.486350820937171857e+00,-7.874990878448850040e+00,-7.874990731836047253e+00,-2.899688422128175347e+00,-2.899688422447144642e+00
9.500000000000000000e+01,5.000000000000000000e-01,9.375000000000000000e-02,5.937500000000000000e-01,1.382331433725000114e+00,-1.439437845788311021e+00,-1.439437757048583899e+00,3.105181584590884558e+00,3.105181585773529207e+00,-7.825477089172627743e+00,-7.825477000432900176e+00,-3.280857658793431941e+00,-3.280857657610787292e+00
1.200000000000000000e+02,5.000000000000000000e-01,2.500000000000000000e-01,7.500000000000000000e-01,1.746102863599999999e+00,-1.316895508896127387e+00,-1.316895289872325403e+00,2.457925909524846020e+00,2.457925921041209882e+00,-7.702934752280444108e+00,-7.702934533256641458e+00,-3.928113333859470480e+00,-3.928113322343106617e+00
1.390000000000000000e+02,5.000000000000000000e-01,3.333333333333333703e-01,6.666666666666666297e-01,2.020476458166666767e+00,-2.365616298967730291e+00,-5.097584576760801900e-01,2.307300654024013298e+00,3.571612390564099293e+00,-8.751655542352047235e+00,-6.895797701060396356e+00,-4.078738589360303202e+00,-2.814426852820217206e+00
1.600000000000000000e+02,5.000000000000000000e-01,4.254385964912280604e-01,5.745614035087719396e-01,2.323731483740350434e+00,-3.125526227731246554e+00,-5.698827772539902803e-01,3.955577618593791644e+00,4.800712423898614745e+00,-9.511565471115563497e+00,-6.955922020638306336e+00,-2.430461624790524855e+00,-1.585326819485701755e+00
1.770000000000000000e+02,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,2.569223647299999858e+00,-3.322082526039234818e+00,-6.678573540106899076e-01,5.171015793428493268e+00,5.171015793405181249e+00,-9.708121769423550873e+00,-7.053896597395006296e+00,-1.215023449955823232e+00,-1.215023449979135250e+00
1.960000000000000000e+02,3.623188405797101441e-01,3.623188405797101441e-01,3.623188405797101441e-01,2.846819969178260745e+00,-4.074829824357347086e+00,5.567074459882941362e-01,5.307871345449736822e+00,5.307871345628814019e+00,-1.046086906774166359e+01,-5.829331797396022807e+00,-1.078167897934579678e+00,-1.078167897755502480e+00
2.190000000000000000e+02,1.956521739130434590e-01,1.956521739130434590e-01,1.956521739130434590e-01,3.182857621978261164e+00,-5.195783308088131491e+00,3.438627395245369200e+00,5.813849496442674791e+00,5.813849496361664038e+00,-1.158182255147244888e+01,-2.947411848138947299e+00,-5.721897469416417081e-01,-5.721897470226524618e-01
2.460000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.577336605699999783e+00,-5.699221902958107044e+00,6.386039243295014600e+00,6.386039243193075698e+00,6.386039243093367013e+00,-1.208526114634242354e+01,-8.930189920874909149e-11,-1.912408009729915648e-10,-2.909494867253670236e-10
