distance_Ainv,E1_eV,E2_eV,E3_eV,E4_eV,E1_minus_VBM_eV,E2_minus_VBM_eV,E3_minus_VBM_eV,E4_minus_VBM_eV
0.000000000000000000e+00,-5.699221900000000396e+00,6.386039199999999916e+00,6.386039199999999916e+00,6.386039199999999916e+00,-1.208526114338431690e+01,-4.338431658368335775e-08,-4.338431658368335775e-08,-4.338431658368335775e-08
1.455085700000000037e-02,-5.698586099999999988e+00,6.382482699999999731e+00,6.383644300000000271e+00,6.383645500000000084e+00,-1.208462534338431738e+01,-3.556543384316768197e-03,-2.394943384316228219e-03,-2.393743384316415757e-03
2.910171400000000075e-02,-5.696677000000000213e+00,6.371827200000000246e+00,6.376476600000000161e+00,6.376479100000000066e+00,-1.208271624338431671e+01,-1.421204338431625303e-02,-9.562643384316338313e-03,-9.560143384316432957e-03
4.365257200000000060e-02,-5.693489600000000372e+00,6.354116999999999571e+00,6.364582300000000359e+00,6.364586300000000030e+00,-1.207952884338431687e+01,-3.192224338431692843e-02,-2.145694338431614057e-02,-2.145294338431646963e-02
5.820342900000000097e-02,-5.689015500000000003e+00,6.329425099999999915e+00,6.348037599999999614e+00,6.348043200000000219e+00,-1.207505474338431739e+01,-5.661414338431658422e-02,-3.800164338431688549e-02,-3.799604338431628037e-02
7.275428600000000134e-02,-5.683243400000000278e+00,6.297853100000000204e+00,6.326947900000000402e+00,6.326955100000000165e+00,-1.206928264338431589e+01,-8.818614338431629562e-02,-5.909134338431609734e-02,-5.908414338431633439e-02
8.730514300000000172e-02,-5.676159300000000130e+00,6.259529399999999910e+00,6.301446099999999717e+00,6.301454900000000414e+00,-1.206219854338431574e+01,-1.265098433843165893e-01,-8.459314338431678237e-02,-8.458434338431608523e-02
1.018560000000000021e-01,-5.667746600000000079e+00,6.214608799999999711e+00,6.271690800000000010e+00,6.271701099999999585e+00,-1.205378584338431658e+01,-1.714304433843167885e-01,-1.143484433843164894e-01,-1.143381433843169148e-01
1.164068600000000009e-01,-5.657987199999999994e+00,6.163270599999999710e+00,6.237864100000000356e+00,6.237875899999999696e+00,-1.204402644338431649e+01,-2.227686433843167890e-01,-1.481751433843161436e-01,-1.481633433843168035e-01
1.309577100000000049e-01,-5.646861200000000025e+00,6.105716900000000003e+00,6.200169500000000333e+00,6.200182700000000047e+00,-1.203290044338431741e+01,-2.803223433843164969e-01,-1.858697433843161662e-01,-1.858565433843164527e-01
1.455085700000000037e-01,-5.634347899999999854e+00,6.042170999999999736e+00,6.158829100000000167e+00,6.158843499999999693e+00,-1.202038714338431546e+01,-3.438682433843167630e-01,-2.272101433843163321e-01,-2.271957433843168062e-01
1.600594300000000025e-01,-5.620426400000000378e+00,5.972875499999999782e+00,6.114080999999999655e+00,6.114096299999999928e+00,-1.200646564338431688e+01,-4.131637433843167173e-01,-2.719582433843168445e-01,-2.719429433843165711e-01
1.746102900000000013e-01,-5.605075799999999830e+00,5.898090200000000394e+00,6.066175999999999569e+00,6.066192199999999701e+00,-1.199111504338431544e+01,-4.879490433843161057e-01,-3.198632433843169309e-01,-3.198470433843167982e-01
1.891611400000000054e-01,-5.588275799999999904e+00,5.818090100000000042e+00,6.015375500000000208e+00,6.015392199999999967e+00,-1.197431504338431552e+01,-5.679491433843164572e-01,-3.706637433843162910e-01,-3.706470433843165324e-01
2.037120000000000042e-01,-5.570007600000000281e+00,5.733163199999999904e+00,5.961948099999999862e+00,5.961965099999999573e+00,-1.195604684338431767e+01,-6.528760433843165956e-01,-4.240911433843166378e-01,-4.240741433843169261e-01
2.182628600000000030e-01,-5.550253699999999846e+00,5.643608500000000028e+00,5.906166999999999945e+00,5.906183900000000264e+00,-1.193629294338431635e+01,-7.424307433843164716e-01,-4.798722433843165547e-01,-4.798553433843162352e-01
2.328137200000000018e-01,-5.528998900000000383e+00,5.549733999999999945e+00,5.848307300000000097e+00,5.848323899999999576e+00,-1.191503814338431688e+01,-8.363052433843165545e-01,-5.377319433843164020e-01,-5.377153433843169239e-01
2.473645700000000058e-01,-5.506230600000000308e+00,5.451854499999999604e+00,5.788643500000000053e+00,5.788659499999999625e+00,-1.189226984338431592e+01,-9.341847433843168957e-01,-5.973957433843164466e-01,-5.973797433843168747e-01
2.619154300000000046e-01,-5.481938800000000001e+00,5.350289899999999932e+00,5.727447399999999966e+00,5.727462599999999959e+00,-1.186797804338431561e+01,-1.035749343384316568e+00,-6.585918433843165332e-01,-6.585766433843165402e-01
2.764662900000000034e-01,-5.456116599999999650e+00,5.245362799999999659e+00,5.664985800000000182e+00,5.664999800000000363e+00,-1.184215584338431526e+01,-1.140676443384316840e+00,-7.210534433843163171e-01,-7.210394433843161366e-01
2.910171400000000075e-01,-5.428760600000000380e+00,5.137396999999999991e+00,5.601518699999999740e+00,5.601531300000000435e+00,-1.181479984338431777e+01,-1.248642243384316508e+00,-7.845205433843167597e-01,-7.845079433843160643e-01
3.055680000000000063e-01,-5.399870499999999574e+00,5.026715799999999845e+00,5.537297500000000205e+00,5.537308600000000247e+00,-1.178590974338431607e+01,-1.359323443384316654e+00,-8.487417433843162939e-01,-8.487306433843162523e-01
3.201188600000000051e-01,-5.369449699999999659e+00,4.913639899999999727e+00,5.472564199999999879e+00,5.472573500000000202e+00,-1.175548894338431616e+01,-1.472399343384316772e+00,-9.134750433843166206e-01,-9.134657433843162977e-01
3.346697200000000039e-01,-5.337505000000000166e+00,4.798485900000000193e+00,5.407549399999999729e+00,5.407556800000000052e+00,-1.172354424338431755e+01,-1.587553343384316307e+00,-9.784898433843167709e-01,-9.784824433843164471e-01
3.492205700000000079e-01,-5.304046600000000389e+00,4.681564500000000351e+00,5.342472199999999560e+00,5.342477599999999605e+00,-1.169008584338431689e+01,-1.704474743384316149e+00,-1.043567043384316939e+00,-1.043561643384316895e+00
3.637714300000000067e-01,-5.269088100000000274e+00,4.563179100000000155e+00,5.277538800000000307e+00,5.277542200000000072e+00,-1.165512734338431677e+01,-1.822860143384316345e+00,-1.108500443384316192e+00,-1.108497043384316427e+00
3.783222900000000055e-01,-5.232646299999999862e+00,4.443624200000000357e+00,5.212942400000000198e+00,5.212943700000000291e+00,-1.161868554338431636e+01,-1.942415043384316142e+00,-1.173096843384316301e+00,-1.173095543384316208e+00
3.928731400000000096e-01,-5.194740999999999609e+00,4.323183499999999846e+00,5.148861799999999711e+00,5.148862399999999617e+00,-1.158078024338431611e+01,-2.062855743384316654e+00,-1.237177443384316788e+00,-1.237176843384316882e+00
4.074240000000000084e-01,-5.155395000000000394e+00,4.202128700000000272e+00,5.085462200000000266e+00,5.085464799999999563e+00,-1.154143424338431601e+01,-2.183910543384316227e+00,-1.300577043384316234e+00,-1.300574443384316936e+00
4.219748600000000072e-01,-5.114633300000000382e+00,4.080718100000000348e+00,5.022896799999999828e+00,5.022901100000000341e+00,-1.150067254338431688e+01,-2.305321143384316152e+00,-1.363142443384316671e+00,-1.363138143384316159e+00
4.365257200000000060e-01,-5.072483300000000028e+00,3.959194699999999845e+00,4.961303199999999691e+00,4.961309299999999922e+00,-1.145852254338431564e+01,-2.426844543384316655e+00,-1.424736043384316808e+00,-1.424729943384316577e+00
4.510765700000000100e-01,-5.028974500000000347e+00,3.837785100000000060e+00,4.900805400000000311e+00,4.900812900000000027e+00,-1.141501374338431773e+01,-2.548254143384316439e+00,-1.485233843384316188e+00,-1.485226343384316472e+00
4.656274300000000088e-01,-4.984137900000000343e+00,3.716698099999999894e+00,4.841512999999999955e+00,4.841521799999999764e+00,-1.137017714338431773e+01,-2.669341143384316606e+00,-1.544526243384316544e+00,-1.544517443384316735e+00
4.801782900000000076e-01,-4.938005800000000001e+00,3.596123400000000192e+00,4.783522200000000169e+00,4.783531899999999837e+00,-1.132404504338431650e+01,-2.789915843384316307e+00,-1.602517043384316331e+00,-1.602507343384316663e+00
4.947291400000000117e-01,-4.890611299999999773e+00,3.476230699999999896e+00,4.726915199999999651e+00,4.726925800000000066e+00,-1.127665054338431716e+01,-2.909808543384316604e+00,-1.659124043384316849e+00,-1.659113443384316433e+00
5.092799999999999550e-01,-4.841988200000000298e+00,3.357168199999999825e+00,4.671760899999999772e+00,4.671772100000000094e+00,-1.122802744338431680e+01,-3.028871043384316675e+00,-1.714278343384316727e+00,-1.714267143384316405e+00
5.238308600000000093e-01,-4.792170500000000111e+00,3.239062000000000108e+00,4.618115200000000087e+00,4.618126799999999754e+00,-1.117820974338431661e+01,-3.146977243384316392e+00,-1.767924043384316413e+00,-1.767912443384316745e+00
5.383817199999999525e-01,-4.741191699999999898e+00,3.122015900000000066e+00,4.566020899999999827e+00,4.566032599999999775e+00,-1.112723094338431551e+01,-3.264023343384316433e+00,-1.820018343384316672e+00,-1.820006643384316725e+00
