iteration,delta_spread_bohr2,rms_gradient,total_spread_bohr2
0.000000000000000000e+00,2.689999999999999858e+01,0.000000000000000000e+00,2.692713509149999851e+01
1.000000000000000000e+00,-2.050000000000000086e-02,1.160326960000000046e-01,2.690660615390000032e+01
2.000000000000000000e+00,-9.569999999999999514e-04,2.653955389999999859e-02,2.690564926500000098e+01
3.000000000000000000e+00,-6.069999999999999821e-05,6.926913500000000425e-03,2.690558854320000037e+01
4.000000000000000000e+00,-5.290000000000000174e-06,2.241241900000000026e-03,2.690558325090000125e+01
5.000000000000000000e+00,-8.509999999999999837e-07,8.502959999999999512e-04,2.690558239940000007e+01
6.000000000000000000e+00,-1.460000000000000103e-07,3.097655999999999739e-04,2.690558225330000042e+01
7.000000000000000000e+00,-1.469999999999999928e-08,1.076849000000000030e-04,2.690558223869999921e+01
8.000000000000000000e+00,-2.220000000000000192e-09,4.201909999999999890e-05,2.690558223640000080e+01
9.000000000000000000e+00,-2.729999999999999878e-10,1.931569999999999872e-05,2.690558223620000078e+01
1.000000000000000000e+01,-3.480000000000000116e-12,1.121050000000000049e-05,2.690558223620000078e+01
1.100000000000000000e+01,-1.410000000000000042e-10,1.107750000000000024e-05,2.690558223600000076e+01
1.200000000000000000e+01,-9.999999999999999395e-12,5.333200000000000031e-06,2.690558223600000076e+01
1.300000000000000000e+01,-4.380000000000000017e-13,4.809699999999999876e-06,2.690558223600000076e+01
