atom_i,atom_j,shift_x,shift_y,shift_z,distance_A
1,2,0,-1,-1,2.424871130596428
1,2,0,-1,0,2.424871130596428
1,2,0,0,-1,2.424871130596428
1,2,0,0,0,2.424871130596428
1,4,-1,-1,-1,2.424871130596428
1,4,-1,-1,0,2.424871130596428
1,4,-1,0,-1,2.424871130596428
1,4,-1,0,0,2.424871130596428
2,3,0,0,0,2.424871130596428
2,3,0,0,1,2.424871130596428
2,3,0,1,0,2.424871130596428
2,3,0,1,1,2.424871130596428
3,4,0,-1,-1,2.424871130596428
3,4,0,-1,0,2.424871130596428
3,4,0,0,-1,2.424871130596428
3,4,0,0,0,2.424871130596428
