# z_A  planar_potential_eV
0.0000000000 3.783714602193
0.0625000000 3.303792300942
0.1250000000 2.899977063405
0.1875000000 2.631753663237
0.2500000000 2.538219511723
0.3125000000 2.538130081254
0.3750000000 2.538218315407
0.4375000000 2.538128592870
0.5000000000 2.538216750275
0.5625000000 2.538126742557
0.6250000000 2.538214845510
0.6875000000 2.538124534218
0.7500000000 2.538212585239
0.8125000000 2.538121968705
0.8750000000 2.538209991582
0.9375000000 2.538119125803
1.0000000000 2.538207199421
1.0625000000 2.538116111286
1.1250000000 2.538204278059
1.1875000000 2.538112976643
1.2500000000 2.538201230271
1.3125000000 2.538109745576
1.3750000000 2.538198164213
1.4375000000 2.538106506583
1.5000000000 2.538195128206
1.5625000000 2.538103326885
1.6250000000 2.538192166232
1.6875000000 2.538100243698
1.7500000000 2.538189377942
1.8125000000 2.538097377813
1.8750000000 2.538186855931
1.9375000000 2.538094810991
2.0000000000 2.538184647451
2.0625000000 2.538092539129
2.1250000000 2.538182793991
2.1875000000 2.538090689859
2.2500000000 2.538181432925
2.3125000000 2.538089388907
2.3750000000 2.538180689024
2.4375000000 2.538088716429
2.5000000000 2.538180600189
2.5625000000 2.538088736028
2.6250000000 2.538181260711
2.6875000000 2.538089520163
2.7500000000 2.538182716416
2.8125000000 2.538091101705
2.8750000000 2.538184994435
2.9375000000 2.538093505467
3.0000000000 2.538188166106
3.0625000000 2.538096896245
3.1250000000 2.538192367512
3.1875000000 2.538101306481
3.2500000000 2.538197613949
3.3125000000 2.538106720813
3.3750000000 2.538203871046
3.4375000000 2.538113181570
3.5000000000 2.538211231308
3.5625000000 2.538120749557
3.6250000000 2.538219731486
3.6875000000 2.538129422989
3.7500000000 2.538229291598
3.8125000000 2.538139141665
3.8750000000 2.538239962214
3.9375000000 2.538149978778
4.0000000000 2.538251776683
4.0625000000 2.538161954802
4.1250000000 2.538264730048
4.1875000000 2.538175011591
4.2500000000 2.538278753088
4.3125000000 2.538189109359
4.3750000000 2.538293813407
4.4375000000 2.538204201346
4.5000000000 2.538309869755
4.5625000000 2.538220231810
4.6250000000 2.538326857047
4.6875000000 2.538237189385
4.7500000000 2.538344795976
4.8125000000 2.538255017055
4.8750000000 2.538363546870
4.9375000000 2.538273569343
5.0000000000 2.538382967372
5.0625000000 2.538292689979
5.1250000000 2.538402929217
5.1875000000 2.538312302092
5.2500000000 2.538423376478
5.3125000000 2.538332296400
5.3750000000 2.538444154380
5.4375000000 2.538352530555
5.5000000000 2.538465125239
5.5625000000 2.538372839237
5.6250000000 2.538486107292
5.6875000000 2.538393004692
5.7500000000 2.538506841741
5.8125000000 2.538412769002
5.8750000000 2.538527085100
5.9375000000 2.538431843257
6.0000000000 2.538546517417
6.0625000000 2.538449882003
6.1250000000 2.538564839482
6.1875000000 2.538466779141
6.2500000000 2.538581812238
6.3125000000 2.538481781723
6.3750000000 2.538596532022
6.4375000000 2.538494094013
6.5000000000 2.538608163875
6.5625000000 2.538502796458
6.6250000000 2.538615684408
6.6875000000 2.538506631897
6.7500000000 2.538617597825
6.8125000000 2.538503862612
6.8750000000 2.538611837962
6.9375000000 2.538491974460
7.0000000000 2.538595998220
7.0625000000 2.538469175139
7.1250000000 2.538567018808
7.1875000000 2.538429624994
7.2500000000 2.538518040941
7.3125000000 2.538366341188
7.3750000000 2.538440958889
7.4375000000 2.538269489489
7.5000000000 2.538324045102
7.5625000000 2.538125061719
7.6250000000 2.538150478982
7.6875000000 2.537912823781
7.7500000000 2.537895865985
7.8125000000 2.537603129965
7.8750000000 2.537524164798
7.9375000000 2.537152103219
8.0000000000 2.536982007014
8.0625000000 2.536494850012
8.1250000000 2.536190633912
8.1875000000 2.535535676643
8.2500000000 2.535033469248
8.3125000000 2.534131915610
8.3750000000 2.533335570959
8.4375000000 2.532068657252
8.5000000000 2.530833072769
8.5625000000 2.529022055701
8.6250000000 2.527128893638
8.6875000000 2.524504746457
8.7500000000 2.521623969680
8.8125000000 2.517778347771
8.8750000000 2.513406664358
8.9375000000 2.507715532432
9.0000000000 2.501082900264
9.0625000000 2.492591988803
9.1250000000 2.482520587368
9.1875000000 2.469768847385
9.2500000000 2.454450348006
9.3125000000 2.435186900138
9.3750000000 2.411825982298
9.4375000000 2.382563453943
9.5000000000 2.346826789070
9.5625000000 2.302158312278
9.6250000000 2.247330891672
9.6875000000 2.178874159866
9.7500000000 2.094552398308
9.8125000000 1.989296908854
9.8750000000 1.859383148547
9.9375000000 1.697155751882
10.0000000000 1.497067839763
10.0625000000 1.246387312336
10.1250000000 0.949631886389
10.1875000000 0.625264795005
10.2500000000 0.185451875329
10.3125000000 -0.466129826824
10.3750000000 -1.374332940069
10.4375000000 -2.532770511719
10.5000000000 -3.894320787635
10.5625000000 -5.391415356876
10.6250000000 -6.947537497571
10.6875000000 -8.489564514089
10.7500000000 -9.951551910604
10.8125000000 -11.281256639076
10.8750000000 -12.438213215087
10.9375000000 -13.392164994212
11.0000000000 -14.115363589723
11.0625000000 -14.581608404718
11.1250000000 -14.776535759554
11.1875000000 -14.703808786988
11.2500000000 -14.372602530988
11.3125000000 -13.814989337866
11.3750000000 -13.063807525987
11.4375000000 -12.156885467625
11.5000000000 -11.135419016798
11.5625000000 -10.055079538718
11.6250000000 -8.976439132773
11.6875000000 -7.983509523094
11.7500000000 -7.150396578778
11.8125000000 -6.526306870887
11.8750000000 -6.148238389607
11.9375000000 -6.032576061005
12.0000000000 -6.148133600734
12.0625000000 -6.419201632781
12.1250000000 -6.729218106759
12.1875000000 -7.043805499612
12.2500000000 -7.382015775001
12.3125000000 -7.722289778889
12.3750000000 -8.052451925353
12.4375000000 -8.357761764220
12.5000000000 -8.629946168813
12.5625000000 -8.860342586167
12.6250000000 -9.044611049484
12.6875000000 -9.178486877077
12.7500000000 -9.260355717582
12.8125000000 -9.288814350658
12.8750000000 -9.263998302403
12.9375000000 -9.186665477711
13.0000000000 -9.058576675239
13.0625000000 -8.883021036675
13.1250000000 -8.664204816945
13.1875000000 -8.409308814242
13.2500000000 -8.126433537773
13.3125000000 -7.828500343766
13.3750000000 -7.528729741540
13.4375000000 -7.244789315273
13.5000000000 -6.955483800365
13.5625000000 -6.717199901349
13.6250000000 -6.646570382837
13.6875000000 -6.810078750215
13.7500000000 -7.227038747385
13.8125000000 -7.867835903974
13.8750000000 -8.685267552696
13.9375000000 -9.620986581712
14.0000000000 -10.626874051808
14.0625000000 -11.635733975988
14.1250000000 -12.577158134147
14.1875000000 -13.402352096649
14.2500000000 -14.070686302204
14.3125000000 -14.544848556044
14.3750000000 -14.789799277599
14.4375000000 -14.776400620228
14.5000000000 -14.496532501074
14.5625000000 -13.947840826094
14.6250000000 -13.147154031388
14.6875000000 -12.120887735459
14.7500000000 -10.896077291555
14.8125000000 -9.504078988195
14.8750000000 -7.986643513693
14.9375000000 -6.398447021186
15.0000000000 -4.806835605548
15.0625000000 -3.286250689044
15.1250000000 -1.912871630328
15.1875000000 -0.752444572027
15.2500000000 0.152401168003
15.3125000000 0.802583880627
15.3750000000 1.250121769211
15.4375000000 1.595906556202
15.5000000000 1.909503169182
15.5625000000 2.159652381530
15.6250000000 2.347900963459
15.6875000000 2.477208725240
15.7500000000 2.550898743592
15.8125000000 2.564661591728
15.8750000000 2.517753353466
15.9375000000 2.396897035019
16.0000000000 2.224152784986
16.0625000000 1.971119896469
16.1250000000 1.520044968280
16.1875000000 0.825531085354
16.2500000000 -0.093670929410
16.3125000000 -1.160231770824
16.3750000000 -2.281877181173
