# ik band kdist_A-1 k1 k2 k3 energy_eV E-Ef_eV occupation charge mx my mz
1 1 0.000000000 0.000000000 0.000000000 0.000000000 -36.414695530 -34.926595530 1.000000000 0.974000000 0.176000000 0.956000000 0.071000000
1 2 0.000000000 0.000000000 0.000000000 0.000000000 -36.413441420 -34.925341420 1.000000000 0.974000000 -0.176000000 -0.956000000 -0.071000000
1 3 0.000000000 0.000000000 0.000000000 0.000000000 -36.277903420 -34.789803420 1.000000000 0.978000000 0.270000000 0.921000000 0.185000000
1 4 0.000000000 0.000000000 0.000000000 0.000000000 -36.277622940 -34.789522940 1.000000000 0.978000000 -0.270000000 -0.921000000 -0.185000000
1 5 0.000000000 0.000000000 0.000000000 0.000000000 -23.936307080 -22.448207080 1.000000000 0.990000000 -0.001000000 -0.001000000 0.602000000
1 6 0.000000000 0.000000000 0.000000000 0.000000000 -23.936302110 -22.448202110 1.000000000 0.990000000 -0.001000000 -0.001000000 -0.602000000
1 7 0.000000000 0.000000000 0.000000000 0.000000000 -23.928880290 -22.440780290 1.000000000 0.990000000 -0.218000000 -0.327000000 0.030000000
1 8 0.000000000 0.000000000 0.000000000 0.000000000 -23.928809160 -22.440709160 1.000000000 0.990000000 0.219000000 0.329000000 -0.030000000
1 9 0.000000000 0.000000000 0.000000000 0.000000000 -22.911209160 -21.423109160 1.000000000 0.990000000 -0.089000000 -0.123000000 0.198000000
1 10 0.000000000 0.000000000 0.000000000 0.000000000 -22.911182950 -21.423082950 1.000000000 0.990000000 0.088000000 0.122000000 -0.199000000
1 11 0.000000000 0.000000000 0.000000000 0.000000000 -22.893423370 -21.405323370 1.000000000 0.991000000 -0.003000000 -0.004000000 -0.593000000
1 12 0.000000000 0.000000000 0.000000000 0.000000000 -22.893402260 -21.405302260 1.000000000 0.991000000 -0.003000000 -0.005000000 0.593000000
1 13 0.000000000 0.000000000 0.000000000 0.000000000 -22.890247410 -21.402147410 1.000000000 0.991000000 -0.238000000 -0.337000000 0.032000000
1 14 0.000000000 0.000000000 0.000000000 0.000000000 -22.890170320 -21.402070320 1.000000000 0.991000000 0.245000000 0.347000000 -0.031000000
1 15 0.000000000 0.000000000 0.000000000 0.000000000 -19.341423470 -17.853323470 1.000000000 0.884000000 0.090000000 0.549000000 0.007000000
1 16 0.000000000 0.000000000 0.000000000 0.000000000 -19.340454510 -17.852354510 1.000000000 0.884000000 -0.090000000 -0.548000000 -0.007000000
1 17 0.000000000 0.000000000 0.000000000 0.000000000 -18.993225910 -17.505125910 1.000000000 0.904000000 0.058000000 0.342000000 0.005000000
