sweep,energy_per_spin,M2,cos_x,cos_y,current_x,current_y,current_x2,current_y2,vortex_abs_density
5.000000000000000000e+01,-1.152446781722695768e+00,4.017238388249338987e-02,1.478239228618833465e+02,1.472024532591267416e+02,1.220453887595066789e+00,-1.612067774220933458e+01,1.489507691745912021e+00,2.598762508681634245e+02,5.468750000000000000e-02
1.000000000000000000e+02,-1.214068373284572067e+00,8.431446179343503322e-02,1.513264112035007543e+02,1.594750923573496948e+02,2.991493219777179302e-01,-1.807601618640812902e+01,8.949031683972835660e-02,3.267423611712886782e+02,3.906250000000000000e-02
1.500000000000000000e+02,-1.274294139892907740e+00,1.309167637985911570e-01,1.611540089472860018e+02,1.650652908652983797e+02,2.985866703169493874e+01,1.605821218802395123e+01,8.915399969096262112e+02,2.578661786756009633e+02,3.906250000000000000e-02
2.000000000000000000e+02,-1.304623161200350712e+00,2.533697246755904353e-01,1.689937304780466150e+02,1.649897987892431388e+02,1.140862068164421395e+01,1.546946309749677839e+00,1.301566258576400799e+02,2.393042885248146234e+00,3.125000000000000000e-02
2.500000000000000000e+02,-1.233524148380355623e+00,3.205700061691485470e-01,1.500625814088223819e+02,1.657196005765486575e+02,4.946342065386774678e+00,-1.136597530568740311e+01,2.446629982781470503e+01,1.291853946494958620e+02,3.125000000000000000e-02
3.000000000000000000e+02,-1.360231021348984992e+00,4.806746052801427194e-01,1.719794500362399106e+02,1.762396914291002190e+02,6.609616324749865157e-01,1.936796062227887028e+00,4.368702796039991565e-01,3.751178986661449333e+00,7.812500000000000000e-03
3.500000000000000000e+02,-1.355910122017696118e+00,2.478209612913823412e-01,1.745422757889677712e+02,1.725707154475624634e+02,-1.445747341443931688e+01,-3.703732408187214276e+00,2.090185375292196284e+02,1.371763375145626185e+01,2.343750000000000000e-02
4.000000000000000000e+02,-1.276807575337892242e+00,2.800517818042845830e-01,1.625171062594473028e+02,1.643456330270530827e+02,8.559894446784028332e+00,1.156005753909111888e+01,7.327179294008404042e+01,1.336349303070974202e+02,2.343750000000000000e-02
4.500000000000000000e+02,-1.200065290853861821e+00,2.773072961235488187e-01,1.500333279258186963e+02,1.571833865327699584e+02,-9.552806860736369643e+00,6.362285015001388544e+00,9.125611891853185398e+01,4.047867061211121609e+01,4.687500000000000000e-02
5.000000000000000000e+02,-1.278911974069289803e+00,3.480326058140004730e-01,1.648454174540938197e+02,1.625560479076443698e+02,-1.321835219492514923e+01,5.241732137394691016e+00,1.747248347490825040e+02,2.747575580019631758e+01,1.562500000000000000e-02
