sweep,energy_per_spin,M2,cos_x,cos_y,current_x,current_y,current_x2,current_y2,vortex_abs_density
5.000000000000000000e+00,-1.604743646132444024e+00,6.508073217356133977e-01,5.139049158538481521e+01,5.131310176709159521e+01,1.239431083139032275e+00,-3.995807993639188815e-01,1.536189409851194787e+00,1.596648152203083981e-01,0.000000000000000000e+00
1.000000000000000000e+01,-1.607110582367104357e+00,7.339054133999981522e-01,5.410882511706660125e+01,4.874625215442807047e+01,1.578995487213259996e-01,2.826177219781937922e-01,2.493226748639840173e-02,7.987277677614364191e-02,0.000000000000000000e+00
1.500000000000000000e+01,-1.573345800618882961e+00,6.646585014670320923e-01,5.049999802686038919e+01,5.019413321274811324e+01,-2.611637046678194629e-02,-7.805547584241363523e-01,6.820648063582002846e-04,6.092657308985618414e-01,0.000000000000000000e+00
2.000000000000000000e+01,-1.609200192921583783e+00,6.324180935198853160e-01,4.967049139268917202e+01,5.331832095429219009e+01,1.080338613210389820e-01,7.617510863686218769e-01,1.167131519193348281e-02,5.802647175837756244e-01,0.000000000000000000e+00
2.500000000000000000e+01,-1.445304352627351019e+00,5.271086207241548749e-01,4.572912979478446971e+01,4.677034877336600260e+01,-2.948539461522023064e+00,2.824854187382418225e+00,8.693884956152581722e+00,7.979801179971982350e+00,0.000000000000000000e+00
3.000000000000000000e+01,-1.469794416767804313e+00,5.644533112665491847e-01,4.772138969406498177e+01,4.634545297907449424e+01,-4.901630513018869761e-01,5.569836952254527684e-01,2.402598168615762975e-01,3.102308367470000827e-01,0.000000000000000000e+00
3.500000000000000000e+01,-1.414641877404866577e+00,4.654262204419094551e-01,4.331155362415331922e+01,4.722552652975814880e+01,4.805891907100097171e+00,-3.998152038396146413e+00,2.309659702273020798e+01,1.598521972213126041e+01,3.125000000000000000e-02
4.000000000000000000e+01,-1.526497318535889436e+00,5.720619286895199940e-01,4.764373731813374491e+01,5.005209106816317899e+01,-2.012093252819702194e-03,-9.265138267901669167e-01,4.048519258042569811e-06,8.584278712333593964e-01,0.000000000000000000e+00
4.500000000000000000e+01,-1.621457365794073624e+00,6.521545879561001513e-01,5.186158709953840429e+01,5.191168431128230054e+01,3.313326687875643106e+00,-3.974097316383691236e-01,1.097813374058898006e+01,1.579344948008805649e-01,0.000000000000000000e+00
5.000000000000000000e+01,-1.538660450356534426e+00,6.197757602176767744e-01,4.970409330834058181e+01,4.877017551447762855e+01,-5.002569323527643608e-01,8.785017053327370817e-02,2.502569983669982734e-01,7.717652462725272354e-03,0.000000000000000000e+00
5.500000000000000000e+01,-1.496814315639940940e+00,6.144752388750556182e-01,4.713325666101687261e+01,4.866285953993934754e+01,-1.923210984904444754e+00,-1.181968394979399539e+00,3.698740492457124329e+00,1.397049286730177808e+00,0.000000000000000000e+00
6.000000000000000000e+01,-1.461947504172888213e+00,5.942336579444114086e-01,4.675845254816434959e+01,4.680618771890049601e+01,5.172603824723711607e-01,-2.397708099132354942e+00,2.675583032754637047e-01,5.749004128644890521e+00,0.000000000000000000e+00
6.500000000000000000e+01,-1.394057884445169870e+00,5.991354743033446839e-01,4.436110933236732023e+01,4.485859527212355147e+01,1.314874269788576688e+00,-2.873832681292392888e+00,1.728894345352042672e+00,8.258914280064225011e+00,0.000000000000000000e+00
7.000000000000000000e+01,-1.481030123438411561e+00,5.818511997422362025e-01,4.750092164461682387e+01,4.728500625544151603e+01,-4.402348530978447694e-01,4.032324428826971285e+00,1.938067258820809768e-01,1.625964029931476063e+01,3.125000000000000000e-02
7.500000000000000000e+01,-1.458768226137458157e+00,5.652175037001186952e-01,4.666951842344947465e+01,4.669164804934784030e+01,-1.516091014733269127e+00,9.921075470544427066e-01,2.298531964954953821e+00,9.842773849223832583e-01,0.000000000000000000e+00
8.000000000000000000e+01,-1.611086291602485954e+00,7.497364827057328984e-01,5.102401913743037198e+01,5.208550352512872905e+01,2.173934117163819901e-02,1.124749250869345740e+00,4.725989545768837017e-04,1.265060877331154465e+00,0.000000000000000000e+00
8.500000000000000000e+01,-1.600617177236854261e+00,7.484463266037704177e-01,5.206316359442951125e+01,5.037633574872916142e+01,-8.165515154356981498e-01,-8.457558949957819650e-01,6.667563773603352173e-01,7.153030339201161825e-01,0.000000000000000000e+00
9.000000000000000000e+01,-1.561660595214268810e+00,7.130695853305548670e-01,5.062275366568043466e+01,4.932352442803276205e+01,-1.013794740143968198e+00,3.038097970067887843e-01,1.027779775143575991e+00,9.230039275730621273e-02,0.000000000000000000e+00
9.500000000000000000e+01,-1.493729363726791881e+00,6.701595047537651784e-01,4.593882678663067054e+01,4.965985249188400985e+01,-4.753390921013789794e-01,1.467003954048263337e+00,2.259472524797632442e-01,2.152100601193239093e+00,0.000000000000000000e+00
1.000000000000000000e+02,-1.529331763093540575e+00,6.425450545800543978e-01,4.884438119667538558e+01,4.903285164131121121e+01,1.938993042952895096e-01,-1.086759106657253504e-02,3.759694020619727683e-02,1.181045355902471671e-04,0.000000000000000000e+00
1.050000000000000000e+02,-1.665653860619587423e+00,7.704435802487152873e-01,5.352194272129180064e+01,5.307990435836180154e+01,9.757364130056027651e-01,2.571795020600176063e-01,9.520615476650402531e-01,6.614129627983859894e-02,0.000000000000000000e+00
1.100000000000000000e+02,-1.551891799077893097e+00,7.223965264009960530e-01,4.970429591898586352e+01,4.961677922199929469e+01,-6.860573381446477548e-01,-1.690313068232182303e+00,4.706746712221195339e-01,2.857158268636494025e+00,0.000000000000000000e+00
1.150000000000000000e+02,-1.582193506094283997e+00,6.036608755926190506e-01,4.706107384489852308e+01,5.419931054513564561e+01,1.458911961726021111e+00,-1.492740155549419079e-01,2.128424112067267338e+00,2.228273171989703788e-02,0.000000000000000000e+00
1.200000000000000000e+02,-1.434626679078263578e+00,6.593138120814543424e-01,4.679272265362581606e+01,4.502338480738305293e+01,5.167445777883696856e-01,7.351454405506241407e-01,2.670249586736804237e-01,5.404388187623712092e-01,0.000000000000000000e+00
1.250000000000000000e+02,-1.466649495130053493e+00,6.955071480267394080e-01,4.789799694077656511e+01,4.596757074754685846e+01,2.302978537251634261e-01,3.341260215281087742e-01,5.303710143041676789e-02,1.116401982622022143e-01,0.000000000000000000e+00
1.300000000000000000e+02,-1.379692055756401414e+00,6.091430690242847223e-01,4.550943598128915824e+01,4.279085558712053228e+01,-3.324224604746542688e+00,-5.347488325204832194e+00,1.105046922280230781e+01,2.859563138820197992e+01,0.000000000000000000e+00
1.350000000000000000e+02,-1.432961577436242973e+00,6.406256536239576249e-01,4.577873163596274964e+01,4.593080931995680771e+01,-1.426108518437207318e+00,-8.637603983971414712e-01,2.033785506359166551e+00,7.460820258391885895e-01,0.000000000000000000e+00
1.400000000000000000e+02,-1.605191806984143099e+00,6.975762592080519964e-01,5.166801569427199325e+01,5.106425995271317220e+01,1.333605280668287651e+00,1.689811990195198010e+00,1.778503044626342344e+00,2.855464562207456147e+00,0.000000000000000000e+00
1.450000000000000000e+02,-1.559443237886037004e+00,6.963942533793179290e-01,4.994828540373767112e+01,4.985608182096869712e+01,-1.959440379587711334e+00,3.121568518870381226e-01,3.839406601158834142e+00,9.744190018002625575e-02,0.000000000000000000e+00
1.500000000000000000e+02,-1.623986525193897634e+00,7.125131016986141486e-01,5.118135611373955385e+01,5.275378149866989475e+01,2.146706966305053366e-01,1.134936009654086142e+00,4.608350799182645702e-02,1.288079746009539894e+00,0.000000000000000000e+00
1.550000000000000000e+02,-1.552226776095896099e+00,7.611592841665965059e-01,4.777751197582713871e+01,5.156500169431020453e+01,-7.968979302370854390e-01,-5.865401137930279507e-01,6.350463112161507384e-01,3.440293050883381776e-01,0.000000000000000000e+00
1.600000000000000000e+02,-1.588414660617254892e+00,7.237403421793469072e-01,4.939176603033692459e+01,5.226677224916738851e+01,-1.367713433851397431e-02,4.619705083138225810e-01,1.870640037137580845e-04,2.134167505517316210e-01,0.000000000000000000e+00
1.650000000000000000e+02,-1.628449102388597858e+00,7.486643742936012202e-01,5.406866743877137083e+01,5.015207511409888497e+01,4.980258389821499154e-01,1.186978559232221730e+00,2.480297362938743144e-01,1.408918100077000801e+00,0.000000000000000000e+00
1.700000000000000000e+02,-1.635166787480201389e+00,7.265632863391482399e-01,5.316554348500999083e+01,5.148513091372289097e+01,4.365422739325912072e-01,7.917281887994054301e-01,1.905691569302374877e-01,6.268335249395869946e-01,0.000000000000000000e+00
1.750000000000000000e+02,-1.620329047885253004e+00,7.279590360164741591e-01,5.240312681145399409e+01,5.129793225320220529e+01,-6.359721277261514150e-01,-7.134501198360478913e-01,4.044605472445282346e-01,5.090110734940710424e-01,0.000000000000000000e+00
1.800000000000000000e+02,-1.575439742753208971e+00,6.599968476283857299e-01,4.885943431481459243e+01,5.196870922139077464e+01,1.460227123055895415e+00,1.262770782283114901e+00,2.132263250908096985e+00,1.594590048587909870e+00,0.000000000000000000e+00
1.850000000000000000e+02,-1.453543227641283853e+00,5.796581961617071066e-01,4.585700466994157409e+01,4.716976189910059247e+01,1.738249779905198356e+00,9.909327474916771461e-01,3.021512297340470443e+00,9.819477100514040213e-01,0.000000000000000000e+00
1.900000000000000000e+02,-1.516423439609083212e+00,6.267813160004735984e-01,5.106515234314237262e+01,4.598594779183895298e+01,-3.304497265972028419e-01,-4.795878190354510018e-01,1.091970218081661087e-01,2.300044761671805049e-01,0.000000000000000000e+00
1.950000000000000000e+02,-1.608649464703938659e+00,6.819145740423305790e-01,5.214185627057272399e+01,5.081170947047935726e+01,3.737840652407660169e-01,-1.681364177420476835e+00,1.397145274279132376e-01,2.826985497112836754e+00,0.000000000000000000e+00
2.000000000000000000e+02,-1.208850152749488149e+00,4.737418978283387538e-01,4.004570273814231740e+01,3.732070703782492416e+01,1.261538584585484735e+00,-2.907534435189091937e+00,1.591479600397948113e+00,8.453756491810352713e+00,6.250000000000000000e-02
2.050000000000000000e+02,-1.364631428241173339e+00,4.967767212626035267e-01,3.969386534919375720e+01,4.764254605824133648e+01,4.421849666214725971e+00,-5.277246149636047434e+00,1.955275447060328275e+01,2.784932692384848707e+01,6.250000000000000000e-02
2.100000000000000000e+02,-1.586019032905349624e+00,6.706642269853916316e-01,5.217682385858277883e+01,4.932839424735959710e+01,1.957678950197749013e-01,-1.142261245286949389e+00,3.832506872047360819e-02,1.304760752484492414e+00,0.000000000000000000e+00
2.150000000000000000e+02,-1.517252954862760683e+00,6.846102070189370448e-01,4.866460720477276425e+01,4.843958190644391948e+01,1.472145867261456242e+00,-9.863894271710040851e-01,2.167213454494985037e+00,9.729641020347415958e-01,0.000000000000000000e+00
2.200000000000000000e+02,-1.620546545054603937e+00,5.927789117482005210e-01,5.526371326371344139e+01,4.845126561978121060e+01,3.175592436712584843e-02,-8.894645561265086542e-01,1.008438732410617137e-03,7.911471966053270632e-01,0.000000000000000000e+00
2.250000000000000000e+02,-1.526505592543865752e+00,5.864630077761076032e-01,5.026928522459239446e+01,4.742707269821502081e+01,6.992081332417232620e-01,-5.337610864250224019e-01,4.888920135913754073e-01,2.849008973816202217e-01,0.000000000000000000e+00
2.300000000000000000e+02,-1.658199478711435804e+00,6.804707983384263859e-01,5.313060345787694416e+01,5.299416317965494727e+01,1.862019961610405228e-01,7.856337313317611759e-01,3.467118337435615150e-02,6.172203598062658836e-01,0.000000000000000000e+00
2.350000000000000000e+02,-1.500473166042032958e+00,6.237334920426709228e-01,5.001005605043016544e+01,4.602022657625995095e+01,1.403420541547799827e+00,2.086005629369968251e+00,1.969589216438319745e+00,4.351419485763197592e+00,0.000000000000000000e+00
2.400000000000000000e+02,-1.401639926178169793e+00,6.349193198363370927e-01,4.777962923547931950e+01,4.192532603992354723e+01,-2.721578760513203576e-01,-5.247287736557084692e-01,7.406990949676585390e-02,2.753402859022237581e-01,0.000000000000000000e+00
2.450000000000000000e+02,-1.503860438543403344e+00,7.092784046091523686e-01,4.643471271421508106e+01,4.981235535256273295e+01,9.500769080254617416e-01,-1.506065789442669889e-01,9.026461311632216766e-01,2.268234162129572490e-02,0.000000000000000000e+00
2.500000000000000000e+02,-1.598362715861908701e+00,7.841694316383222008e-01,5.200285970950109515e+01,5.029235410566105458e+01,4.405934312599402158e-01,-6.963632293868281531e-01,1.941225716694076620e-01,4.849217472420522257e-01,0.000000000000000000e+00
2.550000000000000000e+02,-1.640478884356244560e+00,7.789344527628986325e-01,5.346492177049252348e+01,5.152572682830712125e+01,-3.317755019468638378e-01,1.534578220415078409e+00,1.100749836920934532e-01,2.354930314572309058e+00,0.000000000000000000e+00
2.600000000000000000e+02,-1.464380588462323107e+00,6.039166627907692764e-01,4.869746622947710080e+01,4.502289143211157807e+01,-1.238636635360364391e+00,6.173637283227706440e-01,1.534220714456844270e+00,3.811379730485917605e-01,0.000000000000000000e+00
2.650000000000000000e+02,-1.555756024199241860e+00,6.741977033758196347e-01,4.980992700992203481e+01,4.975845853882944425e+01,8.380621104465241222e-02,1.931157118867460110e+00,7.023481009660819709e-03,3.729367817752469616e+00,0.000000000000000000e+00
2.700000000000000000e+02,-1.703076102048342921e+00,7.373122813863536296e-01,5.474247218381385238e+01,5.425439834728008748e+01,1.745914070431813514e-01,-3.846731350276613171e-01,3.048215941331783307e-02,1.479734208120093431e-01,0.000000000000000000e+00
2.750000000000000000e+02,-1.564997596714265748e+00,7.189372549693560099e-01,5.171204256767352803e+01,4.844780362203947988e+01,-2.496365515115046285e-01,-8.991329338196898391e-01,6.231840785055610399e-02,8.084400326792027247e-01,0.000000000000000000e+00
2.800000000000000000e+02,-1.483378597216625350e+00,6.305402588210968773e-01,5.117088623796215074e+01,4.376534398390187164e+01,1.672543276404601098e+00,1.014511750054734485e+00,2.797401011446237984e+00,1.029234090999119999e+00,0.000000000000000000e+00
2.850000000000000000e+02,-1.670017215294932189e+00,7.997648879702764502e-01,5.334808997266013364e+01,5.353301180621552646e+01,1.948903332649435383e-01,-8.334382321004452088e-02,3.798224200012075696e-02,6.946192867267155999e-03,0.000000000000000000e+00
2.900000000000000000e+02,-1.681295191905155306e+00,7.937460681619110670e-01,5.360622158915293767e+01,5.399667069277700193e+01,-3.021660208546483317e-01,-3.694912742650484638e-01,9.130430415913176612e-02,1.365238017580092666e-01,0.000000000000000000e+00
2.950000000000000000e+02,-1.649600948948815926e+00,7.886498675988480311e-01,5.052909588751201397e+01,5.504536484521220530e+01,-2.079142428680583965e+00,7.273871514288566820e-01,4.322833238739796968e+00,5.290920680637865026e-01,0.000000000000000000e+00
