iteration,printed_scf_error_bound_Ry,total_energy_Ry,reported_cpu_seconds,input_conv_thr_Ry
1,2.4664836,-1783.36431962,159.0,1e-12
2,97.72930498,-1779.42710224,284.4,1e-12
3,88.31402898,-1782.09123134,421.3,1e-12
4,0.89990472,-1784.39535451,526.1,1e-12
5,0.32003082,-1784.42377454,615.3,1e-12
6,0.24745485,-1784.3673865,701.7,1e-12
7,0.02044404,-1784.37893186,807.3,1e-12
8,0.00810296,-1784.37897806,932.4,1e-12
9,0.00500611,-1784.37904764,1036.6,1e-12
10,0.00100608,-1784.3791994,1134.9,1e-12
11,7.547e-05,-1784.37923997,1246.4,1e-12
12,3.981e-05,-1784.37924231,1336.5,1e-12
13,1.845e-05,-1784.37924488,1424.0,1e-12
14,2.65e-06,-1784.37924622,1506.9,1e-12
15,4e-08,-1784.3792463,1594.2,1e-12
16,2e-08,-1784.37924632,1702.8,1e-12
17,1.1e-09,-1784.37924632,1790.7,1e-12
18,9.4e-10,-1784.37924631,1897.1,1e-12
19,5.6e-11,-1784.37924631,1989.7,1e-12
20,1e-10,-1784.37924631,2094.9,1e-12
21,2.3e-12,-1784.37924631,2187.7,1e-12
22,2e-12,-1784.37924631,2268.8,1e-12
23,5.5e-13,-1784.37924631,2348.0,1e-12
